"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vale do Sol",7,"2015","Janeiro","Todas","Rio Grande do Sul"
"2","Venâncio Aires",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"3","Vera Cruz",10,"2015","Janeiro","Todas","Rio Grande do Sul"
"4","Viamao",3,"2015","Janeiro","Todas","Rio Grande do Sul"
"5","Água Santa",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"6","São Valentim",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"7","São Vicente do Sul",5,"2015","Janeiro","Todas","Rio Grande do Sul"
"8","Tapejara",8,"2015","Janeiro","Todas","Rio Grande do Sul"
"9","Tapes",5,"2015","Janeiro","Todas","Rio Grande do Sul"
"10","Taquara",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"11","Tenente Portela",12,"2015","Janeiro","Todas","Rio Grande do Sul"
"12","Terra de Areia",3,"2015","Janeiro","Todas","Rio Grande do Sul"
"13","Teutônia",12,"2015","Janeiro","Todas","Rio Grande do Sul"
"14","Tramandaí",59,"2015","Janeiro","Todas","Rio Grande do Sul"
"15","Triunfo",14,"2015","Janeiro","Todas","Rio Grande do Sul"
"16","Três Cachoeiras",3,"2015","Janeiro","Todas","Rio Grande do Sul"
"17","Três Coroas",10,"2015","Janeiro","Todas","Rio Grande do Sul"
"18","Três Forquilhas",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"19","Três Passos",14,"2015","Janeiro","Todas","Rio Grande do Sul"
"20","Três de Maio",21,"2015","Janeiro","Todas","Rio Grande do Sul"
"21","Tunas",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"22","Tupanciretã",7,"2015","Janeiro","Todas","Rio Grande do Sul"
"23","Tuparendi",7,"2015","Janeiro","Todas","Rio Grande do Sul"
"24","Uruguaiana",52,"2015","Janeiro","Todas","Rio Grande do Sul"
"25","Vacaria",47,"2015","Janeiro","Todas","Rio Grande do Sul"
"26","Sarandi",12,"2015","Janeiro","Todas","Rio Grande do Sul"
"27","Seberi",4,"2015","Janeiro","Todas","Rio Grande do Sul"
"28","Selbach",2,"2015","Janeiro","Todas","Rio Grande do Sul"
"29","Serafina Correa",8,"2015","Janeiro","Todas","Rio Grande do Sul"
"30","Sertão Santana",1,"2015","Janeiro","Todas","Rio Grande do Sul"
"31","Sinimbu",6,"2015","Janeiro","Todas","Rio Grande do Sul"
"32","Sobradinho",8,"2015","Janeiro","Todas","Rio Grande do Sul"
