"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Lizarda",2,"2015","Janeiro","Todas","Tocantins"
"2","Miracema do Tocantins",7,"2015","Janeiro","Todas","Tocantins"
"3","Palmas",143,"2015","Janeiro","Todas","Tocantins"
"4","Palmeirante",4,"2015","Janeiro","Todas","Tocantins"
"5","Palmeirópolis",1,"2015","Janeiro","Todas","Tocantins"
"6","Paraiso do Tocantins",16,"2015","Janeiro","Todas","Tocantins"
"7","Paranã",5,"2015","Janeiro","Todas","Tocantins"
"8","Pau D'arco",1,"2015","Janeiro","Todas","Tocantins"
"9","Pindorama do Tocantins",1,"2015","Janeiro","Todas","Tocantins"
"10","Pium",1,"2015","Janeiro","Todas","Tocantins"
"11","Ponte Alta do Tocantins",2,"2015","Janeiro","Todas","Tocantins"
"12","Rio Sono",3,"2015","Janeiro","Todas","Tocantins"
"13","Santa Maria do Tocantins",2,"2015","Janeiro","Todas","Tocantins"
"14","Silvanópolis",3,"2015","Janeiro","Todas","Tocantins"
"15","São Valério da Natividade",4,"2015","Janeiro","Todas","Tocantins"
"16","Aguiarnópolis",2,"2015","Janeiro","Todas","Tocantins"
"17","Almas",3,"2015","Janeiro","Todas","Tocantins"
"18","Ananás",3,"2015","Janeiro","Todas","Tocantins"
"19","Aparecida do Rio Negro",1,"2015","Janeiro","Todas","Tocantins"
"20","Aurora do Tocantins",3,"2015","Janeiro","Todas","Tocantins"
"21","Babaçulândia",1,"2015","Janeiro","Todas","Tocantins"
"22","Barra do Ouro",1,"2015","Janeiro","Todas","Tocantins"
"23","Barrolândia",4,"2015","Janeiro","Todas","Tocantins"
"24","Brasilândia do Tocantins",1,"2015","Janeiro","Todas","Tocantins"
"25","Brejinho de Nazaré",1,"2015","Janeiro","Todas","Tocantins"
"26","Carrasco Bonito",2,"2015","Janeiro","Todas","Tocantins"
"27","Caseara",1,"2015","Janeiro","Todas","Tocantins"
"28","Colméia",1,"2015","Janeiro","Todas","Tocantins"
"29","Dois Irmãos do Tocantins",2,"2015","Janeiro","Todas","Tocantins"
"30","Figueirópolis",2,"2015","Janeiro","Todas","Tocantins"
"31","Fortaleza do Tabocão",1,"2015","Janeiro","Todas","Tocantins"
"32","Goianorte",1,"2015","Janeiro","Todas","Tocantins"
"33","Itapiratins",4,"2015","Janeiro","Todas","Tocantins"
"34","Lagoa da Confusão",8,"2015","Janeiro","Todas","Tocantins"
"35","Lajeado",1,"2015","Janeiro","Todas","Tocantins"
