"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Riachão do Dantas",4,"2015","Julho","Todas","Sergipe"
"2","Rosario do Catete",2,"2015","Julho","Todas","Sergipe"
"3","Salgado",4,"2015","Julho","Todas","Sergipe"
"4","Santa Luzia do Itanhy",1,"2015","Julho","Todas","Sergipe"
"5","Simão Dias",18,"2015","Julho","Todas","Sergipe"
"6","São Cristóvão",29,"2015","Julho","Todas","Sergipe"
"7","São Domingos",3,"2015","Julho","Todas","Sergipe"
"8","São Miguel do Aleixo",1,"2015","Julho","Todas","Sergipe"
"9","Tobias Barreto",24,"2015","Julho","Todas","Sergipe"
"10","Umbaúba",12,"2015","Julho","Todas","Sergipe"
"11","Japoatã",2,"2015","Julho","Todas","Sergipe"
"12","Lagarto",67,"2015","Julho","Todas","Sergipe"
"13","Laranjeiras",5,"2015","Julho","Todas","Sergipe"
"14","Macambira",2,"2015","Julho","Todas","Sergipe"
"15","Malhada dos Bois",2,"2015","Julho","Todas","Sergipe"
"16","Malhador",6,"2015","Julho","Todas","Sergipe"
"17","Maruim",4,"2015","Julho","Todas","Sergipe"
"18","Monte Alegre de Sergipe",3,"2015","Julho","Todas","Sergipe"
"19","Muribeca",5,"2015","Julho","Todas","Sergipe"
"20","Neópolis",9,"2015","Julho","Todas","Sergipe"
"21","Nossa Senhora Aparecida",1,"2015","Julho","Todas","Sergipe"
"22","Nossa Senhora da Glória",16,"2015","Julho","Todas","Sergipe"
"23","Nossa Senhora das Dores",2,"2015","Julho","Todas","Sergipe"
"24","Nossa Senhora de Lourdes",2,"2015","Julho","Todas","Sergipe"
"25","Nossa Senhora do Socorro",45,"2015","Julho","Todas","Sergipe"
"26","Pacatuba",4,"2015","Julho","Todas","Sergipe"
"27","Pedrinhas",7,"2015","Julho","Todas","Sergipe"
"28","Pirambu",1,"2015","Julho","Todas","Sergipe"
"29","Porto da Folha",8,"2015","Julho","Todas","Sergipe"
"30","Propriá",36,"2015","Julho","Todas","Sergipe"
"31","Aracaju",472,"2015","Julho","Todas","Sergipe"
"32","Arauá",1,"2015","Julho","Todas","Sergipe"
"33","Areia Branca",4,"2015","Julho","Todas","Sergipe"
"34","Barra dos Coqueiros",9,"2015","Julho","Todas","Sergipe"
"35","Boquim",9,"2015","Julho","Todas","Sergipe"
"36","Brejo Grande",6,"2015","Julho","Todas","Sergipe"
"37","Capela",10,"2015","Julho","Todas","Sergipe"
"38","Carira",16,"2015","Julho","Todas","Sergipe"
"39","Cedro de São João",9,"2015","Julho","Todas","Sergipe"
"40","Cumbe",1,"2015","Julho","Todas","Sergipe"
"41","Divina Pastora",1,"2015","Julho","Todas","Sergipe"
"42","Estância",46,"2015","Julho","Todas","Sergipe"
"43","Frei Paulo",3,"2015","Julho","Todas","Sergipe"
"44","General Maynard",1,"2015","Julho","Todas","Sergipe"
"45","Ilha das Flores",1,"2015","Julho","Todas","Sergipe"
"46","Indiaroba",6,"2015","Julho","Todas","Sergipe"
"47","Itabaiana",86,"2015","Julho","Todas","Sergipe"
"48","Itabaianinha",11,"2015","Julho","Todas","Sergipe"
"49","Itaporanga D'ajuda",8,"2015","Julho","Todas","Sergipe"
"50","Japaratuba",4,"2015","Julho","Todas","Sergipe"
