"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Barcarena",9,"2015","Junho","Todas","Pará"
"2","Belém",5,"2015","Junho","Todas","Pará"
"3","Brejo Grande do Araguaia",3,"2015","Junho","Todas","Pará"
"4","Canaã dos Carajás",12,"2015","Junho","Todas","Pará"
"5","Dom Eliseu",1,"2015","Junho","Todas","Pará"
"6","Goianésia do Pará",2,"2015","Junho","Todas","Pará"
"7","Marituba",6,"2015","Junho","Todas","Pará"
"8","Monte Alegre",16,"2015","Junho","Todas","Pará"
"9","Novo Progresso",7,"2015","Junho","Todas","Pará"
"10","Novo Repartimento",13,"2015","Junho","Todas","Pará"
"11","Pacajá",15,"2015","Junho","Todas","Pará"
"12","Rio Maria",2,"2015","Junho","Todas","Pará"
"13","Santarem",80,"2015","Junho","Todas","Pará"
"14","São Domingos do Araguaia",5,"2015","Junho","Todas","Pará"
"15","São Geraldo do Araguaia",1,"2015","Junho","Todas","Pará"
"16","São João do Araguaia",6,"2015","Junho","Todas","Pará"
"17","Tucumã",11,"2015","Junho","Todas","Pará"
"18","Uruará",9,"2015","Junho","Todas","Pará"
"19","Xinguara",13,"2015","Junho","Todas","Pará"
