"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Novo Acordo",6,"2015","Junho","Todas","Tocantins"
"2","Novo Alegre",1,"2015","Junho","Todas","Tocantins"
"3","Palmas",165,"2015","Junho","Todas","Tocantins"
"4","Palmeirante",1,"2015","Junho","Todas","Tocantins"
"5","Palmeirópolis",2,"2015","Junho","Todas","Tocantins"
"6","Paraiso do Tocantins",27,"2015","Junho","Todas","Tocantins"
"7","Paranã",5,"2015","Junho","Todas","Tocantins"
"8","Pequizeiro",2,"2015","Junho","Todas","Tocantins"
"9","Pindorama do Tocantins",2,"2015","Junho","Todas","Tocantins"
"10","Pium",2,"2015","Junho","Todas","Tocantins"
"11","Rio Sono",1,"2015","Junho","Todas","Tocantins"
"12","Santa Maria do Tocantins",1,"2015","Junho","Todas","Tocantins"
"13","Silvanópolis",3,"2015","Junho","Todas","Tocantins"
"14","São Valério da Natividade",2,"2015","Junho","Todas","Tocantins"
"15","Talismã",1,"2015","Junho","Todas","Tocantins"
"16","Aguiarnópolis",2,"2015","Junho","Todas","Tocantins"
"17","Almas",3,"2015","Junho","Todas","Tocantins"
"18","Araguacema",1,"2015","Junho","Todas","Tocantins"
"19","Araguaçu",1,"2015","Junho","Todas","Tocantins"
"20","Babaçulândia",2,"2015","Junho","Todas","Tocantins"
"21","Barra do Ouro",4,"2015","Junho","Todas","Tocantins"
"22","Barrolândia",1,"2015","Junho","Todas","Tocantins"
"23","Brasilândia do Tocantins",1,"2015","Junho","Todas","Tocantins"
"24","Brejinho de Nazaré",1,"2015","Junho","Todas","Tocantins"
"25","Campos Lindos",1,"2015","Junho","Todas","Tocantins"
"26","Caseara",1,"2015","Junho","Todas","Tocantins"
"27","Centenário",2,"2015","Junho","Todas","Tocantins"
"28","Colméia",3,"2015","Junho","Todas","Tocantins"
"29","Divinópolis do Tocantins",2,"2015","Junho","Todas","Tocantins"
"30","Dois Irmãos do Tocantins",4,"2015","Junho","Todas","Tocantins"
"31","Figueirópolis",1,"2015","Junho","Todas","Tocantins"
"32","Itapiratins",1,"2015","Junho","Todas","Tocantins"
"33","Lajeado",1,"2015","Junho","Todas","Tocantins"
"34","Lizarda",2,"2015","Junho","Todas","Tocantins"
"35","Monte Santo do Tocantins",1,"2015","Junho","Todas","Tocantins"
