"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",5,"2015","Maio","Todas","Acre"
"2","Brasiléia",6,"2015","Maio","Todas","Acre"
"3","Bujari",1,"2015","Maio","Todas","Acre"
"4","Cruzeiro do Sul",30,"2015","Maio","Todas","Acre"
"5","Epitaciolândia",2,"2015","Maio","Todas","Acre"
"6","Feijó",10,"2015","Maio","Todas","Acre"
"7","Manoel Urbano",1,"2015","Maio","Todas","Acre"
"8","Mâncio Lima",2,"2015","Maio","Todas","Acre"
"9","Plácido de Castro",1,"2015","Maio","Todas","Acre"
"10","Rio Branco",162,"2015","Maio","Todas","Acre"
"11","Rodrigues Alves",2,"2015","Maio","Todas","Acre"
"12","Sena Madureira",11,"2015","Maio","Todas","Acre"
"13","Senador Guiomard",6,"2015","Maio","Todas","Acre"
"14","Xapuri",5,"2015","Maio","Todas","Acre"
