"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José da Laje",6,"2015","Maio","Todas","Alagoas"
"2","São Sebastião",1,"2015","Maio","Todas","Alagoas"
"3","Teotônio Vilela",1,"2015","Maio","Todas","Alagoas"
"4","União dos Palmares",21,"2015","Maio","Todas","Alagoas"
"5","Arapiraca",33,"2015","Maio","Todas","Alagoas"
"6","Atalaia",11,"2015","Maio","Todas","Alagoas"
"7","Belém",1,"2015","Maio","Todas","Alagoas"
"8","Craíbas",7,"2015","Maio","Todas","Alagoas"
"9","Jacuípe",1,"2015","Maio","Todas","Alagoas"
"10","Jundiá",1,"2015","Maio","Todas","Alagoas"
"11","Junqueiro",1,"2015","Maio","Todas","Alagoas"
"12","Maceio",229,"2015","Maio","Todas","Alagoas"
"13","Maragogi",4,"2015","Maio","Todas","Alagoas"
"14","Matriz de Camaragibe",8,"2015","Maio","Todas","Alagoas"
"15","Messias",4,"2015","Maio","Todas","Alagoas"
"16","Olho D'água das Flores",2,"2015","Maio","Todas","Alagoas"
"17","Olho D'água do Casado",4,"2015","Maio","Todas","Alagoas"
"18","Palmeira dos Índios",57,"2015","Maio","Todas","Alagoas"
"19","Piranhas",2,"2015","Maio","Todas","Alagoas"
"20","Porto Calvo",1,"2015","Maio","Todas","Alagoas"
"21","Porto Real do Colégio",6,"2015","Maio","Todas","Alagoas"
"22","Roteiro",4,"2015","Maio","Todas","Alagoas"
"23","Santana do Ipanema",33,"2015","Maio","Todas","Alagoas"
"24","Sao Miguel dos Campos",1,"2015","Maio","Todas","Alagoas"
