"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tapurah",2,"2015","Maio","Todas","Mato Grosso"
"2","Terra Nova do Norte",7,"2015","Maio","Todas","Mato Grosso"
"3","Tesouro",1,"2015","Maio","Todas","Mato Grosso"
"4","Torixoréu",1,"2015","Maio","Todas","Mato Grosso"
"5","Varzea Grande",18,"2015","Maio","Todas","Mato Grosso"
"6","Vera",2,"2015","Maio","Todas","Mato Grosso"
"7","Vila Bela da Santíssima Trindade",1,"2015","Maio","Todas","Mato Grosso"
"8","Vila Rica",4,"2015","Maio","Todas","Mato Grosso"
"9","Água Boa",9,"2015","Maio","Todas","Mato Grosso"
"10","Paranaíta",1,"2015","Maio","Todas","Mato Grosso"
"11","Pedra Preta",4,"2015","Maio","Todas","Mato Grosso"
"12","Peixoto de Azevedo",15,"2015","Maio","Todas","Mato Grosso"
"13","Poconé",16,"2015","Maio","Todas","Mato Grosso"
"14","Pontes e Lacerda",6,"2015","Maio","Todas","Mato Grosso"
"15","Porto Alegre do Norte",3,"2015","Maio","Todas","Mato Grosso"
"16","Porto dos Gaúchos",1,"2015","Maio","Todas","Mato Grosso"
"17","Primavera do Leste",25,"2015","Maio","Todas","Mato Grosso"
"18","Querência",2,"2015","Maio","Todas","Mato Grosso"
"19","Ribeirão Cascalheira",5,"2015","Maio","Todas","Mato Grosso"
"20","Rio Branco",1,"2015","Maio","Todas","Mato Grosso"
"21","Rondonópolis",155,"2015","Maio","Todas","Mato Grosso"
"22","Rosário Oeste",2,"2015","Maio","Todas","Mato Grosso"
"23","Santa Rita do Trivelato",1,"2015","Maio","Todas","Mato Grosso"
"24","Santo Afonso",1,"2015","Maio","Todas","Mato Grosso"
"25","Sinop",74,"2015","Maio","Todas","Mato Grosso"
"26","Sorriso",56,"2015","Maio","Todas","Mato Grosso"
"27","São José dos Quatro Marcos",4,"2015","Maio","Todas","Mato Grosso"
"28","Tabaporã",2,"2015","Maio","Todas","Mato Grosso"
"29","Tangará da Serra",52,"2015","Maio","Todas","Mato Grosso"
"30","Juruena",1,"2015","Maio","Todas","Mato Grosso"
"31","Juscimeira",5,"2015","Maio","Todas","Mato Grosso"
"32","Juína",24,"2015","Maio","Todas","Mato Grosso"
"33","Lucas do Rio Verde",10,"2015","Maio","Todas","Mato Grosso"
"34","Marcelândia",8,"2015","Maio","Todas","Mato Grosso"
"35","Matupá",6,"2015","Maio","Todas","Mato Grosso"
"36","Mirassol D'oeste",12,"2015","Maio","Todas","Mato Grosso"
"37","Nobres",7,"2015","Maio","Todas","Mato Grosso"
"38","Nortelândia",3,"2015","Maio","Todas","Mato Grosso"
"39","Nossa Senhora do Livramento",1,"2015","Maio","Todas","Mato Grosso"
"40","Nova Bandeirantes",5,"2015","Maio","Todas","Mato Grosso"
"41","Nova Canaã do Norte",2,"2015","Maio","Todas","Mato Grosso"
"42","Nova Guarita",2,"2015","Maio","Todas","Mato Grosso"
"43","Nova Lacerda",1,"2015","Maio","Todas","Mato Grosso"
"44","Nova Maringá",2,"2015","Maio","Todas","Mato Grosso"
"45","Nova Mutum",10,"2015","Maio","Todas","Mato Grosso"
"46","Nova Ubiratã",1,"2015","Maio","Todas","Mato Grosso"
"47","Nova Xavantina",13,"2015","Maio","Todas","Mato Grosso"
"48","Novo Mundo",1,"2015","Maio","Todas","Mato Grosso"
"49","Paranatinga",12,"2015","Maio","Todas","Mato Grosso"
"50","Colniza",4,"2015","Maio","Todas","Mato Grosso"
"51","Colíder",24,"2015","Maio","Todas","Mato Grosso"
"52","Comodoro",5,"2015","Maio","Todas","Mato Grosso"
"53","Confresa",7,"2015","Maio","Todas","Mato Grosso"
"54","Cotriguaçu",1,"2015","Maio","Todas","Mato Grosso"
"55","Cuiaba",489,"2015","Maio","Todas","Mato Grosso"
"56","Cáceres",91,"2015","Maio","Todas","Mato Grosso"
"57","Denise",3,"2015","Maio","Todas","Mato Grosso"
"58","Diamantino",2,"2015","Maio","Todas","Mato Grosso"
"59","Dom Aquino",3,"2015","Maio","Todas","Mato Grosso"
"60","Figueirópolis D'oeste",1,"2015","Maio","Todas","Mato Grosso"
"61","General Carneiro",1,"2015","Maio","Todas","Mato Grosso"
"62","Glória D'oeste",3,"2015","Maio","Todas","Mato Grosso"
"63","Guarantã do Norte",11,"2015","Maio","Todas","Mato Grosso"
"64","Guiratinga",3,"2015","Maio","Todas","Mato Grosso"
"65","Itanhangá",2,"2015","Maio","Todas","Mato Grosso"
"66","Itaúba",2,"2015","Maio","Todas","Mato Grosso"
"67","Itiquira",6,"2015","Maio","Todas","Mato Grosso"
"68","Jaciara",4,"2015","Maio","Todas","Mato Grosso"
"69","Juara",10,"2015","Maio","Todas","Mato Grosso"
"70","Acorizal",1,"2015","Maio","Todas","Mato Grosso"
"71","Alta Floresta",21,"2015","Maio","Todas","Mato Grosso"
"72","Alto Araguaia",6,"2015","Maio","Todas","Mato Grosso"
"73","Alto Garças",2,"2015","Maio","Todas","Mato Grosso"
"74","Alto Paraguai",2,"2015","Maio","Todas","Mato Grosso"
"75","Alto Taquari",1,"2015","Maio","Todas","Mato Grosso"
"76","Apiacás",3,"2015","Maio","Todas","Mato Grosso"
"77","Araputanga",6,"2015","Maio","Todas","Mato Grosso"
"78","Arenápolis",3,"2015","Maio","Todas","Mato Grosso"
"79","Aripuanã",6,"2015","Maio","Todas","Mato Grosso"
"80","Barra do Bugres",9,"2015","Maio","Todas","Mato Grosso"
"81","Barra do Garças",31,"2015","Maio","Todas","Mato Grosso"
"82","Brasnorte",8,"2015","Maio","Todas","Mato Grosso"
"83","Campo Novo do Parecis",4,"2015","Maio","Todas","Mato Grosso"
"84","Campo Verde",9,"2015","Maio","Todas","Mato Grosso"
"85","Campos de Júlio",2,"2015","Maio","Todas","Mato Grosso"
"86","Canarana",7,"2015","Maio","Todas","Mato Grosso"
"87","Carlinda",2,"2015","Maio","Todas","Mato Grosso"
"88","Castanheira",1,"2015","Maio","Todas","Mato Grosso"
"89","Cláudia",3,"2015","Maio","Todas","Mato Grosso"
