"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tunas do Paraná",2,"2015","Maio","Todas","Paraná"
"2","Tuneiras do Oeste",3,"2015","Maio","Todas","Paraná"
"3","Turvo",3,"2015","Maio","Todas","Paraná"
"4","Ubiratã",11,"2015","Maio","Todas","Paraná"
"5","Umuarama",101,"2015","Maio","Todas","Paraná"
"6","União da Vitória",30,"2015","Maio","Todas","Paraná"
"7","Uraí",7,"2015","Maio","Todas","Paraná"
"8","Ventania",5,"2015","Maio","Todas","Paraná"
"9","Vera Cruz do Oeste",3,"2015","Maio","Todas","Paraná"
"10","Verê",3,"2015","Maio","Todas","Paraná"
"11","Virmond",1,"2015","Maio","Todas","Paraná"
"12","Vitorino",3,"2015","Maio","Todas","Paraná"
"13","Wenceslau Braz",12,"2015","Maio","Todas","Paraná"
"14","Xambrê",1,"2015","Maio","Todas","Paraná"
"15","Ângulo",1,"2015","Maio","Todas","Paraná"
"16","São João do Triunfo",7,"2015","Maio","Todas","Paraná"
"17","São Manoel do Paraná",1,"2015","Maio","Todas","Paraná"
"18","São Mateus do Sul",15,"2015","Maio","Todas","Paraná"
"19","São Miguel do Iguaçu",7,"2015","Maio","Todas","Paraná"
"20","São Pedro do Iguaçu",2,"2015","Maio","Todas","Paraná"
"21","São Pedro do Ivaí",1,"2015","Maio","Todas","Paraná"
"22","São Sebastião da Amoreira",2,"2015","Maio","Todas","Paraná"
"23","Tamarana",2,"2015","Maio","Todas","Paraná"
"24","Tamboara",3,"2015","Maio","Todas","Paraná"
"25","Tapejara",6,"2015","Maio","Todas","Paraná"
"26","Teixeira Soares",2,"2015","Maio","Todas","Paraná"
"27","Telemaco Borba",45,"2015","Maio","Todas","Paraná"
"28","Terra Boa",8,"2015","Maio","Todas","Paraná"
"29","Terra Rica",9,"2015","Maio","Todas","Paraná"
"30","Terra Roxa",4,"2015","Maio","Todas","Paraná"
"31","Tibagi",8,"2015","Maio","Todas","Paraná"
"32","Tijucas do Sul",6,"2015","Maio","Todas","Paraná"
"33","Toledo",98,"2015","Maio","Todas","Paraná"
"34","Tomazina",5,"2015","Maio","Todas","Paraná"
"35","Três Barras do Paraná",4,"2015","Maio","Todas","Paraná"
"36","Santo Antônio do Caiuá",2,"2015","Maio","Todas","Paraná"
"37","Santo Antônio do Sudoeste",6,"2015","Maio","Todas","Paraná"
"38","Santo Inácio",1,"2015","Maio","Todas","Paraná"
"39","Sapopema",4,"2015","Maio","Todas","Paraná"
"40","Sarandi",44,"2015","Maio","Todas","Paraná"
"41","Saudade do Iguaçu",1,"2015","Maio","Todas","Paraná"
"42","Sengés",4,"2015","Maio","Todas","Paraná"
"43","Serranópolis do Iguaçu",2,"2015","Maio","Todas","Paraná"
"44","Sertanópolis",2,"2015","Maio","Todas","Paraná"
"45","Siqueira Campos",8,"2015","Maio","Todas","Paraná"
"46","São Carlos do Ivaí",1,"2015","Maio","Todas","Paraná"
"47","São Jerônimo da Serra",1,"2015","Maio","Todas","Paraná"
"48","São Jorge D'oeste",3,"2015","Maio","Todas","Paraná"
"49","São Jorge do Ivaí",2,"2015","Maio","Todas","Paraná"
"50","São Jorge do Patrocínio",1,"2015","Maio","Todas","Paraná"
"51","São José da Boa Vista",7,"2015","Maio","Todas","Paraná"
"52","São José dos Pinhais",71,"2015","Maio","Todas","Paraná"
"53","São João",4,"2015","Maio","Todas","Paraná"
"54","São João do Caiuá",4,"2015","Maio","Todas","Paraná"
"55","São João do Ivaí",5,"2015","Maio","Todas","Paraná"
"56","Rio Negro",14,"2015","Maio","Todas","Paraná"
"57","Rolandia",20,"2015","Maio","Todas","Paraná"
"58","Roncador",1,"2015","Maio","Todas","Paraná"
"59","Rondon",3,"2015","Maio","Todas","Paraná"
"60","Rosário do Ivaí",2,"2015","Maio","Todas","Paraná"
"61","Sabáudia",2,"2015","Maio","Todas","Paraná"
"62","Salto do Itararé",2,"2015","Maio","Todas","Paraná"
"63","Salto do Lontra",6,"2015","Maio","Todas","Paraná"
"64","Santa Amélia",1,"2015","Maio","Todas","Paraná"
"65","Santa Cruz de Monte Castelo",2,"2015","Maio","Todas","Paraná"
"66","Santa Fé",2,"2015","Maio","Todas","Paraná"
"67","Santa Helena",6,"2015","Maio","Todas","Paraná"
"68","Santa Isabel do Ivaí",3,"2015","Maio","Todas","Paraná"
"69","Santa Izabel do Oeste",4,"2015","Maio","Todas","Paraná"
"70","Santa Maria do Oeste",2,"2015","Maio","Todas","Paraná"
"71","Santa Mariana",4,"2015","Maio","Todas","Paraná"
"72","Santa Mônica",2,"2015","Maio","Todas","Paraná"
"73","Santa Tereza do Oeste",2,"2015","Maio","Todas","Paraná"
"74","Santa Terezinha de Itaipu",5,"2015","Maio","Todas","Paraná"
"75","Santo Antônio da Platina",19,"2015","Maio","Todas","Paraná"
"76","Pérola",5,"2015","Maio","Todas","Paraná"
"77","Pérola D'oeste",1,"2015","Maio","Todas","Paraná"
"78","Quarto Centenário",2,"2015","Maio","Todas","Paraná"
"79","Quatiguá",3,"2015","Maio","Todas","Paraná"
"80","Quatro Barras",8,"2015","Maio","Todas","Paraná"
"81","Quedas do Iguaçu",6,"2015","Maio","Todas","Paraná"
"82","Querência do Norte",10,"2015","Maio","Todas","Paraná"
"83","Quinta do Sol",1,"2015","Maio","Todas","Paraná"
"84","Quitandinha",8,"2015","Maio","Todas","Paraná"
"85","Rancho Alegre",1,"2015","Maio","Todas","Paraná"
"86","Realeza",4,"2015","Maio","Todas","Paraná"
"87","Rebouças",7,"2015","Maio","Todas","Paraná"
"88","Renascença",1,"2015","Maio","Todas","Paraná"
"89","Reserva",10,"2015","Maio","Todas","Paraná"
"90","Reserva do Iguaçu",2,"2015","Maio","Todas","Paraná"
"91","Ribeirão Claro",3,"2015","Maio","Todas","Paraná"
"92","Ribeirão do Pinhal",9,"2015","Maio","Todas","Paraná"
"93","Rio Azul",2,"2015","Maio","Todas","Paraná"
"94","Rio Branco do Ivaí",1,"2015","Maio","Todas","Paraná"
"95","Rio Branco do Sul",8,"2015","Maio","Todas","Paraná"
"96","Peabiru",3,"2015","Maio","Todas","Paraná"
"97","Pinhais",41,"2015","Maio","Todas","Paraná"
"98","Pinhal de São Bento",1,"2015","Maio","Todas","Paraná"
"99","Pinhalão",5,"2015","Maio","Todas","Paraná"
"100","Pinhão",7,"2015","Maio","Todas","Paraná"
"101","Piraquara",24,"2015","Maio","Todas","Paraná"
"102","Piraí do Sul",9,"2015","Maio","Todas","Paraná"
"103","Pitanga",16,"2015","Maio","Todas","Paraná"
"104","Piên",3,"2015","Maio","Todas","Paraná"
"105","Planaltina do Paraná",5,"2015","Maio","Todas","Paraná"
"106","Planalto",13,"2015","Maio","Todas","Paraná"
"107","Ponta Grossa",207,"2015","Maio","Todas","Paraná"
"108","Pontal do Parana",7,"2015","Maio","Todas","Paraná"
"109","Porecatu",5,"2015","Maio","Todas","Paraná"
"110","Porto Amazonas",1,"2015","Maio","Todas","Paraná"
"111","Porto Barreiro",1,"2015","Maio","Todas","Paraná"
"112","Porto Vitória",2,"2015","Maio","Todas","Paraná"
"113","Pranchita",7,"2015","Maio","Todas","Paraná"
"114","Primeiro de Maio",6,"2015","Maio","Todas","Paraná"
"115","Prudentópolis",31,"2015","Maio","Todas","Paraná"
"116","Nova Olímpia",1,"2015","Maio","Todas","Paraná"
"117","Nova Prata do Iguaçu",4,"2015","Maio","Todas","Paraná"
"118","Nova Santa Bárbara",1,"2015","Maio","Todas","Paraná"
"119","Nova Santa Rosa",4,"2015","Maio","Todas","Paraná"
"120","Nova Tebas",3,"2015","Maio","Todas","Paraná"
"121","Ortigueira",8,"2015","Maio","Todas","Paraná"
"122","Ouro Verde do Oeste",2,"2015","Maio","Todas","Paraná"
"123","Paiçandu",8,"2015","Maio","Todas","Paraná"
"124","Palmas",32,"2015","Maio","Todas","Paraná"
"125","Palmeira",15,"2015","Maio","Todas","Paraná"
"126","Palmital",6,"2015","Maio","Todas","Paraná"
"127","Palotina",9,"2015","Maio","Todas","Paraná"
"128","Paranacity",1,"2015","Maio","Todas","Paraná"
"129","Paranagua",112,"2015","Maio","Todas","Paraná"
"130","Paranavaí",63,"2015","Maio","Todas","Paraná"
"131","Paraíso do Norte",1,"2015","Maio","Todas","Paraná"
"132","Pato Bragado",2,"2015","Maio","Todas","Paraná"
"133","Pato Branco",69,"2015","Maio","Todas","Paraná"
"134","Paula Freitas",2,"2015","Maio","Todas","Paraná"
"135","Paulo Frontin",3,"2015","Maio","Todas","Paraná"
"136","Marmeleiro",5,"2015","Maio","Todas","Paraná"
"137","Marquinho",3,"2015","Maio","Todas","Paraná"
"138","Marumbi",1,"2015","Maio","Todas","Paraná"
"139","Matelandia",15,"2015","Maio","Todas","Paraná"
"140","Matinhos",9,"2015","Maio","Todas","Paraná"
"141","Mauá da Serra",3,"2015","Maio","Todas","Paraná"
"142","Medianeira",19,"2015","Maio","Todas","Paraná"
"143","Mercedes",1,"2015","Maio","Todas","Paraná"
"144","Miraselva",1,"2015","Maio","Todas","Paraná"
"145","Missal",13,"2015","Maio","Todas","Paraná"
"146","Moreira Sales",6,"2015","Maio","Todas","Paraná"
"147","Morretes",3,"2015","Maio","Todas","Paraná"
"148","Munhoz de Melo",2,"2015","Maio","Todas","Paraná"
"149","Nossa Senhora das Graças",2,"2015","Maio","Todas","Paraná"
"150","Nova Aurora",6,"2015","Maio","Todas","Paraná"
"151","Nova Cantu",3,"2015","Maio","Todas","Paraná"
"152","Nova Esperança",11,"2015","Maio","Todas","Paraná"
"153","Nova Fátima",2,"2015","Maio","Todas","Paraná"
"154","Nova Laranjeiras",7,"2015","Maio","Todas","Paraná"
"155","Nova Londrina",3,"2015","Maio","Todas","Paraná"
"156","Lindoeste",1,"2015","Maio","Todas","Paraná"
"157","Loanda",12,"2015","Maio","Todas","Paraná"
"158","Londrina",398,"2015","Maio","Todas","Paraná"
"159","Luiziana",3,"2015","Maio","Todas","Paraná"
