"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Porto Real do Colégio",4,"2015","Março","Todas","Alagoas"
"2","Poço das Trincheiras",3,"2015","Março","Todas","Alagoas"
"3","Roteiro",1,"2015","Março","Todas","Alagoas"
"4","Santana do Ipanema",41,"2015","Março","Todas","Alagoas"
"5","Satuba",3,"2015","Março","Todas","Alagoas"
"6","São José da Laje",6,"2015","Março","Todas","Alagoas"
"7","União dos Palmares",26,"2015","Março","Todas","Alagoas"
"8","Arapiraca",42,"2015","Março","Todas","Alagoas"
"9","Atalaia",5,"2015","Março","Todas","Alagoas"
"10","Barra de São Miguel",1,"2015","Março","Todas","Alagoas"
"11","Belém",2,"2015","Março","Todas","Alagoas"
"12","Canapi",4,"2015","Março","Todas","Alagoas"
"13","Craíbas",6,"2015","Março","Todas","Alagoas"
"14","Feira Grande",7,"2015","Março","Todas","Alagoas"
"15","Jundiá",2,"2015","Março","Todas","Alagoas"
"16","Junqueiro",4,"2015","Março","Todas","Alagoas"
"17","Maceio",218,"2015","Março","Todas","Alagoas"
"18","Maragogi",9,"2015","Março","Todas","Alagoas"
"19","Marechal Deodoro",1,"2015","Março","Todas","Alagoas"
"20","Matriz de Camaragibe",8,"2015","Março","Todas","Alagoas"
"21","Olho D'água do Casado",1,"2015","Março","Todas","Alagoas"
"22","Palestina",1,"2015","Março","Todas","Alagoas"
"23","Palmeira dos Índios",44,"2015","Março","Todas","Alagoas"
"24","Penedo",29,"2015","Março","Todas","Alagoas"
"25","Piaçabuçu",1,"2015","Março","Todas","Alagoas"
"26","Piranhas",2,"2015","Março","Todas","Alagoas"
"27","Porto Calvo",1,"2015","Março","Todas","Alagoas"
