"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Venturosa",6,"2015","Março","Todas","Pernambuco"
"2","Verdejante",1,"2015","Março","Todas","Pernambuco"
"3","Vertente do Lério",2,"2015","Março","Todas","Pernambuco"
"4","Vertentes",10,"2015","Março","Todas","Pernambuco"
"5","Vicência",4,"2015","Março","Todas","Pernambuco"
"6","Vitória de Santo Antão",76,"2015","Março","Todas","Pernambuco"
"7","Xexéu",5,"2015","Março","Todas","Pernambuco"
"8","Água Preta",1,"2015","Março","Todas","Pernambuco"
"9","São Joaquim do Monte",8,"2015","Março","Todas","Pernambuco"
"10","São José da Coroa Grande",2,"2015","Março","Todas","Pernambuco"
"11","São José do Belmonte",12,"2015","Março","Todas","Pernambuco"
"12","São José do Egito",27,"2015","Março","Todas","Pernambuco"
"13","São João",6,"2015","Março","Todas","Pernambuco"
"14","São Lourenço da Mata",33,"2015","Março","Todas","Pernambuco"
"15","Tabira",1,"2015","Março","Todas","Pernambuco"
"16","Tacaimbó",2,"2015","Março","Todas","Pernambuco"
"17","Tacaratu",3,"2015","Março","Todas","Pernambuco"
"18","Tamandaré",2,"2015","Março","Todas","Pernambuco"
"19","Taquaritinga do Norte",3,"2015","Março","Todas","Pernambuco"
"20","Terezinha",2,"2015","Março","Todas","Pernambuco"
"21","Terra Nova",3,"2015","Março","Todas","Pernambuco"
"22","Timbaúba",22,"2015","Março","Todas","Pernambuco"
"23","Toritama",9,"2015","Março","Todas","Pernambuco"
"24","Tracunhaém",2,"2015","Março","Todas","Pernambuco"
"25","Trindade",7,"2015","Março","Todas","Pernambuco"
"26","Triunfo",8,"2015","Março","Todas","Pernambuco"
"27","Tupanatinga",10,"2015","Março","Todas","Pernambuco"
"28","Tuparetama",5,"2015","Março","Todas","Pernambuco"
"29","Rio Formoso",7,"2015","Março","Todas","Pernambuco"
"30","Sairé",3,"2015","Março","Todas","Pernambuco"
"31","Salgueiro",50,"2015","Março","Todas","Pernambuco"
"32","Saloá",5,"2015","Março","Todas","Pernambuco"
"33","Sanharó",2,"2015","Março","Todas","Pernambuco"
"34","Santa Cruz",8,"2015","Março","Todas","Pernambuco"
"35","Santa Cruz da Baixa Verde",4,"2015","Março","Todas","Pernambuco"
"36","Santa Cruz do Capibaribe",21,"2015","Março","Todas","Pernambuco"
"37","Santa Filomena",2,"2015","Março","Todas","Pernambuco"
"38","Santa Maria da Boa Vista",14,"2015","Março","Todas","Pernambuco"
"39","Santa Maria do Cambucá",5,"2015","Março","Todas","Pernambuco"
"40","Santa Terezinha",2,"2015","Março","Todas","Pernambuco"
"41","Serra Talhada",62,"2015","Março","Todas","Pernambuco"
"42","Serrita",1,"2015","Março","Todas","Pernambuco"
"43","Sertania",12,"2015","Março","Todas","Pernambuco"
"44","Sirinhaém",8,"2015","Março","Todas","Pernambuco"
"45","Surubim",27,"2015","Março","Todas","Pernambuco"
"46","São Benedito do Sul",5,"2015","Março","Todas","Pernambuco"
"47","São Bento do Una",25,"2015","Março","Todas","Pernambuco"
"48","São Caitano",16,"2015","Março","Todas","Pernambuco"
"49","Orobó",6,"2015","Março","Todas","Pernambuco"
"50","Orocó",5,"2015","Março","Todas","Pernambuco"
"51","Ouricuri",53,"2015","Março","Todas","Pernambuco"
"52","Palmares",72,"2015","Março","Todas","Pernambuco"
"53","Palmeirina",2,"2015","Março","Todas","Pernambuco"
"54","Panelas",7,"2015","Março","Todas","Pernambuco"
"55","Paranatama",5,"2015","Março","Todas","Pernambuco"
"56","Passira",9,"2015","Março","Todas","Pernambuco"
"57","Paudalho",18,"2015","Março","Todas","Pernambuco"
"58","Paulista",191,"2015","Março","Todas","Pernambuco"
"59","Pedra",7,"2015","Março","Todas","Pernambuco"
"60","Pesqueira",37,"2015","Março","Todas","Pernambuco"
"61","Petrolina",35,"2015","Março","Todas","Pernambuco"
"62","Petrolândia",19,"2015","Março","Todas","Pernambuco"
"63","Pombos",1,"2015","Março","Todas","Pernambuco"
"64","Poção",8,"2015","Março","Todas","Pernambuco"
"65","Quixaba",2,"2015","Março","Todas","Pernambuco"
"66","Recife",1842,"2015","Março","Todas","Pernambuco"
"67","Riacho das Almas",7,"2015","Março","Todas","Pernambuco"
"68","Ribeirão",16,"2015","Março","Todas","Pernambuco"
"69","Jataúba",13,"2015","Março","Todas","Pernambuco"
"70","Joaquim Nabuco",7,"2015","Março","Todas","Pernambuco"
"71","João Alfredo",6,"2015","Março","Todas","Pernambuco"
"72","Jucati",4,"2015","Março","Todas","Pernambuco"
"73","Jupi",5,"2015","Março","Todas","Pernambuco"
"74","Jurema",4,"2015","Março","Todas","Pernambuco"
"75","Lagoa Grande",3,"2015","Março","Todas","Pernambuco"
"76","Lagoa do Carro",4,"2015","Março","Todas","Pernambuco"
"77","Lagoa do Itaenga",9,"2015","Março","Todas","Pernambuco"
"78","Lagoa do Ouro",2,"2015","Março","Todas","Pernambuco"
"79","Lagoa dos Gatos",7,"2015","Março","Todas","Pernambuco"
"80","Lajedo",19,"2015","Março","Todas","Pernambuco"
"81","Macaparana",8,"2015","Março","Todas","Pernambuco"
"82","Machados",7,"2015","Março","Todas","Pernambuco"
"83","Manari",3,"2015","Março","Todas","Pernambuco"
"84","Maraial",4,"2015","Março","Todas","Pernambuco"
"85","Moreilândia",2,"2015","Março","Todas","Pernambuco"
"86","Moreno",15,"2015","Março","Todas","Pernambuco"
"87","Nazaré da Mata",13,"2015","Março","Todas","Pernambuco"
"88","Olinda",167,"2015","Março","Todas","Pernambuco"
"89","Glória do Goitá",6,"2015","Março","Todas","Pernambuco"
"90","Goiana",25,"2015","Março","Todas","Pernambuco"
"91","Granito",1,"2015","Março","Todas","Pernambuco"
"92","Gravatá",27,"2015","Março","Todas","Pernambuco"
"93","Iati",8,"2015","Março","Todas","Pernambuco"
"94","Ibimirim",5,"2015","Março","Todas","Pernambuco"
"95","Igarassu",1,"2015","Março","Todas","Pernambuco"
"96","Iguaraci",1,"2015","Março","Todas","Pernambuco"
"97","Ilha de Itamaracá",3,"2015","Março","Todas","Pernambuco"
"98","Inajá",11,"2015","Março","Todas","Pernambuco"
"99","Ingazeira",5,"2015","Março","Todas","Pernambuco"
"100","Ipojuca",15,"2015","Março","Todas","Pernambuco"
"101","Ipubi",13,"2015","Março","Todas","Pernambuco"
"102","Itacuruba",2,"2015","Março","Todas","Pernambuco"
"103","Itambé",11,"2015","Março","Todas","Pernambuco"
"104","Itapetim",8,"2015","Março","Todas","Pernambuco"
"105","Itaquitinga",5,"2015","Março","Todas","Pernambuco"
"106","Itaíba",4,"2015","Março","Todas","Pernambuco"
"107","Jaboatao dos Guararapes",218,"2015","Março","Todas","Pernambuco"
"108","Jaqueira",1,"2015","Março","Todas","Pernambuco"
"109","Casinhas",4,"2015","Março","Todas","Pernambuco"
"110","Catende",13,"2015","Março","Todas","Pernambuco"
"111","Cedro",1,"2015","Março","Todas","Pernambuco"
"112","Cha Grande",7,"2015","Março","Todas","Pernambuco"
"113","Chã de Alegria",4,"2015","Março","Todas","Pernambuco"
"114","Condado",12,"2015","Março","Todas","Pernambuco"
"115","Correntes",8,"2015","Março","Todas","Pernambuco"
"116","Cortês",4,"2015","Março","Todas","Pernambuco"
"117","Cumaru",3,"2015","Março","Todas","Pernambuco"
"118","Cupira",13,"2015","Março","Todas","Pernambuco"
"119","Custódia",15,"2015","Março","Todas","Pernambuco"
"120","Dormentes",2,"2015","Março","Todas","Pernambuco"
"121","Escada",24,"2015","Março","Todas","Pernambuco"
"122","Exu",12,"2015","Março","Todas","Pernambuco"
"123","Feira Nova",6,"2015","Março","Todas","Pernambuco"
"124","Ferreiros",3,"2015","Março","Todas","Pernambuco"
"125","Flores",7,"2015","Março","Todas","Pernambuco"
"126","Floresta",13,"2015","Março","Todas","Pernambuco"
"127","Frei Miguelinho",9,"2015","Março","Todas","Pernambuco"
"128","Garanhuns",126,"2015","Março","Todas","Pernambuco"
"129","Bonito",4,"2015","Março","Todas","Pernambuco"
"130","Brejinho",6,"2015","Março","Todas","Pernambuco"
"131","Brejo da Madre de Deus",17,"2015","Março","Todas","Pernambuco"
"132","Brejão",3,"2015","Março","Todas","Pernambuco"
"133","Buenos Aires",4,"2015","Março","Todas","Pernambuco"
"134","Buíque",7,"2015","Março","Todas","Pernambuco"
"135","Cabo de Santo Agostinho",141,"2015","Março","Todas","Pernambuco"
"136","Cabrobó",6,"2015","Março","Todas","Pernambuco"
"137","Cachoeirinha",8,"2015","Março","Todas","Pernambuco"
"138","Caetés",12,"2015","Março","Todas","Pernambuco"
"139","Calumbi",9,"2015","Março","Todas","Pernambuco"
"140","Calçado",5,"2015","Março","Todas","Pernambuco"
"141","Camaragibe",30,"2015","Março","Todas","Pernambuco"
"142","Camocim de São Félix",11,"2015","Março","Todas","Pernambuco"
"143","Camutanga",3,"2015","Março","Todas","Pernambuco"
"144","Canhotinho",10,"2015","Março","Todas","Pernambuco"
"145","Capoeiras",12,"2015","Março","Todas","Pernambuco"
"146","Carnaubeira da Penha",5,"2015","Março","Todas","Pernambuco"
"147","Carnaíba",6,"2015","Março","Todas","Pernambuco"
"148","Caruaru",298,"2015","Março","Todas","Pernambuco"
"149","Abreu e Lima",16,"2015","Março","Todas","Pernambuco"
"150","Afogados da Ingazeira",29,"2015","Março","Todas","Pernambuco"
"151","Afrânio",3,"2015","Março","Todas","Pernambuco"
"152","Agrestina",8,"2015","Março","Todas","Pernambuco"
"153","Alagoinha",5,"2015","Março","Todas","Pernambuco"
"154","Altinho",8,"2015","Março","Todas","Pernambuco"
