"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Açu",15,"2015","Março","Todas","Rio Grande do Norte"
"2","Canguaretama",9,"2015","Março","Todas","Rio Grande do Norte"
"3","Ceará-Mirim",19,"2015","Março","Todas","Rio Grande do Norte"
"4","Cruzeta",3,"2015","Março","Todas","Rio Grande do Norte"
"5","Currais Novos",27,"2015","Março","Todas","Rio Grande do Norte"
"6","Equador",1,"2015","Março","Todas","Rio Grande do Norte"
"7","Goianinha",10,"2015","Março","Todas","Rio Grande do Norte"
"8","Mossoró",17,"2015","Março","Todas","Rio Grande do Norte"
"9","Natal",311,"2015","Março","Todas","Rio Grande do Norte"
"10","Parnamirim",85,"2015","Março","Todas","Rio Grande do Norte"
"11","Riachuelo",2,"2015","Março","Todas","Rio Grande do Norte"
"12","São Gonçalo do Amarante",20,"2015","Março","Todas","Rio Grande do Norte"
"13","São José do Campestre",4,"2015","Março","Todas","Rio Grande do Norte"
"14","Taipu",2,"2015","Março","Todas","Rio Grande do Norte"
"15","Touros",5,"2015","Março","Todas","Rio Grande do Norte"
"16","Upanema",4,"2015","Março","Todas","Rio Grande do Norte"
