"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Valença",32,"2015","Março","Todas","Rio de Janeiro"
"2","Volta Redonda",182,"2015","Março","Todas","Rio de Janeiro"
"3","Paraiba do Sul",18,"2015","Março","Todas","Rio de Janeiro"
"4","Parati",35,"2015","Março","Todas","Rio de Janeiro"
"5","Paty do Alferes",3,"2015","Março","Todas","Rio de Janeiro"
"6","Petropolis",2,"2015","Março","Todas","Rio de Janeiro"
"7","Quatis",6,"2015","Março","Todas","Rio de Janeiro"
"8","Queimados",11,"2015","Março","Todas","Rio de Janeiro"
"9","Resende",35,"2015","Março","Todas","Rio de Janeiro"
"10","Rio Bonito",1,"2015","Março","Todas","Rio de Janeiro"
"11","Rio Claro",9,"2015","Março","Todas","Rio de Janeiro"
"12","Rio das Ostras",52,"2015","Março","Todas","Rio de Janeiro"
"13","Rio de Janeiro",568,"2015","Março","Todas","Rio de Janeiro"
"14","Santo Antônio de Pádua",26,"2015","Março","Todas","Rio de Janeiro"
"15","Sapucaia",4,"2015","Março","Todas","Rio de Janeiro"
"16","Saquarema",38,"2015","Março","Todas","Rio de Janeiro"
"17","São José do Vale do Rio Preto",9,"2015","Março","Todas","Rio de Janeiro"
"18","São João da Barra",3,"2015","Março","Todas","Rio de Janeiro"
"19","São João de Meriti",100,"2015","Março","Todas","Rio de Janeiro"
"20","São Sebastião do Alto",3,"2015","Março","Todas","Rio de Janeiro"
"21","Tanguá",10,"2015","Março","Todas","Rio de Janeiro"
"22","Três Rios",37,"2015","Março","Todas","Rio de Janeiro"
"23","Angra dos Reis",3,"2015","Março","Todas","Rio de Janeiro"
"24","Araruama",82,"2015","Março","Todas","Rio de Janeiro"
"25","Armação dos Búzios",12,"2015","Março","Todas","Rio de Janeiro"
"26","Bom Jardim",11,"2015","Março","Todas","Rio de Janeiro"
"27","Bom Jesus do Itabapoana",9,"2015","Março","Todas","Rio de Janeiro"
"28","Cabo Frio",98,"2015","Março","Todas","Rio de Janeiro"
"29","Campos dos Goytacazes",251,"2015","Março","Todas","Rio de Janeiro"
"30","Cordeiro",1,"2015","Março","Todas","Rio de Janeiro"
"31","Duque de Caxias",1,"2015","Março","Todas","Rio de Janeiro"
"32","Engenheiro Paulo de Frontin",4,"2015","Março","Todas","Rio de Janeiro"
"33","Itaguai",59,"2015","Março","Todas","Rio de Janeiro"
"34","Japeri",34,"2015","Março","Todas","Rio de Janeiro"
"35","Macae",17,"2015","Março","Todas","Rio de Janeiro"
"36","Mage",31,"2015","Março","Todas","Rio de Janeiro"
"37","Mangaratiba",22,"2015","Março","Todas","Rio de Janeiro"
"38","Maricá",18,"2015","Março","Todas","Rio de Janeiro"
"39","Miguel Pereira",24,"2015","Março","Todas","Rio de Janeiro"
"40","Natividade",8,"2015","Março","Todas","Rio de Janeiro"
"41","Nilópolis",5,"2015","Março","Todas","Rio de Janeiro"
"42","Nova Iguaçu",13,"2015","Março","Todas","Rio de Janeiro"
