"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uraí",4,"2015","Novembro","Todas","Paraná"
"2","Ventania",5,"2015","Novembro","Todas","Paraná"
"3","Virmond",1,"2015","Novembro","Todas","Paraná"
"4","Vitorino",1,"2015","Novembro","Todas","Paraná"
"5","Wenceslau Braz",12,"2015","Novembro","Todas","Paraná"
"6","Xambrê",3,"2015","Novembro","Todas","Paraná"
"7","Tapejara",3,"2015","Novembro","Todas","Paraná"
"8","Tapira",1,"2015","Novembro","Todas","Paraná"
"9","Teixeira Soares",4,"2015","Novembro","Todas","Paraná"
"10","Telemaco Borba",38,"2015","Novembro","Todas","Paraná"
"11","Terra Boa",7,"2015","Novembro","Todas","Paraná"
"12","Terra Rica",4,"2015","Novembro","Todas","Paraná"
"13","Terra Roxa",3,"2015","Novembro","Todas","Paraná"
"14","Tibagi",4,"2015","Novembro","Todas","Paraná"
"15","Tijucas do Sul",3,"2015","Novembro","Todas","Paraná"
"16","Toledo",80,"2015","Novembro","Todas","Paraná"
"17","Tomazina",3,"2015","Novembro","Todas","Paraná"
"18","Três Barras do Paraná",4,"2015","Novembro","Todas","Paraná"
"19","Tunas do Paraná",1,"2015","Novembro","Todas","Paraná"
"20","Tuneiras do Oeste",4,"2015","Novembro","Todas","Paraná"
"21","Tupãssi",5,"2015","Novembro","Todas","Paraná"
"22","Turvo",6,"2015","Novembro","Todas","Paraná"
"23","Ubiratã",9,"2015","Novembro","Todas","Paraná"
"24","Umuarama",81,"2015","Novembro","Todas","Paraná"
"25","Uniflor",1,"2015","Novembro","Todas","Paraná"
"26","União da Vitória",29,"2015","Novembro","Todas","Paraná"
"27","Sengés",4,"2015","Novembro","Todas","Paraná"
"28","Sertanópolis",4,"2015","Novembro","Todas","Paraná"
"29","Siqueira Campos",6,"2015","Novembro","Todas","Paraná"
"30","Sulina",1,"2015","Novembro","Todas","Paraná"
"31","São Jerônimo da Serra",2,"2015","Novembro","Todas","Paraná"
"32","São Jorge D'oeste",3,"2015","Novembro","Todas","Paraná"
"33","São Jorge do Ivaí",5,"2015","Novembro","Todas","Paraná"
"34","São Jorge do Patrocínio",2,"2015","Novembro","Todas","Paraná"
"35","São José das Palmeiras",1,"2015","Novembro","Todas","Paraná"
"36","São José dos Pinhais",88,"2015","Novembro","Todas","Paraná"
"37","São João",3,"2015","Novembro","Todas","Paraná"
"38","São João do Caiuá",3,"2015","Novembro","Todas","Paraná"
"39","São João do Ivaí",4,"2015","Novembro","Todas","Paraná"
"40","São João do Triunfo",3,"2015","Novembro","Todas","Paraná"
"41","São Mateus do Sul",9,"2015","Novembro","Todas","Paraná"
"42","São Miguel do Iguaçu",4,"2015","Novembro","Todas","Paraná"
"43","São Pedro do Ivaí",1,"2015","Novembro","Todas","Paraná"
"44","São Sebastião da Amoreira",2,"2015","Novembro","Todas","Paraná"
"45","São Tomé",1,"2015","Novembro","Todas","Paraná"
"46","Tamboara",2,"2015","Novembro","Todas","Paraná"
"47","Salto do Itararé",4,"2015","Novembro","Todas","Paraná"
"48","Salto do Lontra",3,"2015","Novembro","Todas","Paraná"
"49","Santa Amélia",2,"2015","Novembro","Todas","Paraná"
"50","Santa Cruz de Monte Castelo",2,"2015","Novembro","Todas","Paraná"
"51","Santa Fé",4,"2015","Novembro","Todas","Paraná"
"52","Santa Helena",17,"2015","Novembro","Todas","Paraná"
"53","Santa Isabel do Ivaí",5,"2015","Novembro","Todas","Paraná"
"54","Santa Izabel do Oeste",6,"2015","Novembro","Todas","Paraná"
"55","Santa Lúcia",1,"2015","Novembro","Todas","Paraná"
"56","Santa Maria do Oeste",9,"2015","Novembro","Todas","Paraná"
"57","Santa Mariana",4,"2015","Novembro","Todas","Paraná"
"58","Santa Mônica",2,"2015","Novembro","Todas","Paraná"
"59","Santa Tereza do Oeste",1,"2015","Novembro","Todas","Paraná"
"60","Santa Terezinha de Itaipu",5,"2015","Novembro","Todas","Paraná"
"61","Santo Antônio da Platina",28,"2015","Novembro","Todas","Paraná"
"62","Santo Antônio do Caiuá",1,"2015","Novembro","Todas","Paraná"
"63","Santo Antônio do Sudoeste",11,"2015","Novembro","Todas","Paraná"
"64","Santo Inácio",2,"2015","Novembro","Todas","Paraná"
"65","Sapopema",1,"2015","Novembro","Todas","Paraná"
"66","Sarandi",48,"2015","Novembro","Todas","Paraná"
"67","Ramilândia",2,"2015","Novembro","Todas","Paraná"
"68","Rancho Alegre D'oeste",1,"2015","Novembro","Todas","Paraná"
"69","Realeza",9,"2015","Novembro","Todas","Paraná"
"70","Rebouças",4,"2015","Novembro","Todas","Paraná"
"71","Renascença",3,"2015","Novembro","Todas","Paraná"
"72","Reserva",9,"2015","Novembro","Todas","Paraná"
"73","Reserva do Iguaçu",1,"2015","Novembro","Todas","Paraná"
"74","Ribeirão Claro",5,"2015","Novembro","Todas","Paraná"
"75","Ribeirão do Pinhal",8,"2015","Novembro","Todas","Paraná"
"76","Rio Azul",5,"2015","Novembro","Todas","Paraná"
"77","Rio Bonito do Iguaçu",3,"2015","Novembro","Todas","Paraná"
"78","Rio Branco do Ivaí",1,"2015","Novembro","Todas","Paraná"
"79","Rio Branco do Sul",14,"2015","Novembro","Todas","Paraná"
"80","Rio Negro",15,"2015","Novembro","Todas","Paraná"
"81","Rolandia",34,"2015","Novembro","Todas","Paraná"
"82","Roncador",6,"2015","Novembro","Todas","Paraná"
"83","Rondon",1,"2015","Novembro","Todas","Paraná"
"84","Rosário do Ivaí",3,"2015","Novembro","Todas","Paraná"
"85","Sabáudia",1,"2015","Novembro","Todas","Paraná"
"86","Salgado Filho",1,"2015","Novembro","Todas","Paraná"
"87","Piên",2,"2015","Novembro","Todas","Paraná"
"88","Planalto",6,"2015","Novembro","Todas","Paraná"
"89","Ponta Grossa",220,"2015","Novembro","Todas","Paraná"
"90","Pontal do Parana",8,"2015","Novembro","Todas","Paraná"
"91","Porecatu",5,"2015","Novembro","Todas","Paraná"
"92","Porto Amazonas",4,"2015","Novembro","Todas","Paraná"
"93","Porto Barreiro",2,"2015","Novembro","Todas","Paraná"
"94","Porto Rico",1,"2015","Novembro","Todas","Paraná"
"95","Porto Vitória",3,"2015","Novembro","Todas","Paraná"
"96","Pranchita",3,"2015","Novembro","Todas","Paraná"
"97","Primeiro de Maio",3,"2015","Novembro","Todas","Paraná"
"98","Prudentópolis",25,"2015","Novembro","Todas","Paraná"
"99","Pérola D'oeste",3,"2015","Novembro","Todas","Paraná"
"100","Quarto Centenário",1,"2015","Novembro","Todas","Paraná"
"101","Quatiguá",4,"2015","Novembro","Todas","Paraná"
"102","Quatro Barras",3,"2015","Novembro","Todas","Paraná"
"103","Quatro Pontes",2,"2015","Novembro","Todas","Paraná"
"104","Quedas do Iguaçu",10,"2015","Novembro","Todas","Paraná"
"105","Querência do Norte",5,"2015","Novembro","Todas","Paraná"
"106","Quitandinha",5,"2015","Novembro","Todas","Paraná"
"107","Palmas",26,"2015","Novembro","Todas","Paraná"
"108","Palmeira",17,"2015","Novembro","Todas","Paraná"
"109","Palmital",5,"2015","Novembro","Todas","Paraná"
"110","Palotina",8,"2015","Novembro","Todas","Paraná"
"111","Paranacity",1,"2015","Novembro","Todas","Paraná"
"112","Paranagua",96,"2015","Novembro","Todas","Paraná"
"113","Paranavaí",63,"2015","Novembro","Todas","Paraná"
"114","Paraíso do Norte",4,"2015","Novembro","Todas","Paraná"
"115","Pato Bragado",3,"2015","Novembro","Todas","Paraná"
"116","Pato Branco",63,"2015","Novembro","Todas","Paraná"
"117","Paula Freitas",1,"2015","Novembro","Todas","Paraná"
"118","Paulo Frontin",1,"2015","Novembro","Todas","Paraná"
"119","Peabiru",4,"2015","Novembro","Todas","Paraná"
"120","Perobal",2,"2015","Novembro","Todas","Paraná"
"121","Pinhais",21,"2015","Novembro","Todas","Paraná"
"122","Pinhão",13,"2015","Novembro","Todas","Paraná"
"123","Piraquara",17,"2015","Novembro","Todas","Paraná"
"124","Piraí do Sul",11,"2015","Novembro","Todas","Paraná"
"125","Pitanga",12,"2015","Novembro","Todas","Paraná"
"126","Pitangueiras",1,"2015","Novembro","Todas","Paraná"
"127","Medianeira",23,"2015","Novembro","Todas","Paraná"
"128","Mercedes",1,"2015","Novembro","Todas","Paraná"
"129","Mirador",1,"2015","Novembro","Todas","Paraná"
"130","Missal",6,"2015","Novembro","Todas","Paraná"
"131","Moreira Sales",2,"2015","Novembro","Todas","Paraná"
"132","Morretes",5,"2015","Novembro","Todas","Paraná"
"133","Nova Aurora",7,"2015","Novembro","Todas","Paraná"
"134","Nova Cantu",4,"2015","Novembro","Todas","Paraná"
"135","Nova Esperança",8,"2015","Novembro","Todas","Paraná"
"136","Nova Esperança do Sudoeste",3,"2015","Novembro","Todas","Paraná"
"137","Nova Fátima",1,"2015","Novembro","Todas","Paraná"
"138","Nova Laranjeiras",1,"2015","Novembro","Todas","Paraná"
"139","Nova Londrina",3,"2015","Novembro","Todas","Paraná"
"140","Nova Olímpia",3,"2015","Novembro","Todas","Paraná"
"141","Nova Prata do Iguaçu",4,"2015","Novembro","Todas","Paraná"
"142","Nova Santa Rosa",8,"2015","Novembro","Todas","Paraná"
"143","Nova Tebas",2,"2015","Novembro","Todas","Paraná"
"144","Ortigueira",8,"2015","Novembro","Todas","Paraná"
"145","Ourizona",2,"2015","Novembro","Todas","Paraná"
"146","Paiçandu",5,"2015","Novembro","Todas","Paraná"
"147","Mallet",9,"2015","Novembro","Todas","Paraná"
"148","Mamborê",2,"2015","Novembro","Todas","Paraná"
"149","Mandaguari",9,"2015","Novembro","Todas","Paraná"
"150","Mandaguaçu",7,"2015","Novembro","Todas","Paraná"
"151","Mandirituba",6,"2015","Novembro","Todas","Paraná"
"152","Mangueirinha",5,"2015","Novembro","Todas","Paraná"
"153","Marechal Cândido Rondon",30,"2015","Novembro","Todas","Paraná"
"154","Maria Helena",1,"2015","Novembro","Todas","Paraná"
"155","Marialva",2,"2015","Novembro","Todas","Paraná"
"156","Marilena",3,"2015","Novembro","Todas","Paraná"
"157","Mariluz",2,"2015","Novembro","Todas","Paraná"
"158","Marilândia do Sul",2,"2015","Novembro","Todas","Paraná"
"159","Maringa",274,"2015","Novembro","Todas","Paraná"
"160","Maripá",1,"2015","Novembro","Todas","Paraná"
"161","Mariópolis",2,"2015","Novembro","Todas","Paraná"
"162","Marmeleiro",4,"2015","Novembro","Todas","Paraná"
"163","Marquinho",1,"2015","Novembro","Todas","Paraná"
"164","Matelandia",4,"2015","Novembro","Todas","Paraná"
"165","Matinhos",10,"2015","Novembro","Todas","Paraná"
"166","Mauá da Serra",1,"2015","Novembro","Todas","Paraná"
"167","Janiópolis",6,"2015","Novembro","Todas","Paraná"
"168","Japira",1,"2015","Novembro","Todas","Paraná"
"169","Japurá",3,"2015","Novembro","Todas","Paraná"
"170","Jardim Alegre",3,"2015","Novembro","Todas","Paraná"
"171","Jataizinho",3,"2015","Novembro","Todas","Paraná"
"172","Jesuítas",4,"2015","Novembro","Todas","Paraná"
"173","Joaquim Távora",2,"2015","Novembro","Todas","Paraná"
"174","Juranda",1,"2015","Novembro","Todas","Paraná"
"175","Jussara",4,"2015","Novembro","Todas","Paraná"
"176","Kaloré",1,"2015","Novembro","Todas","Paraná"
"177","Lapa",14,"2015","Novembro","Todas","Paraná"
"178","Laranjal",2,"2015","Novembro","Todas","Paraná"
"179","Laranjeiras do Sul",18,"2015","Novembro","Todas","Paraná"
"180","Leópolis",1,"2015","Novembro","Todas","Paraná"
"181","Lidianópolis",1,"2015","Novembro","Todas","Paraná"
"182","Loanda",12,"2015","Novembro","Todas","Paraná"
"183","Londrina",427,"2015","Novembro","Todas","Paraná"
"184","Luiziana",1,"2015","Novembro","Todas","Paraná"
"185","Lunardelli",1,"2015","Novembro","Todas","Paraná"
"186","Lupionópolis",2,"2015","Novembro","Todas","Paraná"
"187","Indianópolis",2,"2015","Novembro","Todas","Paraná"
"188","Inácio Martins",5,"2015","Novembro","Todas","Paraná"
"189","Ipiranga",2,"2015","Novembro","Todas","Paraná"
"190","Iporã",5,"2015","Novembro","Todas","Paraná"
