"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Simões",12,"2015","Novembro","Todas","Piauí"
"2","Socorro do Piauí",9,"2015","Novembro","Todas","Piauí"
"3","São Félix do Piauí",5,"2015","Novembro","Todas","Piauí"
"4","São José do Piauí",1,"2015","Novembro","Todas","Piauí"
"5","São Julião",3,"2015","Novembro","Todas","Piauí"
"6","São Raimundo Nonato",24,"2015","Novembro","Todas","Piauí"
"7","Teresina",43,"2015","Novembro","Todas","Piauí"
"8","Uruçuí",6,"2015","Novembro","Todas","Piauí"
"9","Valença do Piauí",4,"2015","Novembro","Todas","Piauí"
"10","Água Branca",16,"2015","Novembro","Todas","Piauí"
"11","Alagoinha do Piauí",2,"2015","Novembro","Todas","Piauí"
"12","Alto Longá",5,"2015","Novembro","Todas","Piauí"
"13","Altos",14,"2015","Novembro","Todas","Piauí"
"14","Bocaina",4,"2015","Novembro","Todas","Piauí"
"15","Buriti dos Lopes",14,"2015","Novembro","Todas","Piauí"
"16","Canto do Buriti",11,"2015","Novembro","Todas","Piauí"
"17","Caracol",4,"2015","Novembro","Todas","Piauí"
"18","Castelo do Piauí",7,"2015","Novembro","Todas","Piauí"
"19","Curimatá",10,"2015","Novembro","Todas","Piauí"
"20","Eliseu Martins",2,"2015","Novembro","Todas","Piauí"
"21","Floriano",42,"2015","Novembro","Todas","Piauí"
"22","Francinópolis",1,"2015","Novembro","Todas","Piauí"
"23","Francisco Ayres",4,"2015","Novembro","Todas","Piauí"
"24","Monsenhor Hipólito",2,"2015","Novembro","Todas","Piauí"
"25","Nossa Senhora dos Remédios",1,"2015","Novembro","Todas","Piauí"
"26","Oeiras",33,"2015","Novembro","Todas","Piauí"
"27","Paulistana",17,"2015","Novembro","Todas","Piauí"
"28","Picos",38,"2015","Novembro","Todas","Piauí"
"29","Regeneração",4,"2015","Novembro","Todas","Piauí"
"30","Rio Grande do Piauí",3,"2015","Novembro","Todas","Piauí"
