"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Quitéria",11,"2015","Outubro","Todas","Ceará"
"2","Senador Pompeu",4,"2015","Outubro","Todas","Ceará"
"3","São Benedito",16,"2015","Outubro","Todas","Ceará"
"4","São Gonçalo do Amarante",1,"2015","Outubro","Todas","Ceará"
"5","Tabuleiro do Norte",15,"2015","Outubro","Todas","Ceará"
"6","Tauá",25,"2015","Outubro","Todas","Ceará"
"7","Tianguá",9,"2015","Outubro","Todas","Ceará"
"8","Viçosa do Ceará",4,"2015","Outubro","Todas","Ceará"
"9","Jaguaribe",1,"2015","Outubro","Todas","Ceará"
"10","Lavras da Mangabeira",16,"2015","Outubro","Todas","Ceará"
"11","Madalena",4,"2015","Outubro","Todas","Ceará"
"12","Maracanau",68,"2015","Outubro","Todas","Ceará"
"13","Marco",1,"2015","Outubro","Todas","Ceará"
"14","Monsenhor Tabosa",2,"2015","Outubro","Todas","Ceará"
"15","Nova Russas",9,"2015","Outubro","Todas","Ceará"
"16","Novo Oriente",15,"2015","Outubro","Todas","Ceará"
"17","Ocara",5,"2015","Outubro","Todas","Ceará"
"18","Orós",1,"2015","Outubro","Todas","Ceará"
"19","Pacatuba",8,"2015","Outubro","Todas","Ceará"
"20","Palhano",3,"2015","Outubro","Todas","Ceará"
"21","Palmácia",1,"2015","Outubro","Todas","Ceará"
"22","Paracuru",13,"2015","Outubro","Todas","Ceará"
"23","Penaforte",2,"2015","Outubro","Todas","Ceará"
"24","Piquet Carneiro",9,"2015","Outubro","Todas","Ceará"
"25","Quixadá",1,"2015","Outubro","Todas","Ceará"
"26","Quixeramobim",29,"2015","Outubro","Todas","Ceará"
"27","Russas",13,"2015","Outubro","Todas","Ceará"
"28","Salitre",5,"2015","Outubro","Todas","Ceará"
"29","Acarapé",2,"2015","Outubro","Todas","Ceará"
"30","Aratuba",3,"2015","Outubro","Todas","Ceará"
"31","Barbalha",67,"2015","Outubro","Todas","Ceará"
"32","Barreira",4,"2015","Outubro","Todas","Ceará"
"33","Beberibe",4,"2015","Outubro","Todas","Ceará"
"34","Bela Cruz",10,"2015","Outubro","Todas","Ceará"
"35","Campos Sales",11,"2015","Outubro","Todas","Ceará"
"36","Carnaubal",8,"2015","Outubro","Todas","Ceará"
"37","Catarina",2,"2015","Outubro","Todas","Ceará"
"38","Caucaia",2,"2015","Outubro","Todas","Ceará"
"39","Coreaú",4,"2015","Outubro","Todas","Ceará"
"40","Fortaleza",264,"2015","Outubro","Todas","Ceará"
"41","Fortim",6,"2015","Outubro","Todas","Ceará"
"42","Guaramiranga",2,"2015","Outubro","Todas","Ceará"
"43","Ibiapina",2,"2015","Outubro","Todas","Ceará"
"44","Independência",1,"2015","Outubro","Todas","Ceará"
"45","Ipaporanga",3,"2015","Outubro","Todas","Ceará"
"46","Irauçuba",7,"2015","Outubro","Todas","Ceará"
"47","Itapiúna",1,"2015","Outubro","Todas","Ceará"
"48","Jaguaretama",6,"2015","Outubro","Todas","Ceará"
