"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Laguna Carapã",2,"2015","Outubro","Todas","Mato Grosso do Sul"
"2","Miranda",8,"2015","Outubro","Todas","Mato Grosso do Sul"
"3","Mundo Novo",9,"2015","Outubro","Todas","Mato Grosso do Sul"
"4","Naviraí",4,"2015","Outubro","Todas","Mato Grosso do Sul"
"5","Nova Alvorada do Sul",8,"2015","Outubro","Todas","Mato Grosso do Sul"
"6","Paraíso das Águas",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"7","Ponta Porã",2,"2015","Outubro","Todas","Mato Grosso do Sul"
"8","Rio Brilhante",9,"2015","Outubro","Todas","Mato Grosso do Sul"
"9","Rio Negro",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"10","Santa Rita do Pardo",3,"2015","Outubro","Todas","Mato Grosso do Sul"
"11","Sidrolândia",14,"2015","Outubro","Todas","Mato Grosso do Sul"
"12","São Gabriel do Oeste",9,"2015","Outubro","Todas","Mato Grosso do Sul"
"13","Terenos",3,"2015","Outubro","Todas","Mato Grosso do Sul"
"14","Água Clara",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"15","Amambaí",10,"2015","Outubro","Todas","Mato Grosso do Sul"
"16","Anaurilândia",2,"2015","Outubro","Todas","Mato Grosso do Sul"
"17","Angélica",5,"2015","Outubro","Todas","Mato Grosso do Sul"
"18","Antônio João",5,"2015","Outubro","Todas","Mato Grosso do Sul"
"19","Bataguassu",4,"2015","Outubro","Todas","Mato Grosso do Sul"
"20","Batayporã",3,"2015","Outubro","Todas","Mato Grosso do Sul"
"21","Bela Vista",5,"2015","Outubro","Todas","Mato Grosso do Sul"
"22","Bodoquena",3,"2015","Outubro","Todas","Mato Grosso do Sul"
"23","Camapuã",7,"2015","Outubro","Todas","Mato Grosso do Sul"
"24","Campo Grande",213,"2015","Outubro","Todas","Mato Grosso do Sul"
"25","Coxim",13,"2015","Outubro","Todas","Mato Grosso do Sul"
"26","Dois Irmãos do Buriti",2,"2015","Outubro","Todas","Mato Grosso do Sul"
"27","Dourados",183,"2015","Outubro","Todas","Mato Grosso do Sul"
"28","Figueirão",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"29","Guia Lopes da Laguna",4,"2015","Outubro","Todas","Mato Grosso do Sul"
"30","Ivinhema",13,"2015","Outubro","Todas","Mato Grosso do Sul"
"31","Japorã",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"32","Jardim",11,"2015","Outubro","Todas","Mato Grosso do Sul"
"33","Jateí",1,"2015","Outubro","Todas","Mato Grosso do Sul"
"34","Juti",2,"2015","Outubro","Todas","Mato Grosso do Sul"
