"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João de Meriti",87,"2015","Outubro","Todas","Rio de Janeiro"
"2","São Sebastião do Alto",4,"2015","Outubro","Todas","Rio de Janeiro"
"3","Tanguá",5,"2015","Outubro","Todas","Rio de Janeiro"
"4","Teresopolis",1,"2015","Outubro","Todas","Rio de Janeiro"
"5","Três Rios",52,"2015","Outubro","Todas","Rio de Janeiro"
"6","Valença",14,"2015","Outubro","Todas","Rio de Janeiro"
"7","Vassouras",75,"2015","Outubro","Todas","Rio de Janeiro"
"8","Volta Redonda",50,"2015","Outubro","Todas","Rio de Janeiro"
"9","Miguel Pereira",17,"2015","Outubro","Todas","Rio de Janeiro"
"10","Nilópolis",5,"2015","Outubro","Todas","Rio de Janeiro"
"11","Niteroi",1,"2015","Outubro","Todas","Rio de Janeiro"
"12","Nova Friburgo",3,"2015","Outubro","Todas","Rio de Janeiro"
"13","Nova Iguaçu",8,"2015","Outubro","Todas","Rio de Janeiro"
"14","Paraiba do Sul",11,"2015","Outubro","Todas","Rio de Janeiro"
"15","Parati",1,"2015","Outubro","Todas","Rio de Janeiro"
"16","Paty do Alferes",6,"2015","Outubro","Todas","Rio de Janeiro"
"17","Petropolis",2,"2015","Outubro","Todas","Rio de Janeiro"
"18","Quatis",5,"2015","Outubro","Todas","Rio de Janeiro"
"19","Resende",30,"2015","Outubro","Todas","Rio de Janeiro"
"20","Rio Claro",6,"2015","Outubro","Todas","Rio de Janeiro"
"21","Rio das Ostras",1,"2015","Outubro","Todas","Rio de Janeiro"
"22","Rio de Janeiro",1059,"2015","Outubro","Todas","Rio de Janeiro"
"23","Santo Antônio de Pádua",36,"2015","Outubro","Todas","Rio de Janeiro"
"24","Sapucaia",1,"2015","Outubro","Todas","Rio de Janeiro"
"25","Saquarema",43,"2015","Outubro","Todas","Rio de Janeiro"
"26","Seropedica",1,"2015","Outubro","Todas","Rio de Janeiro"
"27","São Gonçalo",9,"2015","Outubro","Todas","Rio de Janeiro"
"28","São João da Barra",13,"2015","Outubro","Todas","Rio de Janeiro"
"29","Angra dos Reis",83,"2015","Outubro","Todas","Rio de Janeiro"
"30","Araruama",9,"2015","Outubro","Todas","Rio de Janeiro"
"31","Belford Roxo",21,"2015","Outubro","Todas","Rio de Janeiro"
"32","Bom Jardim",23,"2015","Outubro","Todas","Rio de Janeiro"
"33","Bom Jesus do Itabapoana",17,"2015","Outubro","Todas","Rio de Janeiro"
"34","Cabo Frio",109,"2015","Outubro","Todas","Rio de Janeiro"
"35","Campos dos Goytacazes",289,"2015","Outubro","Todas","Rio de Janeiro"
"36","Cantagalo",9,"2015","Outubro","Todas","Rio de Janeiro"
"37","Casimiro de Abreu",1,"2015","Outubro","Todas","Rio de Janeiro"
"38","Cordeiro",2,"2015","Outubro","Todas","Rio de Janeiro"
"39","Duas Barras",4,"2015","Outubro","Todas","Rio de Janeiro"
"40","Duque de Caxias",24,"2015","Outubro","Todas","Rio de Janeiro"
"41","Engenheiro Paulo de Frontin",14,"2015","Outubro","Todas","Rio de Janeiro"
"42","Itaguai",54,"2015","Outubro","Todas","Rio de Janeiro"
"43","Itaperuna",5,"2015","Outubro","Todas","Rio de Janeiro"
"44","Japeri",22,"2015","Outubro","Todas","Rio de Janeiro"
"45","Macae",18,"2015","Outubro","Todas","Rio de Janeiro"
"46","Mage",2,"2015","Outubro","Todas","Rio de Janeiro"
"47","Mangaratiba",16,"2015","Outubro","Todas","Rio de Janeiro"
"48","Maricá",18,"2015","Outubro","Todas","Rio de Janeiro"
