"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rosario do Catete",2,"2015","Outubro","Todas","Sergipe"
"2","Salgado",1,"2015","Outubro","Todas","Sergipe"
"3","Santa Luzia do Itanhy",3,"2015","Outubro","Todas","Sergipe"
"4","Santa Rosa de Lima",4,"2015","Outubro","Todas","Sergipe"
"5","Simão Dias",7,"2015","Outubro","Todas","Sergipe"
"6","Siriri",1,"2015","Outubro","Todas","Sergipe"
"7","São Cristóvão",23,"2015","Outubro","Todas","Sergipe"
"8","São Domingos",3,"2015","Outubro","Todas","Sergipe"
"9","São Miguel do Aleixo",1,"2015","Outubro","Todas","Sergipe"
"10","Tobias Barreto",31,"2015","Outubro","Todas","Sergipe"
"11","Umbaúba",6,"2015","Outubro","Todas","Sergipe"
"12","Lagarto",55,"2015","Outubro","Todas","Sergipe"
"13","Laranjeiras",5,"2015","Outubro","Todas","Sergipe"
"14","Macambira",1,"2015","Outubro","Todas","Sergipe"
"15","Malhador",2,"2015","Outubro","Todas","Sergipe"
"16","Maruim",4,"2015","Outubro","Todas","Sergipe"
"17","Monte Alegre de Sergipe",3,"2015","Outubro","Todas","Sergipe"
"18","Neópolis",9,"2015","Outubro","Todas","Sergipe"
"19","Nossa Senhora da Glória",21,"2015","Outubro","Todas","Sergipe"
"20","Nossa Senhora das Dores",3,"2015","Outubro","Todas","Sergipe"
"21","Nossa Senhora de Lourdes",2,"2015","Outubro","Todas","Sergipe"
"22","Nossa Senhora do Socorro",41,"2015","Outubro","Todas","Sergipe"
"23","Pacatuba",5,"2015","Outubro","Todas","Sergipe"
"24","Pedra Mole",1,"2015","Outubro","Todas","Sergipe"
"25","Pedrinhas",4,"2015","Outubro","Todas","Sergipe"
"26","Pinhão",2,"2015","Outubro","Todas","Sergipe"
"27","Pirambu",2,"2015","Outubro","Todas","Sergipe"
"28","Porto da Folha",5,"2015","Outubro","Todas","Sergipe"
"29","Poço Verde",3,"2015","Outubro","Todas","Sergipe"
"30","Propriá",23,"2015","Outubro","Todas","Sergipe"
"31","Riachão do Dantas",4,"2015","Outubro","Todas","Sergipe"
"32","Aracaju",385,"2015","Outubro","Todas","Sergipe"
"33","Arauá",2,"2015","Outubro","Todas","Sergipe"
"34","Areia Branca",5,"2015","Outubro","Todas","Sergipe"
"35","Barra dos Coqueiros",3,"2015","Outubro","Todas","Sergipe"
"36","Boquim",5,"2015","Outubro","Todas","Sergipe"
"37","Brejo Grande",2,"2015","Outubro","Todas","Sergipe"
"38","Capela",5,"2015","Outubro","Todas","Sergipe"
"39","Carira",11,"2015","Outubro","Todas","Sergipe"
"40","Carmopolis",2,"2015","Outubro","Todas","Sergipe"
"41","Cedro de São João",3,"2015","Outubro","Todas","Sergipe"
"42","Estância",43,"2015","Outubro","Todas","Sergipe"
"43","Frei Paulo",4,"2015","Outubro","Todas","Sergipe"
"44","General Maynard",1,"2015","Outubro","Todas","Sergipe"
"45","Ilha das Flores",1,"2015","Outubro","Todas","Sergipe"
"46","Indiaroba",4,"2015","Outubro","Todas","Sergipe"
"47","Itabaiana",60,"2015","Outubro","Todas","Sergipe"
"48","Itabaianinha",14,"2015","Outubro","Todas","Sergipe"
"49","Itaporanga D'ajuda",13,"2015","Outubro","Todas","Sergipe"
"50","Japaratuba",4,"2015","Outubro","Todas","Sergipe"
"51","Japoatã",8,"2015","Outubro","Todas","Sergipe"
