"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Novo Alegre",1,"2015","Outubro","Todas","Tocantins"
"2","Palmas",169,"2015","Outubro","Todas","Tocantins"
"3","Palmeirante",2,"2015","Outubro","Todas","Tocantins"
"4","Palmeirópolis",4,"2015","Outubro","Todas","Tocantins"
"5","Paraiso do Tocantins",20,"2015","Outubro","Todas","Tocantins"
"6","Paranã",3,"2015","Outubro","Todas","Tocantins"
"7","Pequizeiro",2,"2015","Outubro","Todas","Tocantins"
"8","Pium",4,"2015","Outubro","Todas","Tocantins"
"9","Santa Maria do Tocantins",1,"2015","Outubro","Todas","Tocantins"
"10","Silvanópolis",2,"2015","Outubro","Todas","Tocantins"
"11","São Valério da Natividade",4,"2015","Outubro","Todas","Tocantins"
"12","Talismã",2,"2015","Outubro","Todas","Tocantins"
"13","Aguiarnópolis",2,"2015","Outubro","Todas","Tocantins"
"14","Alvorada",5,"2015","Outubro","Todas","Tocantins"
"15","Araguaçu",4,"2015","Outubro","Todas","Tocantins"
"16","Arraias",3,"2015","Outubro","Todas","Tocantins"
"17","Barra do Ouro",1,"2015","Outubro","Todas","Tocantins"
"18","Barrolândia",3,"2015","Outubro","Todas","Tocantins"
"19","Brasilândia do Tocantins",1,"2015","Outubro","Todas","Tocantins"
"20","Brejinho de Nazaré",2,"2015","Outubro","Todas","Tocantins"
"21","Colméia",3,"2015","Outubro","Todas","Tocantins"
"22","Dois Irmãos do Tocantins",1,"2015","Outubro","Todas","Tocantins"
"23","Goianorte",1,"2015","Outubro","Todas","Tocantins"
"24","Guaraí",7,"2015","Outubro","Todas","Tocantins"
"25","Gurupi",50,"2015","Outubro","Todas","Tocantins"
"26","Itapiratins",1,"2015","Outubro","Todas","Tocantins"
"27","Lagoa da Confusão",4,"2015","Outubro","Todas","Tocantins"
"28","Lajeado",1,"2015","Outubro","Todas","Tocantins"
"29","Maurilândia do Tocantins",1,"2015","Outubro","Todas","Tocantins"
"30","Miracema do Tocantins",6,"2015","Outubro","Todas","Tocantins"
"31","Monte Santo do Tocantins",2,"2015","Outubro","Todas","Tocantins"
"32","Novo Acordo",1,"2015","Outubro","Todas","Tocantins"
