"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vila Maria",3,"2015","Setembro","Todas","Rio Grande do Sul"
"2","Água Santa",1,"2015","Setembro","Todas","Rio Grande do Sul"
"3","Tenente Portela",16,"2015","Setembro","Todas","Rio Grande do Sul"
"4","Terra de Areia",2,"2015","Setembro","Todas","Rio Grande do Sul"
"5","Teutônia",7,"2015","Setembro","Todas","Rio Grande do Sul"
"6","Tiradentes do Sul",1,"2015","Setembro","Todas","Rio Grande do Sul"
"7","Tramandaí",56,"2015","Setembro","Todas","Rio Grande do Sul"
"8","Triunfo",14,"2015","Setembro","Todas","Rio Grande do Sul"
"9","Três Arroios",2,"2015","Setembro","Todas","Rio Grande do Sul"
"10","Três Cachoeiras",2,"2015","Setembro","Todas","Rio Grande do Sul"
"11","Três Coroas",7,"2015","Setembro","Todas","Rio Grande do Sul"
"12","Três Forquilhas",1,"2015","Setembro","Todas","Rio Grande do Sul"
"13","Três Passos",23,"2015","Setembro","Todas","Rio Grande do Sul"
"14","Três de Maio",18,"2015","Setembro","Todas","Rio Grande do Sul"
"15","Tupanciretã",11,"2015","Setembro","Todas","Rio Grande do Sul"
"16","Tuparendi",9,"2015","Setembro","Todas","Rio Grande do Sul"
"17","Uruguaiana",4,"2015","Setembro","Todas","Rio Grande do Sul"
"18","Vacaria",57,"2015","Setembro","Todas","Rio Grande do Sul"
"19","Vale do Sol",6,"2015","Setembro","Todas","Rio Grande do Sul"
"20","Venâncio Aires",1,"2015","Setembro","Todas","Rio Grande do Sul"
"21","Vera Cruz",17,"2015","Setembro","Todas","Rio Grande do Sul"
"22","Vicente Dutra",3,"2015","Setembro","Todas","Rio Grande do Sul"
"23","São Borja",42,"2015","Setembro","Todas","Rio Grande do Sul"
"24","São Domingos do Sul",4,"2015","Setembro","Todas","Rio Grande do Sul"
"25","São Gabriel",45,"2015","Setembro","Todas","Rio Grande do Sul"
"26","São Jorge",2,"2015","Setembro","Todas","Rio Grande do Sul"
"27","São José do Herval",3,"2015","Setembro","Todas","Rio Grande do Sul"
"28","São José do Norte",1,"2015","Setembro","Todas","Rio Grande do Sul"
