"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Águas de Chapecó",2,"2015","Setembro","Todas","Santa Catarina"
"2","Taió",5,"2015","Setembro","Todas","Santa Catarina"
"3","Tijucas",12,"2015","Setembro","Todas","Santa Catarina"
"4","Timbo",20,"2015","Setembro","Todas","Santa Catarina"
"5","Timbó Grande",4,"2015","Setembro","Todas","Santa Catarina"
"6","Treze Tilias",3,"2015","Setembro","Todas","Santa Catarina"
"7","Treze de Maio",2,"2015","Setembro","Todas","Santa Catarina"
"8","Trombudo Central",4,"2015","Setembro","Todas","Santa Catarina"
"9","Três Barras",7,"2015","Setembro","Todas","Santa Catarina"
"10","Tubarao",92,"2015","Setembro","Todas","Santa Catarina"
"11","Tunápolis",2,"2015","Setembro","Todas","Santa Catarina"
"12","Turvo",10,"2015","Setembro","Todas","Santa Catarina"
"13","Urubici",2,"2015","Setembro","Todas","Santa Catarina"
"14","Urussanga",6,"2015","Setembro","Todas","Santa Catarina"
"15","Vargem",1,"2015","Setembro","Todas","Santa Catarina"
"16","Vargem Bonita",2,"2015","Setembro","Todas","Santa Catarina"
"17","Vidal Ramos",3,"2015","Setembro","Todas","Santa Catarina"
"18","Videira",24,"2015","Setembro","Todas","Santa Catarina"
"19","Xanxere",43,"2015","Setembro","Todas","Santa Catarina"
"20","Água Doce",3,"2015","Setembro","Todas","Santa Catarina"
"21","Águas Mornas",1,"2015","Setembro","Todas","Santa Catarina"
"22","Salto Veloso",1,"2015","Setembro","Todas","Santa Catarina"
"23","Santa Cecília",5,"2015","Setembro","Todas","Santa Catarina"
"24","Santa Rosa do Sul",2,"2015","Setembro","Todas","Santa Catarina"
"25","Santo Amaro da Imperatriz",8,"2015","Setembro","Todas","Santa Catarina"
"26","Sao Jose do Cerrito",2,"2015","Setembro","Todas","Santa Catarina"
"27","Schroeder",1,"2015","Setembro","Todas","Santa Catarina"
"28","Seara",11,"2015","Setembro","Todas","Santa Catarina"
"29","Serra Alta",1,"2015","Setembro","Todas","Santa Catarina"
"30","Sul Brasil",2,"2015","Setembro","Todas","Santa Catarina"
"31","São Carlos",11,"2015","Setembro","Todas","Santa Catarina"
"32","São Domingos",1,"2015","Setembro","Todas","Santa Catarina"
"33","São Francisco do Sul",11,"2015","Setembro","Todas","Santa Catarina"
"34","São Joaquim",18,"2015","Setembro","Todas","Santa Catarina"
"35","São José",148,"2015","Setembro","Todas","Santa Catarina"
"36","São José do Cedro",2,"2015","Setembro","Todas","Santa Catarina"
"37","São João Batista",3,"2015","Setembro","Todas","Santa Catarina"
"38","São João do Sul",2,"2015","Setembro","Todas","Santa Catarina"
"39","São Lourenço do Oeste",10,"2015","Setembro","Todas","Santa Catarina"
"40","São Miguel do Oeste",38,"2015","Setembro","Todas","Santa Catarina"
"41","São Pedro de Alcântara",2,"2015","Setembro","Todas","Santa Catarina"
"42","Papanduva",13,"2015","Setembro","Todas","Santa Catarina"
"43","Paraíso",3,"2015","Setembro","Todas","Santa Catarina"
"44","Penha",7,"2015","Setembro","Todas","Santa Catarina"
"45","Peritiba",2,"2015","Setembro","Todas","Santa Catarina"
"46","Petrolândia",1,"2015","Setembro","Todas","Santa Catarina"
"47","Pinhalzinho",13,"2015","Setembro","Todas","Santa Catarina"
"48","Pomerode",19,"2015","Setembro","Todas","Santa Catarina"
"49","Ponte Alta",1,"2015","Setembro","Todas","Santa Catarina"
"50","Presidente Getúlio",3,"2015","Setembro","Todas","Santa Catarina"
"51","Quilombo",9,"2015","Setembro","Todas","Santa Catarina"
"52","Rancho Queimado",2,"2015","Setembro","Todas","Santa Catarina"
"53","Rio Fortuna",1,"2015","Setembro","Todas","Santa Catarina"
"54","Rio Negrinho",13,"2015","Setembro","Todas","Santa Catarina"
"55","Rio Rufino",1,"2015","Setembro","Todas","Santa Catarina"
"56","Rio das Antas",2,"2015","Setembro","Todas","Santa Catarina"
"57","Rio do Campo",2,"2015","Setembro","Todas","Santa Catarina"
"58","Rio do Sul",50,"2015","Setembro","Todas","Santa Catarina"
"59","Rio dos Cedros",2,"2015","Setembro","Todas","Santa Catarina"
"60","Rodeio",2,"2015","Setembro","Todas","Santa Catarina"
"61","Salete",3,"2015","Setembro","Todas","Santa Catarina"
"62","Lontras",1,"2015","Setembro","Todas","Santa Catarina"
"63","Luiz Alves",6,"2015","Setembro","Todas","Santa Catarina"
"64","Luzerna",2,"2015","Setembro","Todas","Santa Catarina"
"65","Mafra",28,"2015","Setembro","Todas","Santa Catarina"
"66","Major Vieira",2,"2015","Setembro","Todas","Santa Catarina"
"67","Maracaja",1,"2015","Setembro","Todas","Santa Catarina"
"68","Massaranduba",1,"2015","Setembro","Todas","Santa Catarina"
"69","Matos Costa",1,"2015","Setembro","Todas","Santa Catarina"
"70","Monte Carlo",1,"2015","Setembro","Todas","Santa Catarina"
"71","Monte Castelo",10,"2015","Setembro","Todas","Santa Catarina"
"72","Navegantes",17,"2015","Setembro","Todas","Santa Catarina"
"73","Nova Trento",9,"2015","Setembro","Todas","Santa Catarina"
"74","Nova Veneza",3,"2015","Setembro","Todas","Santa Catarina"
"75","Orleans",6,"2015","Setembro","Todas","Santa Catarina"
"76","Otacílio Costa",4,"2015","Setembro","Todas","Santa Catarina"
"77","Paial",2,"2015","Setembro","Todas","Santa Catarina"
"78","Painel",1,"2015","Setembro","Todas","Santa Catarina"
"79","Palhoça",11,"2015","Setembro","Todas","Santa Catarina"
"80","Palma Sola",4,"2015","Setembro","Todas","Santa Catarina"
"81","Palmeira",2,"2015","Setembro","Todas","Santa Catarina"
"82","Itajai",126,"2015","Setembro","Todas","Santa Catarina"
"83","Itapema",17,"2015","Setembro","Todas","Santa Catarina"
"84","Itapoa",4,"2015","Setembro","Todas","Santa Catarina"
"85","Ituporanga",16,"2015","Setembro","Todas","Santa Catarina"
"86","Itá",2,"2015","Setembro","Todas","Santa Catarina"
"87","Içara",20,"2015","Setembro","Todas","Santa Catarina"
"88","Jaborá",1,"2015","Setembro","Todas","Santa Catarina"
"89","Jacinto Machado",4,"2015","Setembro","Todas","Santa Catarina"
"90","Jaguaruna",7,"2015","Setembro","Todas","Santa Catarina"
"91","Jaraguá do Sul",72,"2015","Setembro","Todas","Santa Catarina"
"92","Joaçaba",45,"2015","Setembro","Todas","Santa Catarina"
"93","Joinville",170,"2015","Setembro","Todas","Santa Catarina"
"94","José Boiteux",3,"2015","Setembro","Todas","Santa Catarina"
"95","Lacerdópolis",1,"2015","Setembro","Todas","Santa Catarina"
"96","Lages",126,"2015","Setembro","Todas","Santa Catarina"
"97","Laguna",23,"2015","Setembro","Todas","Santa Catarina"
"98","Laurentino",2,"2015","Setembro","Todas","Santa Catarina"
"99","Lauro Muller",8,"2015","Setembro","Todas","Santa Catarina"
"100","Lebon Régis",9,"2015","Setembro","Todas","Santa Catarina"
"101","Lindóia do Sul",10,"2015","Setembro","Todas","Santa Catarina"
"102","Galvão",1,"2015","Setembro","Todas","Santa Catarina"
"103","Garuva",3,"2015","Setembro","Todas","Santa Catarina"
"104","Gaspar",14,"2015","Setembro","Todas","Santa Catarina"
"105","Grão Pará",2,"2015","Setembro","Todas","Santa Catarina"
"106","Guabiruba",2,"2015","Setembro","Todas","Santa Catarina"
"107","Guaraciaba",9,"2015","Setembro","Todas","Santa Catarina"
"108","Guaramirim",10,"2015","Setembro","Todas","Santa Catarina"
"109","Guarujá do Sul",6,"2015","Setembro","Todas","Santa Catarina"
"110","Herval D'oeste",9,"2015","Setembro","Todas","Santa Catarina"
"111","Ibiam",3,"2015","Setembro","Todas","Santa Catarina"
"112","Ibirama",10,"2015","Setembro","Todas","Santa Catarina"
"113","Ilhota",3,"2015","Setembro","Todas","Santa Catarina"
"114","Imbituba",19,"2015","Setembro","Todas","Santa Catarina"
"115","Imbuia",4,"2015","Setembro","Todas","Santa Catarina"
"116","Indaial",24,"2015","Setembro","Todas","Santa Catarina"
"117","Ipuaçu",4,"2015","Setembro","Todas","Santa Catarina"
"118","Ipumirim",2,"2015","Setembro","Todas","Santa Catarina"
"119","Irani",1,"2015","Setembro","Todas","Santa Catarina"
"120","Irati",2,"2015","Setembro","Todas","Santa Catarina"
"121","Itaiopolis",3,"2015","Setembro","Todas","Santa Catarina"
"122","Capão Alto",1,"2015","Setembro","Todas","Santa Catarina"
"123","Catanduvas",4,"2015","Setembro","Todas","Santa Catarina"
"124","Caxambu do Sul",2,"2015","Setembro","Todas","Santa Catarina"
"125","Caçador",36,"2015","Setembro","Todas","Santa Catarina"
"126","Chapeco",1,"2015","Setembro","Todas","Santa Catarina"
"127","Cocal do Sul",2,"2015","Setembro","Todas","Santa Catarina"
"128","Concordia",44,"2015","Setembro","Todas","Santa Catarina"
"129","Correia Pinto",5,"2015","Setembro","Todas","Santa Catarina"
"130","Corupa",2,"2015","Setembro","Todas","Santa Catarina"
"131","Criciuma",149,"2015","Setembro","Todas","Santa Catarina"
"132","Cunha Porã",5,"2015","Setembro","Todas","Santa Catarina"
"133","Curitibanos",35,"2015","Setembro","Todas","Santa Catarina"
"134","Dionísio Cerqueira",6,"2015","Setembro","Todas","Santa Catarina"
"135","Doutor Pedrinho",1,"2015","Setembro","Todas","Santa Catarina"
"136","Erval Velho",5,"2015","Setembro","Todas","Santa Catarina"
"137","Faxinal dos Guedes",1,"2015","Setembro","Todas","Santa Catarina"
"138","Florianopolis",110,"2015","Setembro","Todas","Santa Catarina"
"139","Forquilhinha",2,"2015","Setembro","Todas","Santa Catarina"
"140","Fraiburgo",14,"2015","Setembro","Todas","Santa Catarina"
"141","Frei Rogério",2,"2015","Setembro","Todas","Santa Catarina"
"142","Bela Vista do Toldo",1,"2015","Setembro","Todas","Santa Catarina"
"143","Benedito Novo",3,"2015","Setembro","Todas","Santa Catarina"
"144","Biguaçu",7,"2015","Setembro","Todas","Santa Catarina"
"145","Blumenau",188,"2015","Setembro","Todas","Santa Catarina"
"146","Bom Jardim da Serra",2,"2015","Setembro","Todas","Santa Catarina"
"147","Bom Jesus",1,"2015","Setembro","Todas","Santa Catarina"
"148","Bom Retiro",4,"2015","Setembro","Todas","Santa Catarina"
"149","Bombinhas",3,"2015","Setembro","Todas","Santa Catarina"
"150","Botuverá",1,"2015","Setembro","Todas","Santa Catarina"
"151","Braço do Norte",7,"2015","Setembro","Todas","Santa Catarina"
"152","Braço do Trombudo",1,"2015","Setembro","Todas","Santa Catarina"
"153","Brusque",54,"2015","Setembro","Todas","Santa Catarina"
"154","Caibi",7,"2015","Setembro","Todas","Santa Catarina"
"155","Calmon",1,"2015","Setembro","Todas","Santa Catarina"
