"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Novo Acordo",3,"2015","Setembro","Todas","Tocantins"
"2","Novo Alegre",1,"2015","Setembro","Todas","Tocantins"
"3","Palmas",142,"2015","Setembro","Todas","Tocantins"
"4","Palmeirante",5,"2015","Setembro","Todas","Tocantins"
"5","Palmeirópolis",5,"2015","Setembro","Todas","Tocantins"
"6","Paraiso do Tocantins",22,"2015","Setembro","Todas","Tocantins"
"7","Paranã",3,"2015","Setembro","Todas","Tocantins"
"8","Pau D'arco",3,"2015","Setembro","Todas","Tocantins"
"9","Pindorama do Tocantins",2,"2015","Setembro","Todas","Tocantins"
"10","Pium",4,"2015","Setembro","Todas","Tocantins"
"11","Ponte Alta do Tocantins",5,"2015","Setembro","Todas","Tocantins"
"12","Santa Maria do Tocantins",1,"2015","Setembro","Todas","Tocantins"
"13","Silvanópolis",1,"2015","Setembro","Todas","Tocantins"
"14","São Félix do Tocantins",1,"2015","Setembro","Todas","Tocantins"
"15","São Valério da Natividade",5,"2015","Setembro","Todas","Tocantins"
"16","Aguiarnópolis",3,"2015","Setembro","Todas","Tocantins"
"17","Araguatins",1,"2015","Setembro","Todas","Tocantins"
"18","Babaçulândia",1,"2015","Setembro","Todas","Tocantins"
"19","Barrolândia",3,"2015","Setembro","Todas","Tocantins"
"20","Brasilândia do Tocantins",2,"2015","Setembro","Todas","Tocantins"
"21","Brejinho de Nazaré",4,"2015","Setembro","Todas","Tocantins"
"22","Campos Lindos",1,"2015","Setembro","Todas","Tocantins"
"23","Carrasco Bonito",1,"2015","Setembro","Todas","Tocantins"
"24","Caseara",2,"2015","Setembro","Todas","Tocantins"
"25","Centenário",1,"2015","Setembro","Todas","Tocantins"
"26","Colméia",6,"2015","Setembro","Todas","Tocantins"
"27","Dois Irmãos do Tocantins",3,"2015","Setembro","Todas","Tocantins"
"28","Figueirópolis",1,"2015","Setembro","Todas","Tocantins"
"29","Fortaleza do Tabocão",1,"2015","Setembro","Todas","Tocantins"
"30","Goianorte",3,"2015","Setembro","Todas","Tocantins"
"31","Lagoa da Confusão",2,"2015","Setembro","Todas","Tocantins"
"32","Lajeado",2,"2015","Setembro","Todas","Tocantins"
"33","Mateiros",1,"2015","Setembro","Todas","Tocantins"
"34","Miracema do Tocantins",1,"2015","Setembro","Todas","Tocantins"
"35","Monte Santo do Tocantins",1,"2015","Setembro","Todas","Tocantins"
