"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",2,"2016","Abril","Todas","Acre"
"2","Brasiléia",13,"2016","Abril","Todas","Acre"
"3","Bujari",2,"2016","Abril","Todas","Acre"
"4","Cruzeiro do Sul",31,"2016","Abril","Todas","Acre"
"5","Epitaciolândia",3,"2016","Abril","Todas","Acre"
"6","Feijó",14,"2016","Abril","Todas","Acre"
"7","Manoel Urbano",2,"2016","Abril","Todas","Acre"
"8","Mâncio Lima",1,"2016","Abril","Todas","Acre"
"9","Plácido de Castro",5,"2016","Abril","Todas","Acre"
"10","Porto Walter",1,"2016","Abril","Todas","Acre"
"11","Rio Branco",111,"2016","Abril","Todas","Acre"
"12","Rodrigues Alves",2,"2016","Abril","Todas","Acre"
"13","Sena Madureira",5,"2016","Abril","Todas","Acre"
"14","Senador Guiomard",7,"2016","Abril","Todas","Acre"
"15","Xapuri",5,"2016","Abril","Todas","Acre"
