"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Matriz de Camaragibe",2,"2016","Abril","Todas","Alagoas"
"2","Messias",5,"2016","Abril","Todas","Alagoas"
"3","Olho D'água do Casado",1,"2016","Abril","Todas","Alagoas"
"4","Ouro Branco",3,"2016","Abril","Todas","Alagoas"
"5","Palmeira dos Índios",68,"2016","Abril","Todas","Alagoas"
"6","Penedo",1,"2016","Abril","Todas","Alagoas"
"7","Porto Calvo",5,"2016","Abril","Todas","Alagoas"
"8","Porto Real do Colégio",4,"2016","Abril","Todas","Alagoas"
"9","Pão de Açúcar",9,"2016","Abril","Todas","Alagoas"
"10","Roteiro",2,"2016","Abril","Todas","Alagoas"
"11","Santana do Ipanema",44,"2016","Abril","Todas","Alagoas"
"12","Santana do Mundaú",5,"2016","Abril","Todas","Alagoas"
"13","Satuba",3,"2016","Abril","Todas","Alagoas"
"14","São Brás",2,"2016","Abril","Todas","Alagoas"
"15","São José da Laje",9,"2016","Abril","Todas","Alagoas"
"16","Teotônio Vilela",7,"2016","Abril","Todas","Alagoas"
"17","União dos Palmares",1,"2016","Abril","Todas","Alagoas"
"18","Água Branca",10,"2016","Abril","Todas","Alagoas"
"19","Arapiraca",55,"2016","Abril","Todas","Alagoas"
"20","Atalaia",15,"2016","Abril","Todas","Alagoas"
"21","Belém",2,"2016","Abril","Todas","Alagoas"
"22","Boca da Mata",3,"2016","Abril","Todas","Alagoas"
"23","Canapi",5,"2016","Abril","Todas","Alagoas"
"24","Craíbas",7,"2016","Abril","Todas","Alagoas"
"25","Feira Grande",12,"2016","Abril","Todas","Alagoas"
"26","Flexeiras",7,"2016","Abril","Todas","Alagoas"
"27","Inhapi",1,"2016","Abril","Todas","Alagoas"
"28","Jacuípe",1,"2016","Abril","Todas","Alagoas"
"29","Japaratinga",1,"2016","Abril","Todas","Alagoas"
"30","Jequiá da Praia",1,"2016","Abril","Todas","Alagoas"
"31","Jundiá",1,"2016","Abril","Todas","Alagoas"
"32","Junqueiro",7,"2016","Abril","Todas","Alagoas"
"33","Lagoa da Canoa",9,"2016","Abril","Todas","Alagoas"
"34","Maceio",859,"2016","Abril","Todas","Alagoas"
"35","Major Isidoro",1,"2016","Abril","Todas","Alagoas"
"36","Maragogi",5,"2016","Abril","Todas","Alagoas"
"37","Marechal Deodoro",2,"2016","Abril","Todas","Alagoas"
"38","Mata Grande",7,"2016","Abril","Todas","Alagoas"
