"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Félix do Xingu",14,"2016","Abril","Todas","Pará"
"2","São Geraldo do Araguaia",10,"2016","Abril","Todas","Pará"
"3","Tucumã",8,"2016","Abril","Todas","Pará"
"4","Uruará",9,"2016","Abril","Todas","Pará"
"5","Vigia",15,"2016","Abril","Todas","Pará"
"6","Xinguara",11,"2016","Abril","Todas","Pará"
"7","Abaetetuba",2,"2016","Abril","Todas","Pará"
"8","Altamira",50,"2016","Abril","Todas","Pará"
"9","Barcarena",11,"2016","Abril","Todas","Pará"
"10","Belém",662,"2016","Abril","Todas","Pará"
"11","Brejo Grande do Araguaia",1,"2016","Abril","Todas","Pará"
"12","Canaã dos Carajás",5,"2016","Abril","Todas","Pará"
"13","Capitão Poço",13,"2016","Abril","Todas","Pará"
"14","Dom Eliseu",15,"2016","Abril","Todas","Pará"
"15","Ipixuna do Para",1,"2016","Abril","Todas","Pará"
"16","Marituba",11,"2016","Abril","Todas","Pará"
"17","Monte Alegre",20,"2016","Abril","Todas","Pará"
"18","Novo Progresso",5,"2016","Abril","Todas","Pará"
"19","Novo Repartimento",3,"2016","Abril","Todas","Pará"
"20","Pacajá",19,"2016","Abril","Todas","Pará"
"21","Paragominas",42,"2016","Abril","Todas","Pará"
"22","Parauapebas",33,"2016","Abril","Todas","Pará"
"23","Rondon do Pará",13,"2016","Abril","Todas","Pará"
"24","Santarem",172,"2016","Abril","Todas","Pará"
"25","São Domingos do Araguaia",5,"2016","Abril","Todas","Pará"
"26","São Domingos do Capim",3,"2016","Abril","Todas","Pará"
