"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ouro Preto do Oeste",28,"2016","Abril","Todas","Rondônia"
"2","Pimenta Bueno",5,"2016","Abril","Todas","Rondônia"
"3","Porto Velho",22,"2016","Abril","Todas","Rondônia"
"4","Presidente Médici",6,"2016","Abril","Todas","Rondônia"
"5","Santa Luzia D'oeste",2,"2016","Abril","Todas","Rondônia"
"6","Seringueiras",4,"2016","Abril","Todas","Rondônia"
"7","São Felipe D'oeste",2,"2016","Abril","Todas","Rondônia"
"8","São Francisco do Guaporé",4,"2016","Abril","Todas","Rondônia"
"9","São Miguel do Guaporé",3,"2016","Abril","Todas","Rondônia"
"10","Urupá",2,"2016","Abril","Todas","Rondônia"
"11","Vale do Anari",4,"2016","Abril","Todas","Rondônia"
"12","Vale do Paraíso",1,"2016","Abril","Todas","Rondônia"
"13","Vilhena",41,"2016","Abril","Todas","Rondônia"
"14","Alta Floresta D'oeste",6,"2016","Abril","Todas","Rondônia"
"15","Alto Alegre dos Parecis",1,"2016","Abril","Todas","Rondônia"
"16","Ariquemes",49,"2016","Abril","Todas","Rondônia"
"17","Buritis",7,"2016","Abril","Todas","Rondônia"
"18","Cacaulândia",2,"2016","Abril","Todas","Rondônia"
"19","Cacoal",105,"2016","Abril","Todas","Rondônia"
"20","Candeias do Jamari",4,"2016","Abril","Todas","Rondônia"
"21","Cerejeiras",5,"2016","Abril","Todas","Rondônia"
"22","Chupinguaia",1,"2016","Abril","Todas","Rondônia"
"23","Colorado do Oeste",6,"2016","Abril","Todas","Rondônia"
"24","Corumbiara",2,"2016","Abril","Todas","Rondônia"
"25","Espigão do Oeste",7,"2016","Abril","Todas","Rondônia"
"26","Governador Jorge Teixeira",3,"2016","Abril","Todas","Rondônia"
"27","Guajara-Mirim",15,"2016","Abril","Todas","Rondônia"
"28","Jaru",18,"2016","Abril","Todas","Rondônia"
"29","Ji-Paraná",68,"2016","Abril","Todas","Rondônia"
"30","Machadinho D'oeste",5,"2016","Abril","Todas","Rondônia"
"31","Mirante da Serra",5,"2016","Abril","Todas","Rondônia"
"32","Nova União",1,"2016","Abril","Todas","Rondônia"
"33","Novo Horizonte do Oeste",1,"2016","Abril","Todas","Rondônia"
