"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vidal Ramos",5,"2016","Abril","Todas","Santa Catarina"
"2","Videira",21,"2016","Abril","Todas","Santa Catarina"
"3","Xanxere",37,"2016","Abril","Todas","Santa Catarina"
"4","Xavantina",1,"2016","Abril","Todas","Santa Catarina"
"5","Xaxim",14,"2016","Abril","Todas","Santa Catarina"
"6","Água Doce",9,"2016","Abril","Todas","Santa Catarina"
"7","Águas Mornas",1,"2016","Abril","Todas","Santa Catarina"
"8","São Lourenço do Oeste",12,"2016","Abril","Todas","Santa Catarina"
"9","São Ludgero",5,"2016","Abril","Todas","Santa Catarina"
"10","São Martinho",2,"2016","Abril","Todas","Santa Catarina"
"11","São Miguel do Oeste",37,"2016","Abril","Todas","Santa Catarina"
"12","Taió",5,"2016","Abril","Todas","Santa Catarina"
"13","Tijucas",15,"2016","Abril","Todas","Santa Catarina"
"14","Timbo",23,"2016","Abril","Todas","Santa Catarina"
"15","Timbé do Sul",1,"2016","Abril","Todas","Santa Catarina"
"16","Timbó Grande",1,"2016","Abril","Todas","Santa Catarina"
"17","Treze de Maio",1,"2016","Abril","Todas","Santa Catarina"
"18","Trombudo Central",13,"2016","Abril","Todas","Santa Catarina"
"19","Três Barras",1,"2016","Abril","Todas","Santa Catarina"
"20","Tubarao",95,"2016","Abril","Todas","Santa Catarina"
"21","Tunápolis",3,"2016","Abril","Todas","Santa Catarina"
"22","Turvo",5,"2016","Abril","Todas","Santa Catarina"
"23","União do Oeste",1,"2016","Abril","Todas","Santa Catarina"
"24","Urubici",1,"2016","Abril","Todas","Santa Catarina"
"25","Urupema",1,"2016","Abril","Todas","Santa Catarina"
"26","Urussanga",1,"2016","Abril","Todas","Santa Catarina"
"27","Vargem Bonita",1,"2016","Abril","Todas","Santa Catarina"
"28","Rio dos Cedros",3,"2016","Abril","Todas","Santa Catarina"
"29","Rodeio",8,"2016","Abril","Todas","Santa Catarina"
"30","Romelândia",1,"2016","Abril","Todas","Santa Catarina"
"31","Salete",2,"2016","Abril","Todas","Santa Catarina"
"32","Sangão",1,"2016","Abril","Todas","Santa Catarina"
"33","Santa Cecília",3,"2016","Abril","Todas","Santa Catarina"
"34","Santo Amaro da Imperatriz",9,"2016","Abril","Todas","Santa Catarina"
"35","Sao Jose do Cerrito",1,"2016","Abril","Todas","Santa Catarina"
"36","Schroeder",2,"2016","Abril","Todas","Santa Catarina"
"37","Seara",3,"2016","Abril","Todas","Santa Catarina"
"38","São Carlos",2,"2016","Abril","Todas","Santa Catarina"
"39","São Cristovão do Sul",2,"2016","Abril","Todas","Santa Catarina"
"40","São Domingos",6,"2016","Abril","Todas","Santa Catarina"
"41","São Francisco do Sul",17,"2016","Abril","Todas","Santa Catarina"
"42","São Joaquim",11,"2016","Abril","Todas","Santa Catarina"
"43","São José",49,"2016","Abril","Todas","Santa Catarina"
"44","São José do Cedro",7,"2016","Abril","Todas","Santa Catarina"
"45","São João Batista",10,"2016","Abril","Todas","Santa Catarina"
