"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasiléia",11,"2016","Agosto","Todas","Acre"
"2","Cruzeiro do Sul",39,"2016","Agosto","Todas","Acre"
"3","Epitaciolândia",3,"2016","Agosto","Todas","Acre"
"4","Feijó",7,"2016","Agosto","Todas","Acre"
"5","Mâncio Lima",4,"2016","Agosto","Todas","Acre"
"6","Plácido de Castro",4,"2016","Agosto","Todas","Acre"
"7","Porto Walter",1,"2016","Agosto","Todas","Acre"
"8","Rio Branco",162,"2016","Agosto","Todas","Acre"
"9","Rodrigues Alves",4,"2016","Agosto","Todas","Acre"
"10","Sena Madureira",11,"2016","Agosto","Todas","Acre"
"11","Senador Guiomard",3,"2016","Agosto","Todas","Acre"
"12","Xapuri",3,"2016","Agosto","Todas","Acre"
