"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Saúde",7,"2016","Agosto","Todas","Bahia"
"2","Serrinha",7,"2016","Agosto","Todas","Bahia"
"3","São Felipe",4,"2016","Agosto","Todas","Bahia"
"4","São Félix",17,"2016","Agosto","Todas","Bahia"
"5","Teixeira de Freitas",88,"2016","Agosto","Todas","Bahia"
"6","Teodoro Sampaio",2,"2016","Agosto","Todas","Bahia"
"7","Terra Nova",3,"2016","Agosto","Todas","Bahia"
"8","Tremedal",3,"2016","Agosto","Todas","Bahia"
"9","Urandi",4,"2016","Agosto","Todas","Bahia"
"10","Uruçuca",1,"2016","Agosto","Todas","Bahia"
"11","Vera Cruz",3,"2016","Agosto","Todas","Bahia"
"12","Xique-Xique",22,"2016","Agosto","Todas","Bahia"
"13","Nazaré",3,"2016","Agosto","Todas","Bahia"
"14","Nova Viçosa",1,"2016","Agosto","Todas","Bahia"
"15","Paripiranga",6,"2016","Agosto","Todas","Bahia"
"16","Pindobaçu",5,"2016","Agosto","Todas","Bahia"
"17","Piripá",3,"2016","Agosto","Todas","Bahia"
"18","Piritiba",8,"2016","Agosto","Todas","Bahia"
"19","Pojuca",9,"2016","Agosto","Todas","Bahia"
"20","Poções",26,"2016","Agosto","Todas","Bahia"
"21","Presidente Tancredo Neves",14,"2016","Agosto","Todas","Bahia"
"22","Remanso",18,"2016","Agosto","Todas","Bahia"
"23","Riachão do Jacuípe",5,"2016","Agosto","Todas","Bahia"
"24","Ribeira do Pombal",10,"2016","Agosto","Todas","Bahia"
"25","Rio do Antônio",3,"2016","Agosto","Todas","Bahia"
"26","Ruy Barbosa",18,"2016","Agosto","Todas","Bahia"
"27","Salvador",615,"2016","Agosto","Todas","Bahia"
"28","Santa Bárbara",13,"2016","Agosto","Todas","Bahia"
"29","Santa Cruz Cabrália",6,"2016","Agosto","Todas","Bahia"
"30","Santa Rita de Cássia",14,"2016","Agosto","Todas","Bahia"
"31","Santo Amaro",17,"2016","Agosto","Todas","Bahia"
"32","Santo Estêvão",23,"2016","Agosto","Todas","Bahia"
"33","Ipirá",16,"2016","Agosto","Todas","Bahia"
"34","Irará",13,"2016","Agosto","Todas","Bahia"
"35","Itabuna",94,"2016","Agosto","Todas","Bahia"
"36","Itamaraju",37,"2016","Agosto","Todas","Bahia"
"37","Itanhém",1,"2016","Agosto","Todas","Bahia"
"38","Itapetinga",36,"2016","Agosto","Todas","Bahia"
"39","Itapé",2,"2016","Agosto","Todas","Bahia"
"40","Itatim",2,"2016","Agosto","Todas","Bahia"
"41","Itororó",8,"2016","Agosto","Todas","Bahia"
"42","Jacobina",38,"2016","Agosto","Todas","Bahia"
"43","Juazeiro",78,"2016","Agosto","Todas","Bahia"
"44","Jussiape",7,"2016","Agosto","Todas","Bahia"
"45","Livramento de Nossa Senhora",15,"2016","Agosto","Todas","Bahia"
"46","Luís Eduardo Magalhães",15,"2016","Agosto","Todas","Bahia"
"47","Maracás",7,"2016","Agosto","Todas","Bahia"
"48","Maragogipe",14,"2016","Agosto","Todas","Bahia"
"49","Monte Santo",25,"2016","Agosto","Todas","Bahia"
"50","Morpará",4,"2016","Agosto","Todas","Bahia"
"51","Mucuri",12,"2016","Agosto","Todas","Bahia"
"52","Muritiba",5,"2016","Agosto","Todas","Bahia"
"53","Campo Formoso",28,"2016","Agosto","Todas","Bahia"
"54","Canarana",4,"2016","Agosto","Todas","Bahia"
"55","Candeias",49,"2016","Agosto","Todas","Bahia"
"56","Casa Nova",19,"2016","Agosto","Todas","Bahia"
"57","Cipó",6,"2016","Agosto","Todas","Bahia"
"58","Coaraci",18,"2016","Agosto","Todas","Bahia"
"59","Conceição do Jacuípe",18,"2016","Agosto","Todas","Bahia"
"60","Coração de Maria",1,"2016","Agosto","Todas","Bahia"
"61","Cícero Dantas",17,"2016","Agosto","Todas","Bahia"
"62","Esplanada",25,"2016","Agosto","Todas","Bahia"
"63","Euclides da Cunha",27,"2016","Agosto","Todas","Bahia"
"64","Eunapolis",68,"2016","Agosto","Todas","Bahia"
"65","Feira de Santana",361,"2016","Agosto","Todas","Bahia"
"66","Formosa do Rio Preto",8,"2016","Agosto","Todas","Bahia"
"67","Guanambi",52,"2016","Agosto","Todas","Bahia"
"68","Iaçu",5,"2016","Agosto","Todas","Bahia"
"69","Ibicaraí",11,"2016","Agosto","Todas","Bahia"
"70","Ibotirama",16,"2016","Agosto","Todas","Bahia"
"71","Ichu",3,"2016","Agosto","Todas","Bahia"
"72","Ilheus",52,"2016","Agosto","Todas","Bahia"
"73","Alagoinhas",41,"2016","Agosto","Todas","Bahia"
"74","Amelia Rodrigues",5,"2016","Agosto","Todas","Bahia"
"75","Antas",11,"2016","Agosto","Todas","Bahia"
"76","Antônio Gonçalves",3,"2016","Agosto","Todas","Bahia"
"77","Aramari",1,"2016","Agosto","Todas","Bahia"
"78","Araças",4,"2016","Agosto","Todas","Bahia"
"79","Barra",12,"2016","Agosto","Todas","Bahia"
"80","Barra da Estiva",9,"2016","Agosto","Todas","Bahia"
"81","Barreiras",111,"2016","Agosto","Todas","Bahia"
"82","Barro Preto",5,"2016","Agosto","Todas","Bahia"
"83","Belmonte",10,"2016","Agosto","Todas","Bahia"
"84","Bom Jesus da Lapa",17,"2016","Agosto","Todas","Bahia"
"85","Buritirama",2,"2016","Agosto","Todas","Bahia"
"86","Caatiba",4,"2016","Agosto","Todas","Bahia"
"87","Cabaceiras do Paraguaçu",3,"2016","Agosto","Todas","Bahia"
"88","Caculé",8,"2016","Agosto","Todas","Bahia"
"89","Caetité",14,"2016","Agosto","Todas","Bahia"
"90","Caldeirão Grande",2,"2016","Agosto","Todas","Bahia"
"91","Camamu",7,"2016","Agosto","Todas","Bahia"
"92","Camaçari",94,"2016","Agosto","Todas","Bahia"
