"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Fria de Goiás",1,"2016","Dezembro","Todas","Goiás"
"2","Águas Lindas de Goiás",14,"2016","Dezembro","Todas","Goiás"
"3","Rio Quente",2,"2016","Dezembro","Todas","Goiás"
"4","Rio Verde",90,"2016","Dezembro","Todas","Goiás"
"5","Sanclerlândia",2,"2016","Dezembro","Todas","Goiás"
"6","Santa Fé de Goiás",6,"2016","Dezembro","Todas","Goiás"
"7","Santa Rita do Araguaia",2,"2016","Dezembro","Todas","Goiás"
"8","Santa Terezinha de Goiás",3,"2016","Dezembro","Todas","Goiás"
"9","Santo Antônio de Goiás",3,"2016","Dezembro","Todas","Goiás"
"10","Santo Antônio do Descoberto",11,"2016","Dezembro","Todas","Goiás"
"11","Senador Canedo",39,"2016","Dezembro","Todas","Goiás"
"12","Serranópolis",2,"2016","Dezembro","Todas","Goiás"
"13","São Francisco de Goiás",3,"2016","Dezembro","Todas","Goiás"
"14","São João D'aliança",5,"2016","Dezembro","Todas","Goiás"
"15","Terezópolis de Goiás",2,"2016","Dezembro","Todas","Goiás"
"16","Trombas",2,"2016","Dezembro","Todas","Goiás"
"17","Turvânia",2,"2016","Dezembro","Todas","Goiás"
"18","Uruaçu",23,"2016","Dezembro","Todas","Goiás"
"19","Valparaíso de Goiás",30,"2016","Dezembro","Todas","Goiás"
"20","Vianópolis",1,"2016","Dezembro","Todas","Goiás"
"21","Vicentinópolis",1,"2016","Dezembro","Todas","Goiás"
"22","Vila Propício",1,"2016","Dezembro","Todas","Goiás"
"23","Itapirapuã",3,"2016","Dezembro","Todas","Goiás"
"24","Itumbiara",16,"2016","Dezembro","Todas","Goiás"
"25","Jaraguá",17,"2016","Dezembro","Todas","Goiás"
"26","Mara Rosa",8,"2016","Dezembro","Todas","Goiás"
"27","Maurilândia",6,"2016","Dezembro","Todas","Goiás"
"28","Mineiros",22,"2016","Dezembro","Todas","Goiás"
"29","Nazário",5,"2016","Dezembro","Todas","Goiás"
"30","Niquelandia",25,"2016","Dezembro","Todas","Goiás"
"31","Nova Gloria",3,"2016","Dezembro","Todas","Goiás"
"32","Novo Gama",13,"2016","Dezembro","Todas","Goiás"
"33","Palmeiras de Goiás",7,"2016","Dezembro","Todas","Goiás"
"34","Pilar de Goiás",2,"2016","Dezembro","Todas","Goiás"
"35","Piracanjuba",14,"2016","Dezembro","Todas","Goiás"
"36","Planaltina",23,"2016","Dezembro","Todas","Goiás"
"37","Pontalina",4,"2016","Dezembro","Todas","Goiás"
"38","Porangatu",23,"2016","Dezembro","Todas","Goiás"
"39","Porteirão",1,"2016","Dezembro","Todas","Goiás"
"40","Professor Jamil",2,"2016","Dezembro","Todas","Goiás"
"41","Quirinopolis",14,"2016","Dezembro","Todas","Goiás"
"42","Rialma",5,"2016","Dezembro","Todas","Goiás"
"43","Campo Limpo de Goiás",2,"2016","Dezembro","Todas","Goiás"
"44","Castelândia",1,"2016","Dezembro","Todas","Goiás"
"45","Catalao",52,"2016","Dezembro","Todas","Goiás"
"46","Cezarina",2,"2016","Dezembro","Todas","Goiás"
"47","Cidade Ocidental",18,"2016","Dezembro","Todas","Goiás"
"48","Cocalzinho de Goias",1,"2016","Dezembro","Todas","Goiás"
"49","Colinas do Sul",1,"2016","Dezembro","Todas","Goiás"
"50","Corumbá de Goiás",2,"2016","Dezembro","Todas","Goiás"
"51","Cristalina",20,"2016","Dezembro","Todas","Goiás"
"52","Cristianópolis",1,"2016","Dezembro","Todas","Goiás"
"53","Fazenda Nova",1,"2016","Dezembro","Todas","Goiás"
"54","Formosa",38,"2016","Dezembro","Todas","Goiás"
"55","Goiandira",1,"2016","Dezembro","Todas","Goiás"
"56","Goianira",9,"2016","Dezembro","Todas","Goiás"
"57","Goianésia",17,"2016","Dezembro","Todas","Goiás"
"58","Goiânia",1036,"2016","Dezembro","Todas","Goiás"
"59","Inaciolândia",1,"2016","Dezembro","Todas","Goiás"
"60","Iporá",15,"2016","Dezembro","Todas","Goiás"
"61","Israelândia",1,"2016","Dezembro","Todas","Goiás"
"62","Itaguaru",1,"2016","Dezembro","Todas","Goiás"
"63","Abadia de Goiás",1,"2016","Dezembro","Todas","Goiás"
"64","Abadiânia",6,"2016","Dezembro","Todas","Goiás"
"65","Alexania",10,"2016","Dezembro","Todas","Goiás"
"66","Aloândia",6,"2016","Dezembro","Todas","Goiás"
"67","Alto Paraíso de Goiás",1,"2016","Dezembro","Todas","Goiás"
"68","Anapolis",229,"2016","Dezembro","Todas","Goiás"
"69","Aparecida de Goiania",86,"2016","Dezembro","Todas","Goiás"
"70","Aporé",2,"2016","Dezembro","Todas","Goiás"
"71","Aragarças",6,"2016","Dezembro","Todas","Goiás"
"72","Aragoiânia",1,"2016","Dezembro","Todas","Goiás"
"73","Aruanã",2,"2016","Dezembro","Todas","Goiás"
"74","Barro Alto",2,"2016","Dezembro","Todas","Goiás"
"75","Bela Vista de Goiás",8,"2016","Dezembro","Todas","Goiás"
"76","Bom Jesus de Goiás",6,"2016","Dezembro","Todas","Goiás"
"77","Bonópolis",1,"2016","Dezembro","Todas","Goiás"
"78","Buriti Alegre",3,"2016","Dezembro","Todas","Goiás"
"79","Cachoeira Dourada",3,"2016","Dezembro","Todas","Goiás"
"80","Caldas Novas",24,"2016","Dezembro","Todas","Goiás"
"81","Campinaçu",3,"2016","Dezembro","Todas","Goiás"
"82","Campo Alegre de Goiás",2,"2016","Dezembro","Todas","Goiás"
