"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio de Janeiro",875,"2016","Dezembro","Todas","Rio de Janeiro"
"2","Santo Antônio de Pádua",35,"2016","Dezembro","Todas","Rio de Janeiro"
"3","Sapucaia",3,"2016","Dezembro","Todas","Rio de Janeiro"
"4","Saquarema",63,"2016","Dezembro","Todas","Rio de Janeiro"
"5","Seropedica",25,"2016","Dezembro","Todas","Rio de Janeiro"
"6","Sumidouro",1,"2016","Dezembro","Todas","Rio de Janeiro"
"7","São João da Barra",2,"2016","Dezembro","Todas","Rio de Janeiro"
"8","São João de Meriti",208,"2016","Dezembro","Todas","Rio de Janeiro"
"9","São Sebastião do Alto",3,"2016","Dezembro","Todas","Rio de Janeiro"
"10","Tanguá",8,"2016","Dezembro","Todas","Rio de Janeiro"
"11","Teresopolis",6,"2016","Dezembro","Todas","Rio de Janeiro"
"12","Vassouras",75,"2016","Dezembro","Todas","Rio de Janeiro"
"13","Volta Redonda",40,"2016","Dezembro","Todas","Rio de Janeiro"
"14","Japeri",23,"2016","Dezembro","Todas","Rio de Janeiro"
"15","Macae",123,"2016","Dezembro","Todas","Rio de Janeiro"
"16","Mangaratiba",23,"2016","Dezembro","Todas","Rio de Janeiro"
"17","Maricá",25,"2016","Dezembro","Todas","Rio de Janeiro"
"18","Mesquita",1,"2016","Dezembro","Todas","Rio de Janeiro"
"19","Miguel Pereira",31,"2016","Dezembro","Todas","Rio de Janeiro"
"20","Natividade",7,"2016","Dezembro","Todas","Rio de Janeiro"
"21","Nilópolis",8,"2016","Dezembro","Todas","Rio de Janeiro"
"22","Niteroi",20,"2016","Dezembro","Todas","Rio de Janeiro"
"23","Nova Friburgo",2,"2016","Dezembro","Todas","Rio de Janeiro"
"24","Nova Iguaçu",11,"2016","Dezembro","Todas","Rio de Janeiro"
"25","Paraiba do Sul",19,"2016","Dezembro","Todas","Rio de Janeiro"
"26","Paty do Alferes",2,"2016","Dezembro","Todas","Rio de Janeiro"
"27","Petropolis",1,"2016","Dezembro","Todas","Rio de Janeiro"
"28","Pinheiral",1,"2016","Dezembro","Todas","Rio de Janeiro"
"29","Porciúncula",1,"2016","Dezembro","Todas","Rio de Janeiro"
"30","Quatis",4,"2016","Dezembro","Todas","Rio de Janeiro"
"31","Resende",1,"2016","Dezembro","Todas","Rio de Janeiro"
"32","Rio Claro",8,"2016","Dezembro","Todas","Rio de Janeiro"
"33","Rio das Ostras",19,"2016","Dezembro","Todas","Rio de Janeiro"
"34","Angra dos Reis",75,"2016","Dezembro","Todas","Rio de Janeiro"
"35","Aperibé",6,"2016","Dezembro","Todas","Rio de Janeiro"
"36","Araruama",2,"2016","Dezembro","Todas","Rio de Janeiro"
"37","Armação dos Búzios",1,"2016","Dezembro","Todas","Rio de Janeiro"
"38","Belford Roxo",102,"2016","Dezembro","Todas","Rio de Janeiro"
"39","Bom Jardim",15,"2016","Dezembro","Todas","Rio de Janeiro"
"40","Bom Jesus do Itabapoana",19,"2016","Dezembro","Todas","Rio de Janeiro"
"41","Cabo Frio",99,"2016","Dezembro","Todas","Rio de Janeiro"
"42","Cachoeiras de Macacu",36,"2016","Dezembro","Todas","Rio de Janeiro"
"43","Campos dos Goytacazes",1184,"2016","Dezembro","Todas","Rio de Janeiro"
"44","Cantagalo",15,"2016","Dezembro","Todas","Rio de Janeiro"
"45","Casimiro de Abreu",8,"2016","Dezembro","Todas","Rio de Janeiro"
"46","Duas Barras",4,"2016","Dezembro","Todas","Rio de Janeiro"
"47","Duque de Caxias",76,"2016","Dezembro","Todas","Rio de Janeiro"
"48","Engenheiro Paulo de Frontin",6,"2016","Dezembro","Todas","Rio de Janeiro"
"49","Itaborai",100,"2016","Dezembro","Todas","Rio de Janeiro"
"50","Itaguai",69,"2016","Dezembro","Todas","Rio de Janeiro"
"51","Italva",1,"2016","Dezembro","Todas","Rio de Janeiro"
"52","Itaperuna",32,"2016","Dezembro","Todas","Rio de Janeiro"
"53","Itatiaia",8,"2016","Dezembro","Todas","Rio de Janeiro"
