"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Parecis",3,"2016","Dezembro","Todas","Rondônia"
"2","Pimenta Bueno",12,"2016","Dezembro","Todas","Rondônia"
"3","Pimenteiras do Oeste",1,"2016","Dezembro","Todas","Rondônia"
"4","Porto Velho",252,"2016","Dezembro","Todas","Rondônia"
"5","Presidente Médici",9,"2016","Dezembro","Todas","Rondônia"
"6","Santa Luzia D'oeste",1,"2016","Dezembro","Todas","Rondônia"
"7","Seringueiras",1,"2016","Dezembro","Todas","Rondônia"
"8","São Felipe D'oeste",1,"2016","Dezembro","Todas","Rondônia"
"9","São Francisco do Guaporé",6,"2016","Dezembro","Todas","Rondônia"
"10","São Miguel do Guaporé",5,"2016","Dezembro","Todas","Rondônia"
"11","Teixeirópolis",1,"2016","Dezembro","Todas","Rondônia"
"12","Theobroma",4,"2016","Dezembro","Todas","Rondônia"
"13","Urupá",1,"2016","Dezembro","Todas","Rondônia"
"14","Vale do Anari",3,"2016","Dezembro","Todas","Rondônia"
"15","Vilhena",35,"2016","Dezembro","Todas","Rondônia"
"16","Alta Floresta D'oeste",2,"2016","Dezembro","Todas","Rondônia"
"17","Ariquemes",42,"2016","Dezembro","Todas","Rondônia"
"18","Buritis",10,"2016","Dezembro","Todas","Rondônia"
"19","Cacaulândia",2,"2016","Dezembro","Todas","Rondônia"
"20","Cacoal",94,"2016","Dezembro","Todas","Rondônia"
"21","Campo Novo de Rondônia",2,"2016","Dezembro","Todas","Rondônia"
"22","Candeias do Jamari",1,"2016","Dezembro","Todas","Rondônia"
"23","Cerejeiras",5,"2016","Dezembro","Todas","Rondônia"
"24","Chupinguaia",3,"2016","Dezembro","Todas","Rondônia"
"25","Colorado do Oeste",2,"2016","Dezembro","Todas","Rondônia"
"26","Espigão do Oeste",8,"2016","Dezembro","Todas","Rondônia"
"27","Governador Jorge Teixeira",2,"2016","Dezembro","Todas","Rondônia"
"28","Guajara-Mirim",4,"2016","Dezembro","Todas","Rondônia"
"29","Jaru",14,"2016","Dezembro","Todas","Rondônia"
"30","Ji-Paraná",56,"2016","Dezembro","Todas","Rondônia"
"31","Machadinho D'oeste",3,"2016","Dezembro","Todas","Rondônia"
"32","Ministro Andreazza",7,"2016","Dezembro","Todas","Rondônia"
"33","Mirante da Serra",5,"2016","Dezembro","Todas","Rondônia"
"34","Nova União",1,"2016","Dezembro","Todas","Rondônia"
"35","Ouro Preto do Oeste",30,"2016","Dezembro","Todas","Rondônia"
