"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tubarao",108,"2016","Dezembro","Todas","Santa Catarina"
"2","Turvo",3,"2016","Dezembro","Todas","Santa Catarina"
"3","Urubici",2,"2016","Dezembro","Todas","Santa Catarina"
"4","Urussanga",14,"2016","Dezembro","Todas","Santa Catarina"
"5","Vargem",3,"2016","Dezembro","Todas","Santa Catarina"
"6","Vidal Ramos",4,"2016","Dezembro","Todas","Santa Catarina"
"7","Videira",22,"2016","Dezembro","Todas","Santa Catarina"
"8","Vitor Meireles",2,"2016","Dezembro","Todas","Santa Catarina"
"9","Witmarsum",1,"2016","Dezembro","Todas","Santa Catarina"
"10","Xanxere",42,"2016","Dezembro","Todas","Santa Catarina"
"11","Xavantina",1,"2016","Dezembro","Todas","Santa Catarina"
"12","Xaxim",8,"2016","Dezembro","Todas","Santa Catarina"
"13","Água Doce",1,"2016","Dezembro","Todas","Santa Catarina"
"14","Águas Mornas",4,"2016","Dezembro","Todas","Santa Catarina"
"15","Águas de Chapecó",3,"2016","Dezembro","Todas","Santa Catarina"
"16","São Domingos",3,"2016","Dezembro","Todas","Santa Catarina"
"17","São Francisco do Sul",11,"2016","Dezembro","Todas","Santa Catarina"
"18","São Joaquim",15,"2016","Dezembro","Todas","Santa Catarina"
"19","São José",92,"2016","Dezembro","Todas","Santa Catarina"
"20","São José do Cedro",3,"2016","Dezembro","Todas","Santa Catarina"
"21","São João Batista",6,"2016","Dezembro","Todas","Santa Catarina"
"22","São João do Itaperiú",2,"2016","Dezembro","Todas","Santa Catarina"
"23","São João do Sul",1,"2016","Dezembro","Todas","Santa Catarina"
"24","São Lourenço do Oeste",6,"2016","Dezembro","Todas","Santa Catarina"
"25","São Ludgero",1,"2016","Dezembro","Todas","Santa Catarina"
"26","São Martinho",1,"2016","Dezembro","Todas","Santa Catarina"
"27","São Miguel do Oeste",41,"2016","Dezembro","Todas","Santa Catarina"
"28","Taió",10,"2016","Dezembro","Todas","Santa Catarina"
"29","Tijucas",11,"2016","Dezembro","Todas","Santa Catarina"
"30","Timbo",17,"2016","Dezembro","Todas","Santa Catarina"
"31","Timbé do Sul",1,"2016","Dezembro","Todas","Santa Catarina"
"32","Timbó Grande",1,"2016","Dezembro","Todas","Santa Catarina"
"33","Treze de Maio",1,"2016","Dezembro","Todas","Santa Catarina"
"34","Trombudo Central",6,"2016","Dezembro","Todas","Santa Catarina"
"35","Três Barras",4,"2016","Dezembro","Todas","Santa Catarina"
"36","Rio Fortuna",8,"2016","Dezembro","Todas","Santa Catarina"
"37","Rio Negrinho",19,"2016","Dezembro","Todas","Santa Catarina"
"38","Rio Rufino",1,"2016","Dezembro","Todas","Santa Catarina"
"39","Rio do Campo",5,"2016","Dezembro","Todas","Santa Catarina"
"40","Rio do Oeste",1,"2016","Dezembro","Todas","Santa Catarina"
"41","Rio do Sul",53,"2016","Dezembro","Todas","Santa Catarina"
"42","Rodeio",4,"2016","Dezembro","Todas","Santa Catarina"
"43","Romelândia",1,"2016","Dezembro","Todas","Santa Catarina"
"44","Salete",2,"2016","Dezembro","Todas","Santa Catarina"
"45","Salto Veloso",1,"2016","Dezembro","Todas","Santa Catarina"
"46","Sangão",1,"2016","Dezembro","Todas","Santa Catarina"
"47","Santa Cecília",7,"2016","Dezembro","Todas","Santa Catarina"
"48","Santa Rosa do Sul",1,"2016","Dezembro","Todas","Santa Catarina"
"49","Santa Terezinha",4,"2016","Dezembro","Todas","Santa Catarina"
"50","Santo Amaro da Imperatriz",6,"2016","Dezembro","Todas","Santa Catarina"
"51","Saudades",3,"2016","Dezembro","Todas","Santa Catarina"
"52","Schroeder",2,"2016","Dezembro","Todas","Santa Catarina"
"53","Seara",6,"2016","Dezembro","Todas","Santa Catarina"
"54","São Carlos",7,"2016","Dezembro","Todas","Santa Catarina"
"55","São Cristovão do Sul",2,"2016","Dezembro","Todas","Santa Catarina"
"56","Palhoça",23,"2016","Dezembro","Todas","Santa Catarina"
"57","Palma Sola",2,"2016","Dezembro","Todas","Santa Catarina"
"58","Palmitos",10,"2016","Dezembro","Todas","Santa Catarina"
"59","Papanduva",10,"2016","Dezembro","Todas","Santa Catarina"
"60","Paraíso",1,"2016","Dezembro","Todas","Santa Catarina"
"61","Passos Maia",2,"2016","Dezembro","Todas","Santa Catarina"
"62","Pedras Grandes",2,"2016","Dezembro","Todas","Santa Catarina"
"63","Penha",9,"2016","Dezembro","Todas","Santa Catarina"
"64","Peritiba",2,"2016","Dezembro","Todas","Santa Catarina"
"65","Petrolândia",1,"2016","Dezembro","Todas","Santa Catarina"
"66","Pinhalzinho",4,"2016","Dezembro","Todas","Santa Catarina"
"67","Piratuba",1,"2016","Dezembro","Todas","Santa Catarina"
"68","Pomerode",11,"2016","Dezembro","Todas","Santa Catarina"
"69","Ponte Alta",1,"2016","Dezembro","Todas","Santa Catarina"
"70","Porto Belo",2,"2016","Dezembro","Todas","Santa Catarina"
"71","Pouso Redondo",5,"2016","Dezembro","Todas","Santa Catarina"
"72","Praia Grande",6,"2016","Dezembro","Todas","Santa Catarina"
"73","Presidente Castello Branco",1,"2016","Dezembro","Todas","Santa Catarina"
"74","Presidente Getúlio",4,"2016","Dezembro","Todas","Santa Catarina"
"75","Quilombo",7,"2016","Dezembro","Todas","Santa Catarina"
"76","Lontras",2,"2016","Dezembro","Todas","Santa Catarina"
"77","Luiz Alves",5,"2016","Dezembro","Todas","Santa Catarina"
