"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Paulistana",22,"2016","Fevereiro","Todas","Piauí"
"2","Picos",33,"2016","Fevereiro","Todas","Piauí"
"3","Piripiri",29,"2016","Fevereiro","Todas","Piauí"
"4","Prata do Piauí",3,"2016","Fevereiro","Todas","Piauí"
"5","Regeneração",5,"2016","Fevereiro","Todas","Piauí"
"6","Rio Grande do Piauí",9,"2016","Fevereiro","Todas","Piauí"
"7","Santa Filomena",4,"2016","Fevereiro","Todas","Piauí"
"8","Simões",6,"2016","Fevereiro","Todas","Piauí"
"9","Socorro do Piauí",5,"2016","Fevereiro","Todas","Piauí"
"10","São José do Piauí",1,"2016","Fevereiro","Todas","Piauí"
"11","São João do Piauí",25,"2016","Fevereiro","Todas","Piauí"
"12","São Julião",3,"2016","Fevereiro","Todas","Piauí"
"13","São Raimundo Nonato",25,"2016","Fevereiro","Todas","Piauí"
"14","Teresina",221,"2016","Fevereiro","Todas","Piauí"
"15","Uruçuí",3,"2016","Fevereiro","Todas","Piauí"
"16","Valença do Piauí",23,"2016","Fevereiro","Todas","Piauí"
"17","Água Branca",11,"2016","Fevereiro","Todas","Piauí"
"18","Alagoinha do Piauí",2,"2016","Fevereiro","Todas","Piauí"
"19","Alto Longá",6,"2016","Fevereiro","Todas","Piauí"
"20","Altos",10,"2016","Fevereiro","Todas","Piauí"
"21","Antônio Almeida",2,"2016","Fevereiro","Todas","Piauí"
"22","Bocaina",4,"2016","Fevereiro","Todas","Piauí"
"23","Buriti dos Lopes",9,"2016","Fevereiro","Todas","Piauí"
"24","Canto do Buriti",13,"2016","Fevereiro","Todas","Piauí"
"25","Caracol",4,"2016","Fevereiro","Todas","Piauí"
"26","Castelo do Piauí",8,"2016","Fevereiro","Todas","Piauí"
"27","Conceição do Canindé",6,"2016","Fevereiro","Todas","Piauí"
"28","Curimatá",2,"2016","Fevereiro","Todas","Piauí"
"29","Eliseu Martins",7,"2016","Fevereiro","Todas","Piauí"
"30","Floriano",31,"2016","Fevereiro","Todas","Piauí"
"31","Francinópolis",2,"2016","Fevereiro","Todas","Piauí"
"32","Francisco Ayres",3,"2016","Fevereiro","Todas","Piauí"
"33","Joaquim Pires",4,"2016","Fevereiro","Todas","Piauí"
"34","Luzilândia",6,"2016","Fevereiro","Todas","Piauí"
"35","Marcos Parente",3,"2016","Fevereiro","Todas","Piauí"
"36","Matias Olímpio",1,"2016","Fevereiro","Todas","Piauí"
"37","Oeiras",37,"2016","Fevereiro","Todas","Piauí"
