"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sapucaia",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"2","Saquarema",42,"2016","Fevereiro","Todas","Rio de Janeiro"
"3","Seropedica",30,"2016","Fevereiro","Todas","Rio de Janeiro"
"4","Sumidouro",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"5","São Gonçalo",3,"2016","Fevereiro","Todas","Rio de Janeiro"
"6","São João da Barra",25,"2016","Fevereiro","Todas","Rio de Janeiro"
"7","São João de Meriti",165,"2016","Fevereiro","Todas","Rio de Janeiro"
"8","São Sebastião do Alto",4,"2016","Fevereiro","Todas","Rio de Janeiro"
"9","Tanguá",12,"2016","Fevereiro","Todas","Rio de Janeiro"
"10","Vassouras",70,"2016","Fevereiro","Todas","Rio de Janeiro"
"11","Volta Redonda",37,"2016","Fevereiro","Todas","Rio de Janeiro"
"12","Japeri",29,"2016","Fevereiro","Todas","Rio de Janeiro"
"13","Macae",26,"2016","Fevereiro","Todas","Rio de Janeiro"
"14","Mangaratiba",23,"2016","Fevereiro","Todas","Rio de Janeiro"
"15","Maricá",19,"2016","Fevereiro","Todas","Rio de Janeiro"
"16","Miguel Pereira",28,"2016","Fevereiro","Todas","Rio de Janeiro"
"17","Natividade",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"18","Nilópolis",10,"2016","Fevereiro","Todas","Rio de Janeiro"
"19","Niteroi",17,"2016","Fevereiro","Todas","Rio de Janeiro"
"20","Nova Friburgo",2,"2016","Fevereiro","Todas","Rio de Janeiro"
"21","Nova Iguaçu",104,"2016","Fevereiro","Todas","Rio de Janeiro"
"22","Paraiba do Sul",18,"2016","Fevereiro","Todas","Rio de Janeiro"
"23","Paty do Alferes",3,"2016","Fevereiro","Todas","Rio de Janeiro"
"24","Petropolis",14,"2016","Fevereiro","Todas","Rio de Janeiro"
"25","Pirai",18,"2016","Fevereiro","Todas","Rio de Janeiro"
"26","Quatis",2,"2016","Fevereiro","Todas","Rio de Janeiro"
"27","Resende",3,"2016","Fevereiro","Todas","Rio de Janeiro"
"28","Rio Claro",5,"2016","Fevereiro","Todas","Rio de Janeiro"
"29","Rio das Ostras",63,"2016","Fevereiro","Todas","Rio de Janeiro"
"30","Rio de Janeiro",1081,"2016","Fevereiro","Todas","Rio de Janeiro"
"31","Santo Antônio de Pádua",30,"2016","Fevereiro","Todas","Rio de Janeiro"
"32","Angra dos Reis",67,"2016","Fevereiro","Todas","Rio de Janeiro"
"33","Araruama",3,"2016","Fevereiro","Todas","Rio de Janeiro"
"34","Armação dos Búzios",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"35","Barra do Pirai",2,"2016","Fevereiro","Todas","Rio de Janeiro"
"36","Belford Roxo",152,"2016","Fevereiro","Todas","Rio de Janeiro"
"37","Bom Jardim",13,"2016","Fevereiro","Todas","Rio de Janeiro"
"38","Bom Jesus do Itabapoana",19,"2016","Fevereiro","Todas","Rio de Janeiro"
"39","Cabo Frio",137,"2016","Fevereiro","Todas","Rio de Janeiro"
"40","Cachoeiras de Macacu",25,"2016","Fevereiro","Todas","Rio de Janeiro"
"41","Campos dos Goytacazes",215,"2016","Fevereiro","Todas","Rio de Janeiro"
"42","Cantagalo",5,"2016","Fevereiro","Todas","Rio de Janeiro"
"43","Casimiro de Abreu",12,"2016","Fevereiro","Todas","Rio de Janeiro"
"44","Cordeiro",3,"2016","Fevereiro","Todas","Rio de Janeiro"
"45","Duas Barras",4,"2016","Fevereiro","Todas","Rio de Janeiro"
"46","Duque de Caxias",30,"2016","Fevereiro","Todas","Rio de Janeiro"
"47","Engenheiro Paulo de Frontin",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"48","Iguaba Grande",1,"2016","Fevereiro","Todas","Rio de Janeiro"
"49","Itaborai",60,"2016","Fevereiro","Todas","Rio de Janeiro"
"50","Itaguai",73,"2016","Fevereiro","Todas","Rio de Janeiro"
"51","Itaperuna",123,"2016","Fevereiro","Todas","Rio de Janeiro"
