"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vargem Bonita",1,"2016","Janeiro","Todas","Minas Gerais"
"2","Vargem Grande do Rio Pardo",1,"2016","Janeiro","Todas","Minas Gerais"
"3","Varginha",110,"2016","Janeiro","Todas","Minas Gerais"
"4","Varjão de Minas",2,"2016","Janeiro","Todas","Minas Gerais"
"5","Varzea da Palma",20,"2016","Janeiro","Todas","Minas Gerais"
"6","Varzelândia",10,"2016","Janeiro","Todas","Minas Gerais"
"7","Vazante",6,"2016","Janeiro","Todas","Minas Gerais"
"8","Verdelândia",2,"2016","Janeiro","Todas","Minas Gerais"
"9","Veredinha",1,"2016","Janeiro","Todas","Minas Gerais"
"10","Vermelho Novo",2,"2016","Janeiro","Todas","Minas Gerais"
"11","Veríssimo",1,"2016","Janeiro","Todas","Minas Gerais"
"12","Vespasiano",26,"2016","Janeiro","Todas","Minas Gerais"
"13","Vieiras",2,"2016","Janeiro","Todas","Minas Gerais"
"14","Virginópolis",12,"2016","Janeiro","Todas","Minas Gerais"
"15","Virgolândia",1,"2016","Janeiro","Todas","Minas Gerais"
"16","Virgínia",1,"2016","Janeiro","Todas","Minas Gerais"
"17","Viçosa",54,"2016","Janeiro","Todas","Minas Gerais"
"18","Água Boa",3,"2016","Janeiro","Todas","Minas Gerais"
"19","Águas Formosas",15,"2016","Janeiro","Todas","Minas Gerais"
"20","Águas Vermelhas",5,"2016","Janeiro","Todas","Minas Gerais"
"21","Tiros",4,"2016","Janeiro","Todas","Minas Gerais"
"22","Tocantins",4,"2016","Janeiro","Todas","Minas Gerais"
"23","Toledo",3,"2016","Janeiro","Todas","Minas Gerais"
"24","Tombos",3,"2016","Janeiro","Todas","Minas Gerais"
"25","Três Corações",48,"2016","Janeiro","Todas","Minas Gerais"
"26","Três Marias",8,"2016","Janeiro","Todas","Minas Gerais"
"27","Três Pontas",32,"2016","Janeiro","Todas","Minas Gerais"
"28","Tumiritinga",1,"2016","Janeiro","Todas","Minas Gerais"
"29","Tupaciguara",14,"2016","Janeiro","Todas","Minas Gerais"
"30","Turmalina",12,"2016","Janeiro","Todas","Minas Gerais"
"31","Ubaporanga",1,"2016","Janeiro","Todas","Minas Gerais"
"32","Ubaí",3,"2016","Janeiro","Todas","Minas Gerais"
"33","Uberaba",252,"2016","Janeiro","Todas","Minas Gerais"
"34","Uberlandia",324,"2016","Janeiro","Todas","Minas Gerais"
"35","Ubá",108,"2016","Janeiro","Todas","Minas Gerais"
"36","Umburatiba",1,"2016","Janeiro","Todas","Minas Gerais"
"37","Unaí",40,"2016","Janeiro","Todas","Minas Gerais"
"38","União de Minas",2,"2016","Janeiro","Todas","Minas Gerais"
"39","Urucuia",5,"2016","Janeiro","Todas","Minas Gerais"
"40","Vargem Alegre",1,"2016","Janeiro","Todas","Minas Gerais"
"41","São Lourenço",28,"2016","Janeiro","Todas","Minas Gerais"
"42","São Pedro da União",2,"2016","Janeiro","Todas","Minas Gerais"
"43","São Pedro do Suaçuí",3,"2016","Janeiro","Todas","Minas Gerais"
"44","São Pedro dos Ferros",3,"2016","Janeiro","Todas","Minas Gerais"
"45","São Romão",2,"2016","Janeiro","Todas","Minas Gerais"
"46","São Roque de Minas",2,"2016","Janeiro","Todas","Minas Gerais"
"47","São Sebastião da Bela Vista",1,"2016","Janeiro","Todas","Minas Gerais"
"48","São Sebastião da Vargem Alegre",1,"2016","Janeiro","Todas","Minas Gerais"
"49","São Sebastião do Maranhão",2,"2016","Janeiro","Todas","Minas Gerais"
"50","São Sebastião do Oeste",1,"2016","Janeiro","Todas","Minas Gerais"
"51","São Sebastião do Paraíso",57,"2016","Janeiro","Todas","Minas Gerais"
"52","São Thomé das Letras",2,"2016","Janeiro","Todas","Minas Gerais"
"53","São Vicente de Minas",1,"2016","Janeiro","Todas","Minas Gerais"
"54","Taiobeiras",22,"2016","Janeiro","Todas","Minas Gerais"
"55","Tapira",3,"2016","Janeiro","Todas","Minas Gerais"
"56","Tarumirim",4,"2016","Janeiro","Todas","Minas Gerais"
"57","Teixeiras",5,"2016","Janeiro","Todas","Minas Gerais"
"58","Teófilo Otoni",117,"2016","Janeiro","Todas","Minas Gerais"
"59","Timoteo",25,"2016","Janeiro","Todas","Minas Gerais"
"60","Tiradentes",3,"2016","Janeiro","Todas","Minas Gerais"
"61","São Gonçalo do Rio Abaixo",1,"2016","Janeiro","Todas","Minas Gerais"
"62","São Gonçalo do Rio Preto",1,"2016","Janeiro","Todas","Minas Gerais"
"63","São Gonçalo do Sapucaí",10,"2016","Janeiro","Todas","Minas Gerais"
"64","São Gotardo",6,"2016","Janeiro","Todas","Minas Gerais"
