"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Oeiras",12,"2016","Janeiro","Todas","Piauí"
"2","Paulistana",7,"2016","Janeiro","Todas","Piauí"
"3","Picos",27,"2016","Janeiro","Todas","Piauí"
"4","Piripiri",32,"2016","Janeiro","Todas","Piauí"
"5","Regeneração",6,"2016","Janeiro","Todas","Piauí"
"6","Rio Grande do Piauí",7,"2016","Janeiro","Todas","Piauí"
"7","Santa Filomena",7,"2016","Janeiro","Todas","Piauí"
"8","Simões",11,"2016","Janeiro","Todas","Piauí"
"9","Socorro do Piauí",2,"2016","Janeiro","Todas","Piauí"
"10","São Félix do Piauí",3,"2016","Janeiro","Todas","Piauí"
"11","São José do Piauí",2,"2016","Janeiro","Todas","Piauí"
"12","São João do Piauí",18,"2016","Janeiro","Todas","Piauí"
"13","São Julião",3,"2016","Janeiro","Todas","Piauí"
"14","São Raimundo Nonato",22,"2016","Janeiro","Todas","Piauí"
"15","Teresina",241,"2016","Janeiro","Todas","Piauí"
"16","União",12,"2016","Janeiro","Todas","Piauí"
"17","Uruçuí",4,"2016","Janeiro","Todas","Piauí"
"18","Valença do Piauí",11,"2016","Janeiro","Todas","Piauí"
"19","Água Branca",12,"2016","Janeiro","Todas","Piauí"
"20","Alagoinha do Piauí",3,"2016","Janeiro","Todas","Piauí"
"21","Alto Longá",7,"2016","Janeiro","Todas","Piauí"
"22","Altos",19,"2016","Janeiro","Todas","Piauí"
"23","Bocaina",7,"2016","Janeiro","Todas","Piauí"
"24","Buriti dos Lopes",9,"2016","Janeiro","Todas","Piauí"
"25","Canto do Buriti",11,"2016","Janeiro","Todas","Piauí"
"26","Caracol",1,"2016","Janeiro","Todas","Piauí"
"27","Castelo do Piauí",18,"2016","Janeiro","Todas","Piauí"
"28","Cocal",10,"2016","Janeiro","Todas","Piauí"
"29","Conceição do Canindé",5,"2016","Janeiro","Todas","Piauí"
"30","Curimatá",2,"2016","Janeiro","Todas","Piauí"
"31","Eliseu Martins",4,"2016","Janeiro","Todas","Piauí"
"32","Esperantina",14,"2016","Janeiro","Todas","Piauí"
"33","Floriano",26,"2016","Janeiro","Todas","Piauí"
"34","Francinópolis",4,"2016","Janeiro","Todas","Piauí"
"35","Francisco Ayres",2,"2016","Janeiro","Todas","Piauí"
"36","Joaquim Pires",3,"2016","Janeiro","Todas","Piauí"
"37","Luzilândia",13,"2016","Janeiro","Todas","Piauí"
"38","Matias Olímpio",2,"2016","Janeiro","Todas","Piauí"
"39","Monsenhor Hipólito",2,"2016","Janeiro","Todas","Piauí"
