"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Serrinha",5,"2016","Julho","Todas","Bahia"
"2","São Felipe",8,"2016","Julho","Todas","Bahia"
"3","São Félix",11,"2016","Julho","Todas","Bahia"
"4","Teixeira de Freitas",102,"2016","Julho","Todas","Bahia"
"5","Teodoro Sampaio",1,"2016","Julho","Todas","Bahia"
"6","Terra Nova",5,"2016","Julho","Todas","Bahia"
"7","Tremedal",4,"2016","Julho","Todas","Bahia"
"8","Urandi",11,"2016","Julho","Todas","Bahia"
"9","Uruçuca",7,"2016","Julho","Todas","Bahia"
"10","Vera Cruz",2,"2016","Julho","Todas","Bahia"
"11","Xique-Xique",16,"2016","Julho","Todas","Bahia"
"12","Nova Itarana",1,"2016","Julho","Todas","Bahia"
"13","Paripiranga",3,"2016","Julho","Todas","Bahia"
"14","Pindobaçu",6,"2016","Julho","Todas","Bahia"
"15","Piripá",6,"2016","Julho","Todas","Bahia"
"16","Piritiba",17,"2016","Julho","Todas","Bahia"
"17","Pojuca",18,"2016","Julho","Todas","Bahia"
"18","Poções",21,"2016","Julho","Todas","Bahia"
"19","Presidente Tancredo Neves",15,"2016","Julho","Todas","Bahia"
"20","Remanso",12,"2016","Julho","Todas","Bahia"
"21","Ribeira do Pombal",35,"2016","Julho","Todas","Bahia"
"22","Rio do Antônio",4,"2016","Julho","Todas","Bahia"
"23","Ruy Barbosa",16,"2016","Julho","Todas","Bahia"
"24","Salvador",340,"2016","Julho","Todas","Bahia"
"25","Santa Bárbara",9,"2016","Julho","Todas","Bahia"
"26","Santa Cruz Cabrália",1,"2016","Julho","Todas","Bahia"
"27","Santa Rita de Cássia",13,"2016","Julho","Todas","Bahia"
"28","Santo Amaro",13,"2016","Julho","Todas","Bahia"
"29","Santo Estêvão",23,"2016","Julho","Todas","Bahia"
"30","Sapeaçu",1,"2016","Julho","Todas","Bahia"
"31","Saúde",9,"2016","Julho","Todas","Bahia"
"32","Ipirá",31,"2016","Julho","Todas","Bahia"
"33","Irará",13,"2016","Julho","Todas","Bahia"
"34","Itabuna",133,"2016","Julho","Todas","Bahia"
"35","Itamaraju",37,"2016","Julho","Todas","Bahia"
"36","Itanhém",1,"2016","Julho","Todas","Bahia"
"37","Itapetinga",43,"2016","Julho","Todas","Bahia"
"38","Itatim",2,"2016","Julho","Todas","Bahia"
"39","Itororó",13,"2016","Julho","Todas","Bahia"
"40","Jacobina",29,"2016","Julho","Todas","Bahia"
"41","Juazeiro",84,"2016","Julho","Todas","Bahia"
"42","Jussiape",3,"2016","Julho","Todas","Bahia"
"43","Livramento de Nossa Senhora",22,"2016","Julho","Todas","Bahia"
"44","Luís Eduardo Magalhães",16,"2016","Julho","Todas","Bahia"
"45","Maracás",6,"2016","Julho","Todas","Bahia"
"46","Maragogipe",11,"2016","Julho","Todas","Bahia"
"47","Medeiros Neto",1,"2016","Julho","Todas","Bahia"
"48","Monte Santo",22,"2016","Julho","Todas","Bahia"
"49","Morpará",2,"2016","Julho","Todas","Bahia"
"50","Mucuri",14,"2016","Julho","Todas","Bahia"
"51","Muritiba",8,"2016","Julho","Todas","Bahia"
"52","Camaçari",69,"2016","Julho","Todas","Bahia"
"53","Campo Formoso",29,"2016","Julho","Todas","Bahia"
"54","Canarana",3,"2016","Julho","Todas","Bahia"
"55","Candeias",39,"2016","Julho","Todas","Bahia"
"56","Casa Nova",22,"2016","Julho","Todas","Bahia"
"57","Cipó",5,"2016","Julho","Todas","Bahia"
"58","Coaraci",16,"2016","Julho","Todas","Bahia"
"59","Conceição do Jacuípe",13,"2016","Julho","Todas","Bahia"
"60","Cícero Dantas",16,"2016","Julho","Todas","Bahia"
"61","Esplanada",18,"2016","Julho","Todas","Bahia"
"62","Euclides da Cunha",26,"2016","Julho","Todas","Bahia"
"63","Eunapolis",62,"2016","Julho","Todas","Bahia"
"64","Feira de Santana",384,"2016","Julho","Todas","Bahia"
"65","Formosa do Rio Preto",11,"2016","Julho","Todas","Bahia"
"66","Guanambi",51,"2016","Julho","Todas","Bahia"
"67","Iaçu",6,"2016","Julho","Todas","Bahia"
"68","Ibicaraí",9,"2016","Julho","Todas","Bahia"
"69","Ibotirama",14,"2016","Julho","Todas","Bahia"
"70","Ichu",1,"2016","Julho","Todas","Bahia"
"71","Ilheus",52,"2016","Julho","Todas","Bahia"
"72","Alagoinhas",45,"2016","Julho","Todas","Bahia"
"73","Amelia Rodrigues",2,"2016","Julho","Todas","Bahia"
"74","Antas",16,"2016","Julho","Todas","Bahia"
"75","Antônio Gonçalves",4,"2016","Julho","Todas","Bahia"
"76","Aramari",4,"2016","Julho","Todas","Bahia"
"77","Araças",4,"2016","Julho","Todas","Bahia"
"78","Barra",14,"2016","Julho","Todas","Bahia"
"79","Barra da Estiva",12,"2016","Julho","Todas","Bahia"
"80","Barra do Choça",2,"2016","Julho","Todas","Bahia"
"81","Barreiras",57,"2016","Julho","Todas","Bahia"
"82","Barro Preto",4,"2016","Julho","Todas","Bahia"
"83","Belmonte",11,"2016","Julho","Todas","Bahia"
"84","Bom Jesus da Lapa",28,"2016","Julho","Todas","Bahia"
"85","Buritirama",2,"2016","Julho","Todas","Bahia"
"86","Caatiba",2,"2016","Julho","Todas","Bahia"
"87","Cabaceiras do Paraguaçu",5,"2016","Julho","Todas","Bahia"
"88","Caculé",16,"2016","Julho","Todas","Bahia"
"89","Caetité",18,"2016","Julho","Todas","Bahia"
"90","Caldeirão Grande",5,"2016","Julho","Todas","Bahia"
"91","Camamu",2,"2016","Julho","Todas","Bahia"
