"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uniflor",1,"2016","Julho","Todas","Paraná"
"2","União da Vitória",39,"2016","Julho","Todas","Paraná"
"3","Uraí",5,"2016","Julho","Todas","Paraná"
"4","Ventania",3,"2016","Julho","Todas","Paraná"
"5","Vera Cruz do Oeste",3,"2016","Julho","Todas","Paraná"
"6","Verê",3,"2016","Julho","Todas","Paraná"
"7","Virmond",1,"2016","Julho","Todas","Paraná"
"8","Vitorino",1,"2016","Julho","Todas","Paraná"
"9","Wenceslau Braz",10,"2016","Julho","Todas","Paraná"
"10","Xambrê",2,"2016","Julho","Todas","Paraná"
"11","Tamarana",6,"2016","Julho","Todas","Paraná"
"12","Tamboara",8,"2016","Julho","Todas","Paraná"
"13","Tapejara",4,"2016","Julho","Todas","Paraná"
"14","Tapira",3,"2016","Julho","Todas","Paraná"
"15","Teixeira Soares",3,"2016","Julho","Todas","Paraná"
"16","Telemaco Borba",40,"2016","Julho","Todas","Paraná"
"17","Terra Boa",3,"2016","Julho","Todas","Paraná"
"18","Terra Rica",5,"2016","Julho","Todas","Paraná"
"19","Terra Roxa",9,"2016","Julho","Todas","Paraná"
"20","Tibagi",7,"2016","Julho","Todas","Paraná"
"21","Tijucas do Sul",7,"2016","Julho","Todas","Paraná"
"22","Toledo",98,"2016","Julho","Todas","Paraná"
"23","Tomazina",5,"2016","Julho","Todas","Paraná"
"24","Três Barras do Paraná",6,"2016","Julho","Todas","Paraná"
"25","Tunas do Paraná",4,"2016","Julho","Todas","Paraná"
"26","Tuneiras do Oeste",1,"2016","Julho","Todas","Paraná"
"27","Tupãssi",4,"2016","Julho","Todas","Paraná"
"28","Turvo",11,"2016","Julho","Todas","Paraná"
"29","Ubiratã",12,"2016","Julho","Todas","Paraná"
"30","Umuarama",128,"2016","Julho","Todas","Paraná"
"31","Siqueira Campos",8,"2016","Julho","Todas","Paraná"
"32","Sulina",2,"2016","Julho","Todas","Paraná"
"33","São Carlos do Ivaí",4,"2016","Julho","Todas","Paraná"
"34","São Jerônimo da Serra",5,"2016","Julho","Todas","Paraná"
"35","São Jorge D'oeste",1,"2016","Julho","Todas","Paraná"
"36","São Jorge do Ivaí",1,"2016","Julho","Todas","Paraná"
"37","São Jorge do Patrocínio",2,"2016","Julho","Todas","Paraná"
"38","São José da Boa Vista",4,"2016","Julho","Todas","Paraná"
"39","São José das Palmeiras",2,"2016","Julho","Todas","Paraná"
"40","São José dos Pinhais",99,"2016","Julho","Todas","Paraná"
"41","São João",2,"2016","Julho","Todas","Paraná"
"42","São João do Caiuá",2,"2016","Julho","Todas","Paraná"
"43","São João do Ivaí",11,"2016","Julho","Todas","Paraná"
"44","São João do Triunfo",2,"2016","Julho","Todas","Paraná"
"45","São Mateus do Sul",20,"2016","Julho","Todas","Paraná"
"46","São Miguel do Iguaçu",9,"2016","Julho","Todas","Paraná"
"47","São Pedro do Iguaçu",1,"2016","Julho","Todas","Paraná"
"48","São Pedro do Ivaí",1,"2016","Julho","Todas","Paraná"
"49","São Sebastião da Amoreira",1,"2016","Julho","Todas","Paraná"
"50","São Tomé",1,"2016","Julho","Todas","Paraná"
"51","Santa Cecília do Pavão",1,"2016","Julho","Todas","Paraná"
"52","Santa Fé",3,"2016","Julho","Todas","Paraná"
"53","Santa Helena",13,"2016","Julho","Todas","Paraná"
"54","Santa Isabel do Ivaí",6,"2016","Julho","Todas","Paraná"
"55","Santa Izabel do Oeste",4,"2016","Julho","Todas","Paraná"
"56","Santa Lúcia",1,"2016","Julho","Todas","Paraná"
"57","Santa Maria do Oeste",4,"2016","Julho","Todas","Paraná"
"58","Santa Mariana",9,"2016","Julho","Todas","Paraná"
"59","Santa Mônica",1,"2016","Julho","Todas","Paraná"
"60","Santa Tereza do Oeste",3,"2016","Julho","Todas","Paraná"
"61","Santa Terezinha de Itaipu",4,"2016","Julho","Todas","Paraná"
"62","Santo Antônio da Platina",40,"2016","Julho","Todas","Paraná"
"63","Santo Antônio do Caiuá",3,"2016","Julho","Todas","Paraná"
"64","Santo Antônio do Sudoeste",7,"2016","Julho","Todas","Paraná"
"65","Sapopema",4,"2016","Julho","Todas","Paraná"
"66","Sarandi",57,"2016","Julho","Todas","Paraná"
"67","Saudade do Iguaçu",3,"2016","Julho","Todas","Paraná"
"68","Sengés",3,"2016","Julho","Todas","Paraná"
"69","Sertaneja",1,"2016","Julho","Todas","Paraná"
"70","Sertanópolis",6,"2016","Julho","Todas","Paraná"
"71","Realeza",6,"2016","Julho","Todas","Paraná"
"72","Rebouças",11,"2016","Julho","Todas","Paraná"
"73","Renascença",4,"2016","Julho","Todas","Paraná"
"74","Reserva",11,"2016","Julho","Todas","Paraná"
