"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Umbuzeiro",1,"2016","Julho","Todas","Paraíba"
"2","Vieirópolis",1,"2016","Julho","Todas","Paraíba"
"3","Vista Serrana",1,"2016","Julho","Todas","Paraíba"
"4","Várzea",2,"2016","Julho","Todas","Paraíba"
"5","Água Branca",2,"2016","Julho","Todas","Paraíba"
"6","Solânea",16,"2016","Julho","Todas","Paraíba"
"7","Sossêgo",4,"2016","Julho","Todas","Paraíba"
"8","Sousa",50,"2016","Julho","Todas","Paraíba"
"9","São Bento",7,"2016","Julho","Todas","Paraíba"
"10","São Domingos do Cariri",1,"2016","Julho","Todas","Paraíba"
"11","São Francisco",1,"2016","Julho","Todas","Paraíba"
"12","São José da Lagoa Tapada",1,"2016","Julho","Todas","Paraíba"
"13","São José de Caiana",1,"2016","Julho","Todas","Paraíba"
"14","São José de Piranhas",16,"2016","Julho","Todas","Paraíba"
"15","São José do Sabugi",1,"2016","Julho","Todas","Paraíba"
"16","São José dos Cordeiros",1,"2016","Julho","Todas","Paraíba"
"17","São José dos Ramos",3,"2016","Julho","Todas","Paraíba"
"18","São João do Cariri",4,"2016","Julho","Todas","Paraíba"
"19","São João do Rio do Peixe",3,"2016","Julho","Todas","Paraíba"
"20","São João do Tigre",1,"2016","Julho","Todas","Paraíba"
"21","São Mamede",5,"2016","Julho","Todas","Paraíba"
"22","Taperoá",13,"2016","Julho","Todas","Paraíba"
"23","Tavares",3,"2016","Julho","Todas","Paraíba"
"24","Triunfo",1,"2016","Julho","Todas","Paraíba"
"25","Uiraúna",3,"2016","Julho","Todas","Paraíba"
"26","Queimadas",17,"2016","Julho","Todas","Paraíba"
"27","Remígio",8,"2016","Julho","Todas","Paraíba"
"28","Riachão",3,"2016","Julho","Todas","Paraíba"
"29","Rio Tinto",1,"2016","Julho","Todas","Paraíba"
"30","Salgado de São Félix",8,"2016","Julho","Todas","Paraíba"
"31","Santa Cecília",3,"2016","Julho","Todas","Paraíba"
"32","Santa Helena",2,"2016","Julho","Todas","Paraíba"
"33","Santa Inês",1,"2016","Julho","Todas","Paraíba"
"34","Santa Luzia",6,"2016","Julho","Todas","Paraíba"
"35","Santa Rita",87,"2016","Julho","Todas","Paraíba"
"36","Santana dos Garrotes",1,"2016","Julho","Todas","Paraíba"
"37","Santarém",1,"2016","Julho","Todas","Paraíba"
"38","Santo André",3,"2016","Julho","Todas","Paraíba"
"39","Sapé",22,"2016","Julho","Todas","Paraíba"
"40","Seridó",4,"2016","Julho","Todas","Paraíba"
"41","Serra Branca",5,"2016","Julho","Todas","Paraíba"
"42","Serra Grande",1,"2016","Julho","Todas","Paraíba"
"43","Sertãozinho",1,"2016","Julho","Todas","Paraíba"
"44","Sobrado",1,"2016","Julho","Todas","Paraíba"
"45","Soledade",7,"2016","Julho","Todas","Paraíba"
"46","Monteiro",17,"2016","Julho","Todas","Paraíba"
"47","Mãe D'água",1,"2016","Julho","Todas","Paraíba"
"48","Natuba",4,"2016","Julho","Todas","Paraíba"
"49","Nova Olinda",5,"2016","Julho","Todas","Paraíba"
"50","Parari",1,"2016","Julho","Todas","Paraíba"
"51","Passagem",3,"2016","Julho","Todas","Paraíba"
"52","Patos",95,"2016","Julho","Todas","Paraíba"
"53","Paulista",3,"2016","Julho","Todas","Paraíba"
"54","Pedra Lavrada",4,"2016","Julho","Todas","Paraíba"
"55","Pedro Régis",2,"2016","Julho","Todas","Paraíba"
"56","Piancó",11,"2016","Julho","Todas","Paraíba"
"57","Picuí",18,"2016","Julho","Todas","Paraíba"
"58","Pilõezinhos",3,"2016","Julho","Todas","Paraíba"
"59","Pirpirituba",8,"2016","Julho","Todas","Paraíba"
"60","Pitimbu",9,"2016","Julho","Todas","Paraíba"
