"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Santa",1,"2016","Julho","Todas","Rio Grande do Sul"
"2","Áurea",1,"2016","Julho","Todas","Rio Grande do Sul"
"3","Teutônia",17,"2016","Julho","Todas","Rio Grande do Sul"
"4","Torres",19,"2016","Julho","Todas","Rio Grande do Sul"
"5","Tramandaí",72,"2016","Julho","Todas","Rio Grande do Sul"
"6","Triunfo",16,"2016","Julho","Todas","Rio Grande do Sul"
"7","Três Cachoeiras",1,"2016","Julho","Todas","Rio Grande do Sul"
"8","Três Coroas",15,"2016","Julho","Todas","Rio Grande do Sul"
"9","Três Forquilhas",1,"2016","Julho","Todas","Rio Grande do Sul"
"10","Três Passos",34,"2016","Julho","Todas","Rio Grande do Sul"
"11","Três de Maio",26,"2016","Julho","Todas","Rio Grande do Sul"
"12","Tunas",1,"2016","Julho","Todas","Rio Grande do Sul"
"13","Tupanciretã",11,"2016","Julho","Todas","Rio Grande do Sul"
"14","Tuparendi",4,"2016","Julho","Todas","Rio Grande do Sul"
"15","Uruguaiana",10,"2016","Julho","Todas","Rio Grande do Sul"
"16","Vacaria",4,"2016","Julho","Todas","Rio Grande do Sul"
"17","Vale do Sol",6,"2016","Julho","Todas","Rio Grande do Sul"
"18","Venâncio Aires",3,"2016","Julho","Todas","Rio Grande do Sul"
"19","Vera Cruz",20,"2016","Julho","Todas","Rio Grande do Sul"
"20","Veranopolis",1,"2016","Julho","Todas","Rio Grande do Sul"
"21","Viamao",4,"2016","Julho","Todas","Rio Grande do Sul"
"22","Vila Maria",1,"2016","Julho","Todas","Rio Grande do Sul"
"23","São Gabriel",50,"2016","Julho","Todas","Rio Grande do Sul"
"24","São José do Herval",1,"2016","Julho","Todas","Rio Grande do Sul"
"25","São José do Ouro",10,"2016","Julho","Todas","Rio Grande do Sul"
"26","São João da Urtiga",1,"2016","Julho","Todas","Rio Grande do Sul"
"27","São Leopoldo",21,"2016","Julho","Todas","Rio Grande do Sul"
"28","São Lourenço do Sul",10,"2016","Julho","Todas","Rio Grande do Sul"
"29","São Martinho",4,"2016","Julho","Todas","Rio Grande do Sul"
"30","São Miguel das Missões",1,"2016","Julho","Todas","Rio Grande do Sul"
"31","São Nicolau",4,"2016","Julho","Todas","Rio Grande do Sul"
"32","São Pedro do Sul",15,"2016","Julho","Todas","Rio Grande do Sul"
"33","São Sebastião do Caí",15,"2016","Julho","Todas","Rio Grande do Sul"
"34","São Sepé",17,"2016","Julho","Todas","Rio Grande do Sul"
"35","São Valentim",4,"2016","Julho","Todas","Rio Grande do Sul"
"36","São Vicente do Sul",6,"2016","Julho","Todas","Rio Grande do Sul"
"37","Tabaí",2,"2016","Julho","Todas","Rio Grande do Sul"
"38","Tapejara",14,"2016","Julho","Todas","Rio Grande do Sul"
"39","Tapes",9,"2016","Julho","Todas","Rio Grande do Sul"
"40","Taquara",4,"2016","Julho","Todas","Rio Grande do Sul"
"41","Tenente Portela",27,"2016","Julho","Todas","Rio Grande do Sul"
"42","Terra de Areia",2,"2016","Julho","Todas","Rio Grande do Sul"
"43","Santana da Boa Vista",4,"2016","Julho","Todas","Rio Grande do Sul"
"44","Santana do Livramento",83,"2016","Julho","Todas","Rio Grande do Sul"
"45","Santo Angelo",1,"2016","Julho","Todas","Rio Grande do Sul"
"46","Santo Antônio da Patrulha",25,"2016","Julho","Todas","Rio Grande do Sul"
"47","Santo Antônio das Missões",8,"2016","Julho","Todas","Rio Grande do Sul"
"48","Santo Cristo",10,"2016","Julho","Todas","Rio Grande do Sul"
"49","Sao Jeronimo",29,"2016","Julho","Todas","Rio Grande do Sul"
"50","Sapiranga",52,"2016","Julho","Todas","Rio Grande do Sul"
"51","Sapucaia do Sul",72,"2016","Julho","Todas","Rio Grande do Sul"
"52","Sarandi",13,"2016","Julho","Todas","Rio Grande do Sul"
"53","Seberi",7,"2016","Julho","Todas","Rio Grande do Sul"
"54","Selbach",6,"2016","Julho","Todas","Rio Grande do Sul"
"55","Serafina Correa",9,"2016","Julho","Todas","Rio Grande do Sul"
"56","Sertão Santana",1,"2016","Julho","Todas","Rio Grande do Sul"
"57","Severiano de Almeida",4,"2016","Julho","Todas","Rio Grande do Sul"
"58","Sinimbu",5,"2016","Julho","Todas","Rio Grande do Sul"
"59","Sobradinho",12,"2016","Julho","Todas","Rio Grande do Sul"
"60","Soledade",13,"2016","Julho","Todas","Rio Grande do Sul"
"61","São Borja",50,"2016","Julho","Todas","Rio Grande do Sul"
"62","São Domingos do Sul",1,"2016","Julho","Todas","Rio Grande do Sul"
"63","Planalto",8,"2016","Julho","Todas","Rio Grande do Sul"
