"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Volta Redonda",66,"2016","Julho","Todas","Rio de Janeiro"
"2","Niteroi",24,"2016","Julho","Todas","Rio de Janeiro"
"3","Nova Friburgo",5,"2016","Julho","Todas","Rio de Janeiro"
"4","Nova Iguaçu",2,"2016","Julho","Todas","Rio de Janeiro"
"5","Paraiba do Sul",28,"2016","Julho","Todas","Rio de Janeiro"
"6","Parati",1,"2016","Julho","Todas","Rio de Janeiro"
"7","Paty do Alferes",6,"2016","Julho","Todas","Rio de Janeiro"
"8","Petropolis",4,"2016","Julho","Todas","Rio de Janeiro"
"9","Pirai",12,"2016","Julho","Todas","Rio de Janeiro"
"10","Resende",1,"2016","Julho","Todas","Rio de Janeiro"
"11","Rio Bonito",2,"2016","Julho","Todas","Rio de Janeiro"
"12","Rio Claro",7,"2016","Julho","Todas","Rio de Janeiro"
"13","Rio das Ostras",31,"2016","Julho","Todas","Rio de Janeiro"
"14","Rio de Janeiro",590,"2016","Julho","Todas","Rio de Janeiro"
"15","Sapucaia",6,"2016","Julho","Todas","Rio de Janeiro"
"16","Saquarema",48,"2016","Julho","Todas","Rio de Janeiro"
"17","Seropedica",35,"2016","Julho","Todas","Rio de Janeiro"
"18","Sumidouro",6,"2016","Julho","Todas","Rio de Janeiro"
"19","São João da Barra",1,"2016","Julho","Todas","Rio de Janeiro"
"20","São João de Meriti",207,"2016","Julho","Todas","Rio de Janeiro"
"21","Tanguá",15,"2016","Julho","Todas","Rio de Janeiro"
"22","Angra dos Reis",4,"2016","Julho","Todas","Rio de Janeiro"
"23","Araruama",1,"2016","Julho","Todas","Rio de Janeiro"
"24","Armação dos Búzios",1,"2016","Julho","Todas","Rio de Janeiro"
"25","Barra do Pirai",2,"2016","Julho","Todas","Rio de Janeiro"
"26","Bom Jardim",21,"2016","Julho","Todas","Rio de Janeiro"
"27","Bom Jesus do Itabapoana",29,"2016","Julho","Todas","Rio de Janeiro"
"28","Cabo Frio",1,"2016","Julho","Todas","Rio de Janeiro"
"29","Cachoeiras de Macacu",8,"2016","Julho","Todas","Rio de Janeiro"
"30","Campos dos Goytacazes",258,"2016","Julho","Todas","Rio de Janeiro"
"31","Cantagalo",14,"2016","Julho","Todas","Rio de Janeiro"
"32","Casimiro de Abreu",11,"2016","Julho","Todas","Rio de Janeiro"
"33","Cordeiro",2,"2016","Julho","Todas","Rio de Janeiro"
"34","Duque de Caxias",21,"2016","Julho","Todas","Rio de Janeiro"
"35","Itaborai",83,"2016","Julho","Todas","Rio de Janeiro"
"36","Itaguai",67,"2016","Julho","Todas","Rio de Janeiro"
"37","Itaperuna",135,"2016","Julho","Todas","Rio de Janeiro"
"38","Japeri",26,"2016","Julho","Todas","Rio de Janeiro"
"39","Macae",93,"2016","Julho","Todas","Rio de Janeiro"
"40","Mangaratiba",27,"2016","Julho","Todas","Rio de Janeiro"
"41","Miguel Pereira",30,"2016","Julho","Todas","Rio de Janeiro"
