"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xavantina",2,"2016","Julho","Todas","Santa Catarina"
"2","Xaxim",7,"2016","Julho","Todas","Santa Catarina"
"3","Água Doce",1,"2016","Julho","Todas","Santa Catarina"
"4","Águas Mornas",1,"2016","Julho","Todas","Santa Catarina"
"5","São Miguel da Boa Vista",1,"2016","Julho","Todas","Santa Catarina"
"6","São Miguel do Oeste",58,"2016","Julho","Todas","Santa Catarina"
"7","Taió",9,"2016","Julho","Todas","Santa Catarina"
"8","Tijucas",8,"2016","Julho","Todas","Santa Catarina"
"9","Timbo",32,"2016","Julho","Todas","Santa Catarina"
"10","Timbó Grande",3,"2016","Julho","Todas","Santa Catarina"
"11","Trombudo Central",5,"2016","Julho","Todas","Santa Catarina"
"12","Três Barras",6,"2016","Julho","Todas","Santa Catarina"
"13","Tubarao",137,"2016","Julho","Todas","Santa Catarina"
"14","Tunápolis",1,"2016","Julho","Todas","Santa Catarina"
"15","Turvo",5,"2016","Julho","Todas","Santa Catarina"
"16","União do Oeste",2,"2016","Julho","Todas","Santa Catarina"
"17","Urubici",3,"2016","Julho","Todas","Santa Catarina"
"18","Urussanga",15,"2016","Julho","Todas","Santa Catarina"
"19","Vargem",1,"2016","Julho","Todas","Santa Catarina"
"20","Vargem Bonita",2,"2016","Julho","Todas","Santa Catarina"
"21","Vidal Ramos",1,"2016","Julho","Todas","Santa Catarina"
"22","Videira",26,"2016","Julho","Todas","Santa Catarina"
"23","Vitor Meireles",3,"2016","Julho","Todas","Santa Catarina"
"24","Xanxere",35,"2016","Julho","Todas","Santa Catarina"
"25","Santa Rosa de Lima",1,"2016","Julho","Todas","Santa Catarina"
"26","Santa Rosa do Sul",4,"2016","Julho","Todas","Santa Catarina"
"27","Santa Terezinha",2,"2016","Julho","Todas","Santa Catarina"
"28","Santo Amaro da Imperatriz",8,"2016","Julho","Todas","Santa Catarina"
"29","Sao Jose do Cerrito",1,"2016","Julho","Todas","Santa Catarina"
"30","Schroeder",3,"2016","Julho","Todas","Santa Catarina"
"31","Seara",5,"2016","Julho","Todas","Santa Catarina"
"32","Sombrio",1,"2016","Julho","Todas","Santa Catarina"
"33","São Carlos",13,"2016","Julho","Todas","Santa Catarina"
"34","São Cristovão do Sul",1,"2016","Julho","Todas","Santa Catarina"
"35","São Domingos",9,"2016","Julho","Todas","Santa Catarina"
"36","São Francisco do Sul",20,"2016","Julho","Todas","Santa Catarina"
"37","São Joaquim",12,"2016","Julho","Todas","Santa Catarina"
"38","São José",133,"2016","Julho","Todas","Santa Catarina"
"39","São José do Cedro",3,"2016","Julho","Todas","Santa Catarina"
"40","São João Batista",10,"2016","Julho","Todas","Santa Catarina"
"41","São João do Oeste",3,"2016","Julho","Todas","Santa Catarina"
"42","São Lourenço do Oeste",10,"2016","Julho","Todas","Santa Catarina"
"43","São Ludgero",4,"2016","Julho","Todas","Santa Catarina"
"44","São Martinho",1,"2016","Julho","Todas","Santa Catarina"
"45","Ponte Alta",3,"2016","Julho","Todas","Santa Catarina"
"46","Pouso Redondo",4,"2016","Julho","Todas","Santa Catarina"
"47","Praia Grande",5,"2016","Julho","Todas","Santa Catarina"
"48","Presidente Getúlio",8,"2016","Julho","Todas","Santa Catarina"
"49","Quilombo",8,"2016","Julho","Todas","Santa Catarina"
"50","Rancho Queimado",1,"2016","Julho","Todas","Santa Catarina"
"51","Rio Fortuna",1,"2016","Julho","Todas","Santa Catarina"
"52","Rio Negrinho",31,"2016","Julho","Todas","Santa Catarina"
"53","Rio Rufino",1,"2016","Julho","Todas","Santa Catarina"
"54","Rio das Antas",1,"2016","Julho","Todas","Santa Catarina"
"55","Rio do Campo",9,"2016","Julho","Todas","Santa Catarina"
"56","Rio do Oeste",3,"2016","Julho","Todas","Santa Catarina"
"57","Rio do Sul",70,"2016","Julho","Todas","Santa Catarina"
"58","Rio dos Cedros",11,"2016","Julho","Todas","Santa Catarina"
"59","Rodeio",6,"2016","Julho","Todas","Santa Catarina"
"60","Romelândia",1,"2016","Julho","Todas","Santa Catarina"
"61","Salete",3,"2016","Julho","Todas","Santa Catarina"
"62","Salto Veloso",1,"2016","Julho","Todas","Santa Catarina"
"63","Sangão",1,"2016","Julho","Todas","Santa Catarina"
"64","Santa Cecília",5,"2016","Julho","Todas","Santa Catarina"
"65","Mondaí",2,"2016","Julho","Todas","Santa Catarina"
"66","Monte Carlo",5,"2016","Julho","Todas","Santa Catarina"
"67","Monte Castelo",4,"2016","Julho","Todas","Santa Catarina"
"68","Navegantes",12,"2016","Julho","Todas","Santa Catarina"
"69","Nova Erechim",2,"2016","Julho","Todas","Santa Catarina"
"70","Nova Itaberaba",2,"2016","Julho","Todas","Santa Catarina"
"71","Nova Veneza",10,"2016","Julho","Todas","Santa Catarina"
"72","Orleans",14,"2016","Julho","Todas","Santa Catarina"
"73","Otacílio Costa",7,"2016","Julho","Todas","Santa Catarina"
"74","Painel",1,"2016","Julho","Todas","Santa Catarina"
"75","Palhoça",24,"2016","Julho","Todas","Santa Catarina"
"76","Palma Sola",6,"2016","Julho","Todas","Santa Catarina"
"77","Papanduva",11,"2016","Julho","Todas","Santa Catarina"
"78","Passos Maia",1,"2016","Julho","Todas","Santa Catarina"
"79","Penha",6,"2016","Julho","Todas","Santa Catarina"
"80","Peritiba",2,"2016","Julho","Todas","Santa Catarina"
"81","Petrolândia",1,"2016","Julho","Todas","Santa Catarina"
"82","Pinhalzinho",5,"2016","Julho","Todas","Santa Catarina"
"83","Piratuba",1,"2016","Julho","Todas","Santa Catarina"
"84","Pomerode",15,"2016","Julho","Todas","Santa Catarina"
"85","Jaraguá do Sul",108,"2016","Julho","Todas","Santa Catarina"
"86","Joaçaba",51,"2016","Julho","Todas","Santa Catarina"
"87","Joinville",198,"2016","Julho","Todas","Santa Catarina"
"88","José Boiteux",4,"2016","Julho","Todas","Santa Catarina"
"89","Lages",101,"2016","Julho","Todas","Santa Catarina"
"90","Laguna",28,"2016","Julho","Todas","Santa Catarina"
"91","Lauro Muller",5,"2016","Julho","Todas","Santa Catarina"
"92","Lebon Régis",5,"2016","Julho","Todas","Santa Catarina"
"93","Lindóia do Sul",8,"2016","Julho","Todas","Santa Catarina"
"94","Lontras",3,"2016","Julho","Todas","Santa Catarina"
"95","Luiz Alves",4,"2016","Julho","Todas","Santa Catarina"
"96","Luzerna",2,"2016","Julho","Todas","Santa Catarina"
"97","Mafra",42,"2016","Julho","Todas","Santa Catarina"
"98","Major Vieira",6,"2016","Julho","Todas","Santa Catarina"
"99","Maracaja",1,"2016","Julho","Todas","Santa Catarina"
"100","Marema",2,"2016","Julho","Todas","Santa Catarina"
"101","Massaranduba",3,"2016","Julho","Todas","Santa Catarina"
"102","Meleiro",3,"2016","Julho","Todas","Santa Catarina"
"103","Mirim Doce",1,"2016","Julho","Todas","Santa Catarina"
"104","Modelo",2,"2016","Julho","Todas","Santa Catarina"
"105","Ilhota",2,"2016","Julho","Todas","Santa Catarina"
"106","Imaruí",6,"2016","Julho","Todas","Santa Catarina"
"107","Imbituba",28,"2016","Julho","Todas","Santa Catarina"
"108","Imbuia",2,"2016","Julho","Todas","Santa Catarina"
"109","Indaial",25,"2016","Julho","Todas","Santa Catarina"
"110","Iomerê",1,"2016","Julho","Todas","Santa Catarina"
"111","Iporã do Oeste",2,"2016","Julho","Todas","Santa Catarina"
"112","Ipuaçu",2,"2016","Julho","Todas","Santa Catarina"
"113","Ipumirim",1,"2016","Julho","Todas","Santa Catarina"
"114","Iraceminha",1,"2016","Julho","Todas","Santa Catarina"
"115","Irani",4,"2016","Julho","Todas","Santa Catarina"
"116","Itaiopolis",9,"2016","Julho","Todas","Santa Catarina"
"117","Itajai",170,"2016","Julho","Todas","Santa Catarina"
"118","Itapema",8,"2016","Julho","Todas","Santa Catarina"
"119","Itapoa",9,"2016","Julho","Todas","Santa Catarina"
"120","Ituporanga",29,"2016","Julho","Todas","Santa Catarina"
"121","Itá",6,"2016","Julho","Todas","Santa Catarina"
"122","Içara",28,"2016","Julho","Todas","Santa Catarina"
"123","Jacinto Machado",1,"2016","Julho","Todas","Santa Catarina"
"124","Jaguaruna",14,"2016","Julho","Todas","Santa Catarina"
"125","Descanso",3,"2016","Julho","Todas","Santa Catarina"
"126","Dionísio Cerqueira",13,"2016","Julho","Todas","Santa Catarina"
"127","Dona Emma",1,"2016","Julho","Todas","Santa Catarina"
"128","Faxinal dos Guedes",2,"2016","Julho","Todas","Santa Catarina"
"129","Florianopolis",292,"2016","Julho","Todas","Santa Catarina"
"130","Forquilhinha",2,"2016","Julho","Todas","Santa Catarina"
"131","Fraiburgo",16,"2016","Julho","Todas","Santa Catarina"
"132","Garopaba",10,"2016","Julho","Todas","Santa Catarina"
"133","Garuva",5,"2016","Julho","Todas","Santa Catarina"
"134","Gaspar",22,"2016","Julho","Todas","Santa Catarina"
"135","Governador Celso Ramos",1,"2016","Julho","Todas","Santa Catarina"
"136","Grão Pará",4,"2016","Julho","Todas","Santa Catarina"
"137","Guabiruba",1,"2016","Julho","Todas","Santa Catarina"
"138","Guaraciaba",3,"2016","Julho","Todas","Santa Catarina"
"139","Guaramirim",15,"2016","Julho","Todas","Santa Catarina"
"140","Guarujá do Sul",6,"2016","Julho","Todas","Santa Catarina"
"141","Guatambú",2,"2016","Julho","Todas","Santa Catarina"
"142","Herval D'oeste",3,"2016","Julho","Todas","Santa Catarina"
"143","Ibicare",1,"2016","Julho","Todas","Santa Catarina"
"144","Ibirama",22,"2016","Julho","Todas","Santa Catarina"
"145","Campo Erê",5,"2016","Julho","Todas","Santa Catarina"
"146","Campos Novos",25,"2016","Julho","Todas","Santa Catarina"
"147","Canelinha",4,"2016","Julho","Todas","Santa Catarina"
"148","Canoinhas",45,"2016","Julho","Todas","Santa Catarina"
"149","Capinzal",11,"2016","Julho","Todas","Santa Catarina"
"150","Capivari de Baixo",2,"2016","Julho","Todas","Santa Catarina"
"151","Caxambu do Sul",1,"2016","Julho","Todas","Santa Catarina"
"152","Caçador",36,"2016","Julho","Todas","Santa Catarina"
"153","Celso Ramos",1,"2016","Julho","Todas","Santa Catarina"
"154","Cerro Negro",1,"2016","Julho","Todas","Santa Catarina"
"155","Chapeco",127,"2016","Julho","Todas","Santa Catarina"
"156","Cocal do Sul",2,"2016","Julho","Todas","Santa Catarina"
"157","Concordia",53,"2016","Julho","Todas","Santa Catarina"
"158","Cordilheira Alta",2,"2016","Julho","Todas","Santa Catarina"
"159","Coronel Freitas",1,"2016","Julho","Todas","Santa Catarina"
"160","Correia Pinto",3,"2016","Julho","Todas","Santa Catarina"
"161","Corupa",3,"2016","Julho","Todas","Santa Catarina"
"162","Criciuma",156,"2016","Julho","Todas","Santa Catarina"
"163","Cunha Porã",8,"2016","Julho","Todas","Santa Catarina"
"164","Curitibanos",48,"2016","Julho","Todas","Santa Catarina"
"165","Balneário Barra do Sul",4,"2016","Julho","Todas","Santa Catarina"
"166","Balneário Gaivota",2,"2016","Julho","Todas","Santa Catarina"
"167","Balneário Piçarras",12,"2016","Julho","Todas","Santa Catarina"
"168","Bandeirante",3,"2016","Julho","Todas","Santa Catarina"
"169","Barra Velha",5,"2016","Julho","Todas","Santa Catarina"
"170","Bela Vista do Toldo",3,"2016","Julho","Todas","Santa Catarina"
"171","Belmonte",1,"2016","Julho","Todas","Santa Catarina"
"172","Benedito Novo",3,"2016","Julho","Todas","Santa Catarina"
"173","Biguaçu",9,"2016","Julho","Todas","Santa Catarina"
"174","Blumenau",174,"2016","Julho","Todas","Santa Catarina"
"175","Bocaina do Sul",3,"2016","Julho","Todas","Santa Catarina"
"176","Bom Jardim da Serra",3,"2016","Julho","Todas","Santa Catarina"
"177","Bom Jesus do Oeste",1,"2016","Julho","Todas","Santa Catarina"
"178","Bom Retiro",3,"2016","Julho","Todas","Santa Catarina"
"179","Bombinhas",1,"2016","Julho","Todas","Santa Catarina"
"180","Botuverá",1,"2016","Julho","Todas","Santa Catarina"
"181","Braço do Norte",14,"2016","Julho","Todas","Santa Catarina"
"182","Brusque",65,"2016","Julho","Todas","Santa Catarina"
"183","Calmon",1,"2016","Julho","Todas","Santa Catarina"
"184","Campo Alegre",5,"2016","Julho","Todas","Santa Catarina"
"185","Abdon Batista",2,"2016","Julho","Todas","Santa Catarina"
"186","Abelardo Luz",15,"2016","Julho","Todas","Santa Catarina"
