"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ubaitaba",15,"2016","Junho","Todas","Bahia"
"2","Urandi",5,"2016","Junho","Todas","Bahia"
"3","Uruçuca",5,"2016","Junho","Todas","Bahia"
"4","Vera Cruz",4,"2016","Junho","Todas","Bahia"
"5","Xique-Xique",14,"2016","Junho","Todas","Bahia"
"6","Rafael Jambeiro",1,"2016","Junho","Todas","Bahia"
"7","Remanso",15,"2016","Junho","Todas","Bahia"
"8","Riachão do Jacuípe",22,"2016","Junho","Todas","Bahia"
"9","Ribeira do Pombal",36,"2016","Junho","Todas","Bahia"
"10","Rio do Antônio",5,"2016","Junho","Todas","Bahia"
"11","Ruy Barbosa",15,"2016","Junho","Todas","Bahia"
"12","Salvador",590,"2016","Junho","Todas","Bahia"
"13","Santa Bárbara",6,"2016","Junho","Todas","Bahia"
"14","Santa Cruz Cabrália",5,"2016","Junho","Todas","Bahia"
"15","Santa Rita de Cássia",13,"2016","Junho","Todas","Bahia"
"16","Santo Amaro",12,"2016","Junho","Todas","Bahia"
"17","Santo Estêvão",26,"2016","Junho","Todas","Bahia"
"18","Saúde",2,"2016","Junho","Todas","Bahia"
"19","Serrinha",7,"2016","Junho","Todas","Bahia"
"20","São Felipe",6,"2016","Junho","Todas","Bahia"
"21","São Félix",14,"2016","Junho","Todas","Bahia"
"22","Teixeira de Freitas",89,"2016","Junho","Todas","Bahia"
"23","Teodoro Sampaio",3,"2016","Junho","Todas","Bahia"
"24","Terra Nova",7,"2016","Junho","Todas","Bahia"
"25","Tremedal",4,"2016","Junho","Todas","Bahia"
"26","Maragogipe",9,"2016","Junho","Todas","Bahia"
"27","Monte Santo",16,"2016","Junho","Todas","Bahia"
"28","Morpará",3,"2016","Junho","Todas","Bahia"
"29","Mucugê",1,"2016","Junho","Todas","Bahia"
"30","Mucuri",6,"2016","Junho","Todas","Bahia"
"31","Muritiba",8,"2016","Junho","Todas","Bahia"
"32","Nazaré",4,"2016","Junho","Todas","Bahia"
"33","Nova Viçosa",2,"2016","Junho","Todas","Bahia"
"34","Palmas de Monte Alto",12,"2016","Junho","Todas","Bahia"
"35","Paripiranga",17,"2016","Junho","Todas","Bahia"
"36","Paulo Afonso",3,"2016","Junho","Todas","Bahia"
"37","Pindobaçu",8,"2016","Junho","Todas","Bahia"
