"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Três de Maio",29,"2016","Junho","Todas","Rio Grande do Sul"
"2","Tunas",1,"2016","Junho","Todas","Rio Grande do Sul"
"3","Tupanciretã",15,"2016","Junho","Todas","Rio Grande do Sul"
"4","Tuparendi",14,"2016","Junho","Todas","Rio Grande do Sul"
"5","Uruguaiana",3,"2016","Junho","Todas","Rio Grande do Sul"
"6","Vacaria",51,"2016","Junho","Todas","Rio Grande do Sul"
"7","Vale do Sol",10,"2016","Junho","Todas","Rio Grande do Sul"
"8","Venâncio Aires",2,"2016","Junho","Todas","Rio Grande do Sul"
"9","Vera Cruz",18,"2016","Junho","Todas","Rio Grande do Sul"
"10","Viamao",2,"2016","Junho","Todas","Rio Grande do Sul"
"11","Vila Maria",1,"2016","Junho","Todas","Rio Grande do Sul"
"12","São Sebastião do Caí",21,"2016","Junho","Todas","Rio Grande do Sul"
"13","São Sepé",16,"2016","Junho","Todas","Rio Grande do Sul"
"14","São Valentim",4,"2016","Junho","Todas","Rio Grande do Sul"
"15","São Vicente do Sul",1,"2016","Junho","Todas","Rio Grande do Sul"
"16","Tabaí",2,"2016","Junho","Todas","Rio Grande do Sul"
"17","Tapejara",14,"2016","Junho","Todas","Rio Grande do Sul"
"18","Tapes",10,"2016","Junho","Todas","Rio Grande do Sul"
"19","Taquara",2,"2016","Junho","Todas","Rio Grande do Sul"
"20","Tenente Portela",35,"2016","Junho","Todas","Rio Grande do Sul"
"21","Terra de Areia",2,"2016","Junho","Todas","Rio Grande do Sul"
"22","Teutônia",31,"2016","Junho","Todas","Rio Grande do Sul"
"23","Tiradentes do Sul",1,"2016","Junho","Todas","Rio Grande do Sul"
"24","Torres",25,"2016","Junho","Todas","Rio Grande do Sul"
"25","Tramandaí",57,"2016","Junho","Todas","Rio Grande do Sul"
"26","Triunfo",13,"2016","Junho","Todas","Rio Grande do Sul"
"27","Três Arroios",6,"2016","Junho","Todas","Rio Grande do Sul"
"28","Três Cachoeiras",3,"2016","Junho","Todas","Rio Grande do Sul"
"29","Três Coroas",14,"2016","Junho","Todas","Rio Grande do Sul"
"30","Três Forquilhas",1,"2016","Junho","Todas","Rio Grande do Sul"
"31","Três Passos",38,"2016","Junho","Todas","Rio Grande do Sul"
"32","Selbach",5,"2016","Junho","Todas","Rio Grande do Sul"
"33","Serafina Correa",7,"2016","Junho","Todas","Rio Grande do Sul"
"34","Sertão Santana",2,"2016","Junho","Todas","Rio Grande do Sul"
"35","Severiano de Almeida",1,"2016","Junho","Todas","Rio Grande do Sul"
"36","Sinimbu",12,"2016","Junho","Todas","Rio Grande do Sul"
"37","Sobradinho",25,"2016","Junho","Todas","Rio Grande do Sul"
"38","Soledade",25,"2016","Junho","Todas","Rio Grande do Sul"
"39","São Borja",53,"2016","Junho","Todas","Rio Grande do Sul"
"40","São Francisco de Paula",17,"2016","Junho","Todas","Rio Grande do Sul"
"41","São Gabriel",49,"2016","Junho","Todas","Rio Grande do Sul"
"42","São Jorge",1,"2016","Junho","Todas","Rio Grande do Sul"
"43","São José do Herval",1,"2016","Junho","Todas","Rio Grande do Sul"
"44","São José do Ouro",10,"2016","Junho","Todas","Rio Grande do Sul"
"45","São Leopoldo",35,"2016","Junho","Todas","Rio Grande do Sul"
"46","São Lourenço do Sul",8,"2016","Junho","Todas","Rio Grande do Sul"
"47","São Luiz Gonzaga",48,"2016","Junho","Todas","Rio Grande do Sul"
"48","São Martinho",2,"2016","Junho","Todas","Rio Grande do Sul"
"49","São Miguel das Missões",2,"2016","Junho","Todas","Rio Grande do Sul"
"50","São Nicolau",3,"2016","Junho","Todas","Rio Grande do Sul"
"51","São Pedro do Sul",14,"2016","Junho","Todas","Rio Grande do Sul"
"52","Salvador do Sul",3,"2016","Junho","Todas","Rio Grande do Sul"
"53","Santa Bárbara do Sul",11,"2016","Junho","Todas","Rio Grande do Sul"
"54","Santa Clara do Sul",1,"2016","Junho","Todas","Rio Grande do Sul"
"55","Santa Cruz do Sul",4,"2016","Junho","Todas","Rio Grande do Sul"
"56","Santa Maria",283,"2016","Junho","Todas","Rio Grande do Sul"
"57","Santa Rosa",73,"2016","Junho","Todas","Rio Grande do Sul"
"58","Santa Vitória do Palmar",21,"2016","Junho","Todas","Rio Grande do Sul"
"59","Santana da Boa Vista",4,"2016","Junho","Todas","Rio Grande do Sul"
"60","Santana do Livramento",88,"2016","Junho","Todas","Rio Grande do Sul"
"61","Santiago",1,"2016","Junho","Todas","Rio Grande do Sul"
"62","Santo Angelo",76,"2016","Junho","Todas","Rio Grande do Sul"
"63","Santo Antônio da Patrulha",34,"2016","Junho","Todas","Rio Grande do Sul"
"64","Santo Antônio das Missões",4,"2016","Junho","Todas","Rio Grande do Sul"
"65","Santo Cristo",13,"2016","Junho","Todas","Rio Grande do Sul"
"66","Sao Jeronimo",28,"2016","Junho","Todas","Rio Grande do Sul"
"67","Sao Marcos",2,"2016","Junho","Todas","Rio Grande do Sul"
"68","Sapiranga",73,"2016","Junho","Todas","Rio Grande do Sul"
"69","Sapucaia do Sul",91,"2016","Junho","Todas","Rio Grande do Sul"
"70","Sarandi",15,"2016","Junho","Todas","Rio Grande do Sul"
"71","Seberi",8,"2016","Junho","Todas","Rio Grande do Sul"
"72","Passo do Sobrado",5,"2016","Junho","Todas","Rio Grande do Sul"
"73","Paverama",4,"2016","Junho","Todas","Rio Grande do Sul"
"74","Pedro Osório",9,"2016","Junho","Todas","Rio Grande do Sul"
"75","Pelotas",21,"2016","Junho","Todas","Rio Grande do Sul"
"76","Picada Cafe",2,"2016","Junho","Todas","Rio Grande do Sul"
"77","Pinheiro Machado",18,"2016","Junho","Todas","Rio Grande do Sul"
"78","Pirapó",2,"2016","Junho","Todas","Rio Grande do Sul"
"79","Piratini",19,"2016","Junho","Todas","Rio Grande do Sul"
"80","Planalto",10,"2016","Junho","Todas","Rio Grande do Sul"
"81","Porto Alegre",1049,"2016","Junho","Todas","Rio Grande do Sul"
"82","Porto Xavier",11,"2016","Junho","Todas","Rio Grande do Sul"
"83","Portão",20,"2016","Junho","Todas","Rio Grande do Sul"
"84","Quaraí",20,"2016","Junho","Todas","Rio Grande do Sul"
"85","Relvado",2,"2016","Junho","Todas","Rio Grande do Sul"
"86","Restinga Seca",8,"2016","Junho","Todas","Rio Grande do Sul"
"87","Rio Grande",24,"2016","Junho","Todas","Rio Grande do Sul"
"88","Rio Pardo",41,"2016","Junho","Todas","Rio Grande do Sul"
"89","Rodeio Bonito",6,"2016","Junho","Todas","Rio Grande do Sul"
"90","Rolante",9,"2016","Junho","Todas","Rio Grande do Sul"
"91","Rosário do Sul",4,"2016","Junho","Todas","Rio Grande do Sul"
"92","Muçum",8,"2016","Junho","Todas","Rio Grande do Sul"
"93","Nonoai",16,"2016","Junho","Todas","Rio Grande do Sul"
"94","Nova Bassano",6,"2016","Junho","Todas","Rio Grande do Sul"
"95","Nova Bréscia",6,"2016","Junho","Todas","Rio Grande do Sul"
"96","Nova Palma",4,"2016","Junho","Todas","Rio Grande do Sul"
"97","Nova Petropolis",16,"2016","Junho","Todas","Rio Grande do Sul"
"98","Nova Prata",1,"2016","Junho","Todas","Rio Grande do Sul"
"99","Nova Roma do Sul",4,"2016","Junho","Todas","Rio Grande do Sul"
"100","Nova Santa Rita",10,"2016","Junho","Todas","Rio Grande do Sul"
"101","Novo Hamburgo",195,"2016","Junho","Todas","Rio Grande do Sul"
"102","Não-Me-Toque",4,"2016","Junho","Todas","Rio Grande do Sul"
"103","Osorio",25,"2016","Junho","Todas","Rio Grande do Sul"
"104","Paim Filho",3,"2016","Junho","Todas","Rio Grande do Sul"
"105","Palmares do Sul",16,"2016","Junho","Todas","Rio Grande do Sul"
"106","Palmeira das Missões",26,"2016","Junho","Todas","Rio Grande do Sul"
"107","Palmitinho",6,"2016","Junho","Todas","Rio Grande do Sul"
"108","Panambi",21,"2016","Junho","Todas","Rio Grande do Sul"
"109","Paraí",2,"2016","Junho","Todas","Rio Grande do Sul"
"110","Parobé",19,"2016","Junho","Todas","Rio Grande do Sul"
"111","Passo Fundo",16,"2016","Junho","Todas","Rio Grande do Sul"
"112","Ilópolis",3,"2016","Junho","Todas","Rio Grande do Sul"
"113","Imigrante",1,"2016","Junho","Todas","Rio Grande do Sul"
"114","Independência",2,"2016","Junho","Todas","Rio Grande do Sul"
"115","Ipê",2,"2016","Junho","Todas","Rio Grande do Sul"
"116","Itaqui",19,"2016","Junho","Todas","Rio Grande do Sul"
"117","Itatiba do Sul",2,"2016","Junho","Todas","Rio Grande do Sul"
"118","Ivoti",11,"2016","Junho","Todas","Rio Grande do Sul"
"119","Jaguarão",21,"2016","Junho","Todas","Rio Grande do Sul"
"120","Lagoa Vermelha",23,"2016","Junho","Todas","Rio Grande do Sul"
"121","Lajeado",6,"2016","Junho","Todas","Rio Grande do Sul"
"122","Lavras do Sul",5,"2016","Junho","Todas","Rio Grande do Sul"
"123","Liberato Salzano",1,"2016","Junho","Todas","Rio Grande do Sul"
"124","Maquiné",4,"2016","Junho","Todas","Rio Grande do Sul"
"125","Marau",17,"2016","Junho","Todas","Rio Grande do Sul"
"126","Mariano Moro",2,"2016","Junho","Todas","Rio Grande do Sul"
"127","Marques de Souza",7,"2016","Junho","Todas","Rio Grande do Sul"
"128","Maximiliano de Almeida",3,"2016","Junho","Todas","Rio Grande do Sul"
"129","Minas do Leão",4,"2016","Junho","Todas","Rio Grande do Sul"
"130","Montauri",1,"2016","Junho","Todas","Rio Grande do Sul"
"131","Montenegro",69,"2016","Junho","Todas","Rio Grande do Sul"
"132","Formigueiro",9,"2016","Junho","Todas","Rio Grande do Sul"
"133","Frederico Westphalen",28,"2016","Junho","Todas","Rio Grande do Sul"
"134","Garibaldi",19,"2016","Junho","Todas","Rio Grande do Sul"
"135","Gaurama",6,"2016","Junho","Todas","Rio Grande do Sul"
"136","Getúlio Vargas",9,"2016","Junho","Todas","Rio Grande do Sul"
"137","Giruá",11,"2016","Junho","Todas","Rio Grande do Sul"
"138","Glorinha",2,"2016","Junho","Todas","Rio Grande do Sul"
"139","Gramado",27,"2016","Junho","Todas","Rio Grande do Sul"
"140","Gravatai",137,"2016","Junho","Todas","Rio Grande do Sul"
"141","Guaiba",38,"2016","Junho","Todas","Rio Grande do Sul"
"142","Guaporé",15,"2016","Junho","Todas","Rio Grande do Sul"
"143","Guarani das Missões",10,"2016","Junho","Todas","Rio Grande do Sul"
"144","Herval",6,"2016","Junho","Todas","Rio Grande do Sul"
"145","Humaitá",5,"2016","Junho","Todas","Rio Grande do Sul"
"146","Ibiaçá",3,"2016","Junho","Todas","Rio Grande do Sul"
"147","Ibiraiaras",2,"2016","Junho","Todas","Rio Grande do Sul"
"148","Ibirapuitã",1,"2016","Junho","Todas","Rio Grande do Sul"
"149","Ibirubá",19,"2016","Junho","Todas","Rio Grande do Sul"
"150","Igrejinha",2,"2016","Junho","Todas","Rio Grande do Sul"
"151","Ijui",107,"2016","Junho","Todas","Rio Grande do Sul"
"152","Cruz Alta",2,"2016","Junho","Todas","Rio Grande do Sul"
"153","Cruzeiro do Sul",8,"2016","Junho","Todas","Rio Grande do Sul"
"154","Cândido Godói",6,"2016","Junho","Todas","Rio Grande do Sul"
"155","Dilermando de Aguiar",1,"2016","Junho","Todas","Rio Grande do Sul"
"156","Dois Irmãos",15,"2016","Junho","Todas","Rio Grande do Sul"
"157","Dois Lajeados",1,"2016","Junho","Todas","Rio Grande do Sul"
"158","Dom Feliciano",8,"2016","Junho","Todas","Rio Grande do Sul"
"159","Dom Pedrito",40,"2016","Junho","Todas","Rio Grande do Sul"
"160","Dona Francisca",1,"2016","Junho","Todas","Rio Grande do Sul"
"161","Doutor Maurício Cardoso",3,"2016","Junho","Todas","Rio Grande do Sul"
"162","Eldorado do Sul",4,"2016","Junho","Todas","Rio Grande do Sul"
"163","Encantado",16,"2016","Junho","Todas","Rio Grande do Sul"
"164","Encruzilhada do Sul",24,"2016","Junho","Todas","Rio Grande do Sul"
"165","Erechim",14,"2016","Junho","Todas","Rio Grande do Sul"
"166","Erval Seco",7,"2016","Junho","Todas","Rio Grande do Sul"
"167","Esmeralda",2,"2016","Junho","Todas","Rio Grande do Sul"
"168","Espumoso",1,"2016","Junho","Todas","Rio Grande do Sul"
"169","Estancia Velha",33,"2016","Junho","Todas","Rio Grande do Sul"
"170","Esteio",45,"2016","Junho","Todas","Rio Grande do Sul"
"171","Farroupilha",30,"2016","Junho","Todas","Rio Grande do Sul"
"172","Candiota",4,"2016","Junho","Todas","Rio Grande do Sul"
"173","Canela",19,"2016","Junho","Todas","Rio Grande do Sul"
"174","Canguçu",51,"2016","Junho","Todas","Rio Grande do Sul"
"175","Canoas",23,"2016","Junho","Todas","Rio Grande do Sul"
"176","Capao do Leao",5,"2016","Junho","Todas","Rio Grande do Sul"
"177","Capão da Canoa",53,"2016","Junho","Todas","Rio Grande do Sul"
"178","Carazinho",68,"2016","Junho","Todas","Rio Grande do Sul"
"179","Carlos Barbosa",21,"2016","Junho","Todas","Rio Grande do Sul"
"180","Caxias do Sul",48,"2016","Junho","Todas","Rio Grande do Sul"
"181","Caçapava do Sul",19,"2016","Junho","Todas","Rio Grande do Sul"
"182","Chapada",10,"2016","Junho","Todas","Rio Grande do Sul"
"183","Charqueadas",12,"2016","Junho","Todas","Rio Grande do Sul"
"184","Chiapetta",1,"2016","Junho","Todas","Rio Grande do Sul"
