"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xavantina",3,"2016","Junho","Todas","Santa Catarina"
"2","Xaxim",12,"2016","Junho","Todas","Santa Catarina"
"3","Água Doce",2,"2016","Junho","Todas","Santa Catarina"
"4","Águas Mornas",1,"2016","Junho","Todas","Santa Catarina"
"5","Águas de Chapecó",3,"2016","Junho","Todas","Santa Catarina"
"6","São Pedro de Alcântara",3,"2016","Junho","Todas","Santa Catarina"
"7","Taió",11,"2016","Junho","Todas","Santa Catarina"
"8","Tijucas",13,"2016","Junho","Todas","Santa Catarina"
"9","Timbo",23,"2016","Junho","Todas","Santa Catarina"
"10","Timbé do Sul",1,"2016","Junho","Todas","Santa Catarina"
"11","Treze Tilias",4,"2016","Junho","Todas","Santa Catarina"
"12","Treze de Maio",1,"2016","Junho","Todas","Santa Catarina"
"13","Trombudo Central",7,"2016","Junho","Todas","Santa Catarina"
"14","Três Barras",8,"2016","Junho","Todas","Santa Catarina"
"15","Tubarao",119,"2016","Junho","Todas","Santa Catarina"
"16","Tunápolis",4,"2016","Junho","Todas","Santa Catarina"
"17","Turvo",7,"2016","Junho","Todas","Santa Catarina"
"18","Urubici",2,"2016","Junho","Todas","Santa Catarina"
"19","Urussanga",19,"2016","Junho","Todas","Santa Catarina"
"20","Vargem Bonita",1,"2016","Junho","Todas","Santa Catarina"
"21","Vidal Ramos",2,"2016","Junho","Todas","Santa Catarina"
"22","Videira",41,"2016","Junho","Todas","Santa Catarina"
"23","Vitor Meireles",6,"2016","Junho","Todas","Santa Catarina"
"24","Witmarsum",4,"2016","Junho","Todas","Santa Catarina"
"25","Xanxere",42,"2016","Junho","Todas","Santa Catarina"
"26","Santa Rosa de Lima",1,"2016","Junho","Todas","Santa Catarina"
"27","Santa Rosa do Sul",2,"2016","Junho","Todas","Santa Catarina"
"28","Santa Terezinha",1,"2016","Junho","Todas","Santa Catarina"
"29","Santo Amaro da Imperatriz",11,"2016","Junho","Todas","Santa Catarina"
"30","Sao Jose do Cerrito",4,"2016","Junho","Todas","Santa Catarina"
"31","Schroeder",2,"2016","Junho","Todas","Santa Catarina"
"32","Seara",4,"2016","Junho","Todas","Santa Catarina"
"33","Sul Brasil",3,"2016","Junho","Todas","Santa Catarina"
"34","São Carlos",5,"2016","Junho","Todas","Santa Catarina"
"35","São Cristovão do Sul",1,"2016","Junho","Todas","Santa Catarina"
"36","São Domingos",2,"2016","Junho","Todas","Santa Catarina"
"37","São Francisco do Sul",19,"2016","Junho","Todas","Santa Catarina"
"38","São Joaquim",6,"2016","Junho","Todas","Santa Catarina"
"39","São José",119,"2016","Junho","Todas","Santa Catarina"
"40","São José do Cedro",11,"2016","Junho","Todas","Santa Catarina"
"41","São João Batista",10,"2016","Junho","Todas","Santa Catarina"
"42","São João do Oeste",3,"2016","Junho","Todas","Santa Catarina"
"43","São João do Sul",1,"2016","Junho","Todas","Santa Catarina"
"44","São Lourenço do Oeste",9,"2016","Junho","Todas","Santa Catarina"
"45","São Miguel do Oeste",45,"2016","Junho","Todas","Santa Catarina"
"46","Ponte Alta",3,"2016","Junho","Todas","Santa Catarina"
"47","Porto Belo",3,"2016","Junho","Todas","Santa Catarina"
"48","Pouso Redondo",4,"2016","Junho","Todas","Santa Catarina"
"49","Praia Grande",7,"2016","Junho","Todas","Santa Catarina"
"50","Presidente Getúlio",11,"2016","Junho","Todas","Santa Catarina"
"51","Quilombo",10,"2016","Junho","Todas","Santa Catarina"
"52","Rancho Queimado",1,"2016","Junho","Todas","Santa Catarina"
"53","Rio Fortuna",5,"2016","Junho","Todas","Santa Catarina"
"54","Rio Negrinho",20,"2016","Junho","Todas","Santa Catarina"
"55","Rio das Antas",3,"2016","Junho","Todas","Santa Catarina"
"56","Rio do Campo",9,"2016","Junho","Todas","Santa Catarina"
