"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tremedal",4,"2016","Maio","Todas","Bahia"
"2","Ubaitaba",8,"2016","Maio","Todas","Bahia"
"3","Urandi",8,"2016","Maio","Todas","Bahia"
"4","Uruçuca",5,"2016","Maio","Todas","Bahia"
"5","Vera Cruz",10,"2016","Maio","Todas","Bahia"
"6","Xique-Xique",24,"2016","Maio","Todas","Bahia"
"7","Remanso",11,"2016","Maio","Todas","Bahia"
"8","Riachão do Jacuípe",16,"2016","Maio","Todas","Bahia"
"9","Rio do Antônio",5,"2016","Maio","Todas","Bahia"
"10","Ruy Barbosa",22,"2016","Maio","Todas","Bahia"
"11","Salvador",427,"2016","Maio","Todas","Bahia"
"12","Santa Bárbara",9,"2016","Maio","Todas","Bahia"
"13","Santa Cruz Cabrália",7,"2016","Maio","Todas","Bahia"
"14","Santa Rita de Cássia",16,"2016","Maio","Todas","Bahia"
"15","Santana",1,"2016","Maio","Todas","Bahia"
"16","Santo Amaro",6,"2016","Maio","Todas","Bahia"
"17","Santo Estêvão",28,"2016","Maio","Todas","Bahia"
"18","Sapeaçu",1,"2016","Maio","Todas","Bahia"
"19","Saúde",3,"2016","Maio","Todas","Bahia"
"20","Sebastião Laranjeiras",3,"2016","Maio","Todas","Bahia"
"21","Serrinha",2,"2016","Maio","Todas","Bahia"
"22","São Felipe",6,"2016","Maio","Todas","Bahia"
"23","São Félix",18,"2016","Maio","Todas","Bahia"
"24","Teixeira de Freitas",95,"2016","Maio","Todas","Bahia"
"25","Teodoro Sampaio",5,"2016","Maio","Todas","Bahia"
"26","Terra Nova",4,"2016","Maio","Todas","Bahia"
"27","Maragogipe",17,"2016","Maio","Todas","Bahia"
"28","Monte Santo",23,"2016","Maio","Todas","Bahia"
"29","Morpará",5,"2016","Maio","Todas","Bahia"
"30","Mucuri",10,"2016","Maio","Todas","Bahia"
"31","Muritiba",3,"2016","Maio","Todas","Bahia"
"32","Nazaré",5,"2016","Maio","Todas","Bahia"
"33","Nova Itarana",3,"2016","Maio","Todas","Bahia"
"34","Nova Viçosa",1,"2016","Maio","Todas","Bahia"
"35","Paripiranga",8,"2016","Maio","Todas","Bahia"
"36","Paulo Afonso",3,"2016","Maio","Todas","Bahia"
"37","Pindobaçu",6,"2016","Maio","Todas","Bahia"
"38","Piripá",4,"2016","Maio","Todas","Bahia"
"39","Piritiba",13,"2016","Maio","Todas","Bahia"
"40","Pojuca",6,"2016","Maio","Todas","Bahia"
"41","Porto Seguro",50,"2016","Maio","Todas","Bahia"
"42","Poções",25,"2016","Maio","Todas","Bahia"
"43","Prado",11,"2016","Maio","Todas","Bahia"
"44","Presidente Tancredo Neves",3,"2016","Maio","Todas","Bahia"
"45","Pé de Serra",3,"2016","Maio","Todas","Bahia"
"46","Rafael Jambeiro",5,"2016","Maio","Todas","Bahia"
"47","Ibotirama",17,"2016","Maio","Todas","Bahia"
"48","Ichu",2,"2016","Maio","Todas","Bahia"
"49","Ilheus",123,"2016","Maio","Todas","Bahia"
"50","Irará",19,"2016","Maio","Todas","Bahia"
"51","Itaberaba",27,"2016","Maio","Todas","Bahia"
"52","Itabuna",98,"2016","Maio","Todas","Bahia"
"53","Itagimirim",4,"2016","Maio","Todas","Bahia"
"54","Itamaraju",31,"2016","Maio","Todas","Bahia"
"55","Itaparica",3,"2016","Maio","Todas","Bahia"
"56","Itapetinga",56,"2016","Maio","Todas","Bahia"
"57","Itapé",8,"2016","Maio","Todas","Bahia"
"58","Itatim",6,"2016","Maio","Todas","Bahia"
"59","Itororó",6,"2016","Maio","Todas","Bahia"
"60","Jacobina",27,"2016","Maio","Todas","Bahia"
"61","Jaguaripe",1,"2016","Maio","Todas","Bahia"
"62","Juazeiro",39,"2016","Maio","Todas","Bahia"
"63","Jussiape",1,"2016","Maio","Todas","Bahia"
"64","Livramento de Nossa Senhora",23,"2016","Maio","Todas","Bahia"
"65","Luís Eduardo Magalhães",11,"2016","Maio","Todas","Bahia"
"66","Maracás",6,"2016","Maio","Todas","Bahia"
"67","Campo Formoso",28,"2016","Maio","Todas","Bahia"
"68","Canarana",6,"2016","Maio","Todas","Bahia"
"69","Candeias",41,"2016","Maio","Todas","Bahia"
"70","Casa Nova",18,"2016","Maio","Todas","Bahia"
"71","Cipó",9,"2016","Maio","Todas","Bahia"
"72","Coaraci",13,"2016","Maio","Todas","Bahia"
"73","Conceição do Jacuípe",15,"2016","Maio","Todas","Bahia"
"74","Coração de Maria",3,"2016","Maio","Todas","Bahia"
"75","Cruz das Almas",35,"2016","Maio","Todas","Bahia"
"76","Cícero Dantas",14,"2016","Maio","Todas","Bahia"
"77","Dias D'Ávila",14,"2016","Maio","Todas","Bahia"
"78","Dom Macedo Costa",3,"2016","Maio","Todas","Bahia"
"79","Esplanada",13,"2016","Maio","Todas","Bahia"
"80","Euclides da Cunha",20,"2016","Maio","Todas","Bahia"
"81","Eunapolis",71,"2016","Maio","Todas","Bahia"
"82","Feira de Santana",383,"2016","Maio","Todas","Bahia"
"83","Formosa do Rio Preto",4,"2016","Maio","Todas","Bahia"
"84","Guanambi",47,"2016","Maio","Todas","Bahia"
"85","Iaçu",7,"2016","Maio","Todas","Bahia"
"86","Ibicaraí",19,"2016","Maio","Todas","Bahia"
"87","Alagoinhas",63,"2016","Maio","Todas","Bahia"
"88","Almadina",3,"2016","Maio","Todas","Bahia"
"89","Amargosa",1,"2016","Maio","Todas","Bahia"
"90","Amelia Rodrigues",5,"2016","Maio","Todas","Bahia"
"91","Anguera",5,"2016","Maio","Todas","Bahia"
"92","Antas",14,"2016","Maio","Todas","Bahia"
"93","Antônio Gonçalves",1,"2016","Maio","Todas","Bahia"
"94","Aramari",2,"2016","Maio","Todas","Bahia"
"95","Barra",19,"2016","Maio","Todas","Bahia"
"96","Barra da Estiva",14,"2016","Maio","Todas","Bahia"
"97","Barreiras",91,"2016","Maio","Todas","Bahia"
"98","Barro Preto",4,"2016","Maio","Todas","Bahia"
"99","Belmonte",10,"2016","Maio","Todas","Bahia"
"100","Bom Jesus da Lapa",27,"2016","Maio","Todas","Bahia"
"101","Buritirama",4,"2016","Maio","Todas","Bahia"
"102","Caculé",15,"2016","Maio","Todas","Bahia"
"103","Caetité",23,"2016","Maio","Todas","Bahia"
"104","Caldeirão Grande",5,"2016","Maio","Todas","Bahia"
"105","Camamu",15,"2016","Maio","Todas","Bahia"
"106","Camaçari",75,"2016","Maio","Todas","Bahia"
