"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",186,"2016","Maio","Todas","Distrito Federal"
"2","Brazlândia",25,"2016","Maio","Todas","Distrito Federal"
"3","Ceilandia",110,"2016","Maio","Todas","Distrito Federal"
"4","Gama",161,"2016","Maio","Todas","Distrito Federal"
"5","Guará",211,"2016","Maio","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",227,"2016","Maio","Todas","Distrito Federal"
"7","Paranoá",45,"2016","Maio","Todas","Distrito Federal"
"8","Planaltina",36,"2016","Maio","Todas","Distrito Federal"
"9","Samambaia",38,"2016","Maio","Todas","Distrito Federal"
"10","Sobradinho",42,"2016","Maio","Todas","Distrito Federal"
"11","Taguatinga",118,"2016","Maio","Todas","Distrito Federal"
