"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Domingos do Araguaia",7,"2016","Maio","Todas","Pará"
"2","São Domingos do Capim",4,"2016","Maio","Todas","Pará"
"3","São Félix do Xingu",10,"2016","Maio","Todas","Pará"
"4","São Geraldo do Araguaia",7,"2016","Maio","Todas","Pará"
"5","Tucumã",10,"2016","Maio","Todas","Pará"
"6","Uruará",10,"2016","Maio","Todas","Pará"
"7","Vigia",9,"2016","Maio","Todas","Pará"
"8","Xinguara",10,"2016","Maio","Todas","Pará"
"9","Abaetetuba",2,"2016","Maio","Todas","Pará"
"10","Altamira",63,"2016","Maio","Todas","Pará"
"11","Barcarena",5,"2016","Maio","Todas","Pará"
"12","Belém",615,"2016","Maio","Todas","Pará"
"13","Brejo Grande do Araguaia",7,"2016","Maio","Todas","Pará"
"14","Canaã dos Carajás",9,"2016","Maio","Todas","Pará"
"15","Capitão Poço",20,"2016","Maio","Todas","Pará"
"16","Dom Eliseu",16,"2016","Maio","Todas","Pará"
"17","Igarapé-Miri",3,"2016","Maio","Todas","Pará"
"18","Ipixuna do Para",2,"2016","Maio","Todas","Pará"
"19","Marituba",11,"2016","Maio","Todas","Pará"
"20","Monte Alegre",17,"2016","Maio","Todas","Pará"
"21","Novo Progresso",3,"2016","Maio","Todas","Pará"
"22","Novo Repartimento",16,"2016","Maio","Todas","Pará"
"23","Pacajá",14,"2016","Maio","Todas","Pará"
"24","Paragominas",42,"2016","Maio","Todas","Pará"
"25","Parauapebas",31,"2016","Maio","Todas","Pará"
"26","Rio Maria",1,"2016","Maio","Todas","Pará"
"27","Rondon do Pará",13,"2016","Maio","Todas","Pará"
"28","Santarem",194,"2016","Maio","Todas","Pará"
