"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ribeirópolis",7,"2016","Maio","Todas","Sergipe"
"2","Rosario do Catete",2,"2016","Maio","Todas","Sergipe"
"3","Salgado",6,"2016","Maio","Todas","Sergipe"
"4","Santa Luzia do Itanhy",4,"2016","Maio","Todas","Sergipe"
"5","Santana do São Francisco",1,"2016","Maio","Todas","Sergipe"
"6","Simão Dias",6,"2016","Maio","Todas","Sergipe"
"7","Siriri",3,"2016","Maio","Todas","Sergipe"
"8","São Cristóvão",21,"2016","Maio","Todas","Sergipe"
"9","São Domingos",5,"2016","Maio","Todas","Sergipe"
"10","Tobias Barreto",16,"2016","Maio","Todas","Sergipe"
"11","Umbaúba",6,"2016","Maio","Todas","Sergipe"
"12","Japaratuba",3,"2016","Maio","Todas","Sergipe"
"13","Japoatã",6,"2016","Maio","Todas","Sergipe"
"14","Lagarto",67,"2016","Maio","Todas","Sergipe"
"15","Laranjeiras",7,"2016","Maio","Todas","Sergipe"
"16","Macambira",3,"2016","Maio","Todas","Sergipe"
"17","Malhador",2,"2016","Maio","Todas","Sergipe"
"18","Maruim",2,"2016","Maio","Todas","Sergipe"
"19","Monte Alegre de Sergipe",3,"2016","Maio","Todas","Sergipe"
"20","Neópolis",6,"2016","Maio","Todas","Sergipe"
"21","Nossa Senhora Aparecida",5,"2016","Maio","Todas","Sergipe"
"22","Nossa Senhora da Glória",27,"2016","Maio","Todas","Sergipe"
"23","Nossa Senhora das Dores",6,"2016","Maio","Todas","Sergipe"
"24","Nossa Senhora do Socorro",55,"2016","Maio","Todas","Sergipe"
"25","Pedra Mole",1,"2016","Maio","Todas","Sergipe"
"26","Pinhão",1,"2016","Maio","Todas","Sergipe"
"27","Pirambu",3,"2016","Maio","Todas","Sergipe"
"28","Porto da Folha",5,"2016","Maio","Todas","Sergipe"
"29","Poço Redondo",3,"2016","Maio","Todas","Sergipe"
"30","Propriá",27,"2016","Maio","Todas","Sergipe"
"31","Riachão do Dantas",4,"2016","Maio","Todas","Sergipe"
"32","Aquidabã",9,"2016","Maio","Todas","Sergipe"
"33","Aracaju",213,"2016","Maio","Todas","Sergipe"
"34","Arauá",2,"2016","Maio","Todas","Sergipe"
"35","Areia Branca",6,"2016","Maio","Todas","Sergipe"
"36","Boquim",13,"2016","Maio","Todas","Sergipe"
"37","Brejo Grande",3,"2016","Maio","Todas","Sergipe"
"38","Capela",6,"2016","Maio","Todas","Sergipe"
"39","Carira",11,"2016","Maio","Todas","Sergipe"
"40","Carmopolis",1,"2016","Maio","Todas","Sergipe"
"41","Cedro de São João",1,"2016","Maio","Todas","Sergipe"
"42","Cumbe",1,"2016","Maio","Todas","Sergipe"
"43","Estância",50,"2016","Maio","Todas","Sergipe"
"44","Feira Nova",2,"2016","Maio","Todas","Sergipe"
"45","Frei Paulo",9,"2016","Maio","Todas","Sergipe"
"46","Gararu",2,"2016","Maio","Todas","Sergipe"
"47","Graccho Cardoso",1,"2016","Maio","Todas","Sergipe"
"48","Indiaroba",5,"2016","Maio","Todas","Sergipe"
"49","Itabaiana",64,"2016","Maio","Todas","Sergipe"
"50","Itabaianinha",12,"2016","Maio","Todas","Sergipe"
"51","Itaporanga D'ajuda",6,"2016","Maio","Todas","Sergipe"
