"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Viana",13,"2016","Março","Todas","Espírito Santo"
"2","Vila Pavão",1,"2016","Março","Todas","Espírito Santo"
"3","Vila Valério",5,"2016","Março","Todas","Espírito Santo"
"4","Vila Velha",264,"2016","Março","Todas","Espírito Santo"
"5","Vitória",380,"2016","Março","Todas","Espírito Santo"
"6","Água Doce do Norte",4,"2016","Março","Todas","Espírito Santo"
"7","Águia Branca",2,"2016","Março","Todas","Espírito Santo"
"8","Montanha",6,"2016","Março","Todas","Espírito Santo"
"9","Muniz Freire",7,"2016","Março","Todas","Espírito Santo"
"10","Nova Venécia",21,"2016","Março","Todas","Espírito Santo"
"11","Pancas",13,"2016","Março","Todas","Espírito Santo"
"12","Pedro Canário",7,"2016","Março","Todas","Espírito Santo"
"13","Pinheiros",6,"2016","Março","Todas","Espírito Santo"
"14","Piuma",5,"2016","Março","Todas","Espírito Santo"
"15","Rio Bananal",5,"2016","Março","Todas","Espírito Santo"
"16","Rio Novo do Sul",2,"2016","Março","Todas","Espírito Santo"
"17","Santa Leopoldina",8,"2016","Março","Todas","Espírito Santo"
"18","Santa Maria de Jetiba",12,"2016","Março","Todas","Espírito Santo"
"19","Santa Teresa",12,"2016","Março","Todas","Espírito Santo"
"20","Serra",244,"2016","Março","Todas","Espírito Santo"
"21","Sooretama",7,"2016","Março","Todas","Espírito Santo"
"22","São Domingos do Norte",1,"2016","Março","Todas","Espírito Santo"
"23","São Gabriel da Palha",5,"2016","Março","Todas","Espírito Santo"
"24","São Mateus",96,"2016","Março","Todas","Espírito Santo"
"25","São Roque do Canaã",4,"2016","Março","Todas","Espírito Santo"
"26","Vargem Alta",9,"2016","Março","Todas","Espírito Santo"
"27","Venda Nova do Imigrante",11,"2016","Março","Todas","Espírito Santo"
"28","Guarapari",27,"2016","Março","Todas","Espírito Santo"
"29","Guaçuí",33,"2016","Março","Todas","Espírito Santo"
"30","Ibatiba",10,"2016","Março","Todas","Espírito Santo"
"31","Ibiraçu",3,"2016","Março","Todas","Espírito Santo"
"32","Ibitirama",2,"2016","Março","Todas","Espírito Santo"
"33","Iconha",5,"2016","Março","Todas","Espírito Santo"
"34","Irupi",6,"2016","Março","Todas","Espírito Santo"
"35","Itaguaçu",8,"2016","Março","Todas","Espírito Santo"
"36","Itapemirim",21,"2016","Março","Todas","Espírito Santo"
"37","Itarana",4,"2016","Março","Todas","Espírito Santo"
"38","Iúna",15,"2016","Março","Todas","Espírito Santo"
"39","Jaguaré",2,"2016","Março","Todas","Espírito Santo"
"40","Jerônimo Monteiro",3,"2016","Março","Todas","Espírito Santo"
"41","João Neiva",4,"2016","Março","Todas","Espírito Santo"
"42","Laranja da Terra",6,"2016","Março","Todas","Espírito Santo"
"43","Linhares",80,"2016","Março","Todas","Espírito Santo"
"44","Mantenópolis",2,"2016","Março","Todas","Espírito Santo"
"45","Marataízes",4,"2016","Março","Todas","Espírito Santo"
"46","Marilândia",4,"2016","Março","Todas","Espírito Santo"
"47","Mimoso do Sul",9,"2016","Março","Todas","Espírito Santo"
"48","Afonso Claudio",12,"2016","Março","Todas","Espírito Santo"
"49","Alegre",17,"2016","Março","Todas","Espírito Santo"
"50","Alfredo Chaves",3,"2016","Março","Todas","Espírito Santo"
"51","Anchieta",8,"2016","Março","Todas","Espírito Santo"
"52","Apiacá",3,"2016","Março","Todas","Espírito Santo"
"53","Aracruz",27,"2016","Março","Todas","Espírito Santo"
"54","Atilio Vivacqua",3,"2016","Março","Todas","Espírito Santo"
"55","Baixo Guandu",13,"2016","Março","Todas","Espírito Santo"
"56","Barra de São Francisco",36,"2016","Março","Todas","Espírito Santo"
"57","Boa Esperança",2,"2016","Março","Todas","Espírito Santo"
"58","Cachoeiro de Itapemirim",177,"2016","Março","Todas","Espírito Santo"
"59","Cariacica",94,"2016","Março","Todas","Espírito Santo"
"60","Castelo",13,"2016","Março","Todas","Espírito Santo"
"61","Colatina",121,"2016","Março","Todas","Espírito Santo"
"62","Conceição da Barra",8,"2016","Março","Todas","Espírito Santo"
"63","Conceição do Castelo",4,"2016","Março","Todas","Espírito Santo"
"64","Domingos Martins",18,"2016","Março","Todas","Espírito Santo"
"65","Ecoporanga",8,"2016","Março","Todas","Espírito Santo"
"66","Fundão",5,"2016","Março","Todas","Espírito Santo"
"67","Governador Lindenberg",3,"2016","Março","Todas","Espírito Santo"
