"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Naviraí",15,"2016","Março","Todas","Mato Grosso do Sul"
"2","Nioaque",2,"2016","Março","Todas","Mato Grosso do Sul"
"3","Nova Alvorada do Sul",6,"2016","Março","Todas","Mato Grosso do Sul"
"4","Novo Horizonte do Sul",1,"2016","Março","Todas","Mato Grosso do Sul"
"5","Paraíso das Águas",1,"2016","Março","Todas","Mato Grosso do Sul"
"6","Ponta Porã",26,"2016","Março","Todas","Mato Grosso do Sul"
"7","Rio Brilhante",13,"2016","Março","Todas","Mato Grosso do Sul"
"8","Rio Negro",1,"2016","Março","Todas","Mato Grosso do Sul"
"9","Rio Verde de Mato Grosso",1,"2016","Março","Todas","Mato Grosso do Sul"
"10","Rochedo",1,"2016","Março","Todas","Mato Grosso do Sul"
"11","Santa Rita do Pardo",1,"2016","Março","Todas","Mato Grosso do Sul"
"12","Sidrolândia",18,"2016","Março","Todas","Mato Grosso do Sul"
"13","Sonora",2,"2016","Março","Todas","Mato Grosso do Sul"
"14","São Gabriel do Oeste",3,"2016","Março","Todas","Mato Grosso do Sul"
"15","Terenos",6,"2016","Março","Todas","Mato Grosso do Sul"
"16","Três Lagoas",51,"2016","Março","Todas","Mato Grosso do Sul"
"17","Água Clara",1,"2016","Março","Todas","Mato Grosso do Sul"
"18","Coronel Sapucaia",11,"2016","Março","Todas","Mato Grosso do Sul"
"19","Corumba",35,"2016","Março","Todas","Mato Grosso do Sul"
"20","Costa Rica",8,"2016","Março","Todas","Mato Grosso do Sul"
"21","Coxim",6,"2016","Março","Todas","Mato Grosso do Sul"
"22","Deodápolis",7,"2016","Março","Todas","Mato Grosso do Sul"
"23","Dois Irmãos do Buriti",3,"2016","Março","Todas","Mato Grosso do Sul"
"24","Douradina",1,"2016","Março","Todas","Mato Grosso do Sul"
"25","Dourados",213,"2016","Março","Todas","Mato Grosso do Sul"
"26","Eldorado",2,"2016","Março","Todas","Mato Grosso do Sul"
"27","Figueirão",2,"2016","Março","Todas","Mato Grosso do Sul"
"28","Glória de Dourados",3,"2016","Março","Todas","Mato Grosso do Sul"
"29","Guia Lopes da Laguna",3,"2016","Março","Todas","Mato Grosso do Sul"
"30","Itaporã",2,"2016","Março","Todas","Mato Grosso do Sul"
"31","Itaquiraí",7,"2016","Março","Todas","Mato Grosso do Sul"
"32","Japorã",2,"2016","Março","Todas","Mato Grosso do Sul"
"33","Jardim",8,"2016","Março","Todas","Mato Grosso do Sul"
"34","Juti",2,"2016","Março","Todas","Mato Grosso do Sul"
"35","Ladario",3,"2016","Março","Todas","Mato Grosso do Sul"
"36","Laguna Carapã",5,"2016","Março","Todas","Mato Grosso do Sul"
"37","Mundo Novo",7,"2016","Março","Todas","Mato Grosso do Sul"
"38","Amambaí",12,"2016","Março","Todas","Mato Grosso do Sul"
"39","Anastácio",4,"2016","Março","Todas","Mato Grosso do Sul"
"40","Anaurilândia",5,"2016","Março","Todas","Mato Grosso do Sul"
"41","Angélica",1,"2016","Março","Todas","Mato Grosso do Sul"
"42","Antônio João",1,"2016","Março","Todas","Mato Grosso do Sul"
"43","Aparecida do Taboado",11,"2016","Março","Todas","Mato Grosso do Sul"
"44","Aquidauana",15,"2016","Março","Todas","Mato Grosso do Sul"
"45","Aral Moreira",7,"2016","Março","Todas","Mato Grosso do Sul"
"46","Bandeirantes",3,"2016","Março","Todas","Mato Grosso do Sul"
"47","Bataguassu",6,"2016","Março","Todas","Mato Grosso do Sul"
"48","Batayporã",9,"2016","Março","Todas","Mato Grosso do Sul"
"49","Bela Vista",10,"2016","Março","Todas","Mato Grosso do Sul"
"50","Bodoquena",3,"2016","Março","Todas","Mato Grosso do Sul"
"51","Bonito",6,"2016","Março","Todas","Mato Grosso do Sul"
"52","Brasilândia",6,"2016","Março","Todas","Mato Grosso do Sul"
"53","Caarapo",18,"2016","Março","Todas","Mato Grosso do Sul"
"54","Camapuã",4,"2016","Março","Todas","Mato Grosso do Sul"
"55","Campo Grande",577,"2016","Março","Todas","Mato Grosso do Sul"
"56","Chapadão do Sul",4,"2016","Março","Todas","Mato Grosso do Sul"
"57","Corguinho",1,"2016","Março","Todas","Mato Grosso do Sul"
