"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Félix do Xingu",4,"2016","Março","Todas","Pará"
"2","São Geraldo do Araguaia",6,"2016","Março","Todas","Pará"
"3","Tucumã",12,"2016","Março","Todas","Pará"
"4","Uruará",8,"2016","Março","Todas","Pará"
"5","Vigia",18,"2016","Março","Todas","Pará"
"6","Xinguara",6,"2016","Março","Todas","Pará"
"7","Altamira",38,"2016","Março","Todas","Pará"
"8","Aurora do Pará",1,"2016","Março","Todas","Pará"
"9","Barcarena",7,"2016","Março","Todas","Pará"
"10","Belém",700,"2016","Março","Todas","Pará"
"11","Brejo Grande do Araguaia",2,"2016","Março","Todas","Pará"
"12","Canaã dos Carajás",7,"2016","Março","Todas","Pará"
"13","Capitão Poço",11,"2016","Março","Todas","Pará"
"14","Dom Eliseu",5,"2016","Março","Todas","Pará"
"15","Marituba",7,"2016","Março","Todas","Pará"
"16","Monte Alegre",22,"2016","Março","Todas","Pará"
"17","Novo Progresso",3,"2016","Março","Todas","Pará"
"18","Novo Repartimento",15,"2016","Março","Todas","Pará"
"19","Pacajá",13,"2016","Março","Todas","Pará"
"20","Paragominas",41,"2016","Março","Todas","Pará"
"21","Parauapebas",45,"2016","Março","Todas","Pará"
"22","Rio Maria",10,"2016","Março","Todas","Pará"
"23","Rondon do Pará",16,"2016","Março","Todas","Pará"
"24","Santarem",163,"2016","Março","Todas","Pará"
"25","São Domingos do Araguaia",10,"2016","Março","Todas","Pará"
"26","São Domingos do Capim",3,"2016","Março","Todas","Pará"
