"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Três Barras",10,"2016","Março","Todas","Santa Catarina"
"2","Tubarao",94,"2016","Março","Todas","Santa Catarina"
"3","Tunápolis",4,"2016","Março","Todas","Santa Catarina"
"4","Turvo",6,"2016","Março","Todas","Santa Catarina"
"5","Urubici",4,"2016","Março","Todas","Santa Catarina"
"6","Urupema",1,"2016","Março","Todas","Santa Catarina"
"7","Urussanga",3,"2016","Março","Todas","Santa Catarina"
"8","Vargem Bonita",2,"2016","Março","Todas","Santa Catarina"
"9","Vidal Ramos",1,"2016","Março","Todas","Santa Catarina"
"10","Videira",23,"2016","Março","Todas","Santa Catarina"
"11","Xanxere",40,"2016","Março","Todas","Santa Catarina"
"12","Xavantina",1,"2016","Março","Todas","Santa Catarina"
"13","Xaxim",7,"2016","Março","Todas","Santa Catarina"
"14","Água Doce",1,"2016","Março","Todas","Santa Catarina"
"15","Águas Frias",2,"2016","Março","Todas","Santa Catarina"
"16","Águas de Chapecó",2,"2016","Março","Todas","Santa Catarina"
"17","São Joaquim",12,"2016","Março","Todas","Santa Catarina"
"18","São José",97,"2016","Março","Todas","Santa Catarina"
"19","São José do Cedro",8,"2016","Março","Todas","Santa Catarina"
"20","São João Batista",4,"2016","Março","Todas","Santa Catarina"
"21","São João do Itaperiú",1,"2016","Março","Todas","Santa Catarina"
"22","São João do Oeste",3,"2016","Março","Todas","Santa Catarina"
"23","São João do Sul",1,"2016","Março","Todas","Santa Catarina"
"24","São Lourenço do Oeste",13,"2016","Março","Todas","Santa Catarina"
"25","São Ludgero",2,"2016","Março","Todas","Santa Catarina"
"26","São Martinho",1,"2016","Março","Todas","Santa Catarina"
"27","São Miguel do Oeste",36,"2016","Março","Todas","Santa Catarina"
"28","São Pedro de Alcântara",2,"2016","Março","Todas","Santa Catarina"
"29","Taió",6,"2016","Março","Todas","Santa Catarina"
"30","Tijucas",17,"2016","Março","Todas","Santa Catarina"
"31","Timbo",32,"2016","Março","Todas","Santa Catarina"
"32","Timbé do Sul",1,"2016","Março","Todas","Santa Catarina"
"33","Timbó Grande",3,"2016","Março","Todas","Santa Catarina"
"34","Treze Tilias",2,"2016","Março","Todas","Santa Catarina"
"35","Treze de Maio",3,"2016","Março","Todas","Santa Catarina"
"36","Trombudo Central",7,"2016","Março","Todas","Santa Catarina"
"37","Rio Negrinho",19,"2016","Março","Todas","Santa Catarina"
"38","Rio do Campo",6,"2016","Março","Todas","Santa Catarina"
"39","Rio do Oeste",7,"2016","Março","Todas","Santa Catarina"
"40","Rio do Sul",53,"2016","Março","Todas","Santa Catarina"
"41","Rio dos Cedros",3,"2016","Março","Todas","Santa Catarina"
"42","Rodeio",2,"2016","Março","Todas","Santa Catarina"
"43","Romelândia",1,"2016","Março","Todas","Santa Catarina"
"44","Salete",3,"2016","Março","Todas","Santa Catarina"
"45","Santa Cecília",5,"2016","Março","Todas","Santa Catarina"
"46","Santa Rosa de Lima",2,"2016","Março","Todas","Santa Catarina"
"47","Santa Terezinha",1,"2016","Março","Todas","Santa Catarina"
"48","Santo Amaro da Imperatriz",10,"2016","Março","Todas","Santa Catarina"
"49","Sao Jose do Cerrito",4,"2016","Março","Todas","Santa Catarina"
"50","Schroeder",2,"2016","Março","Todas","Santa Catarina"
"51","Seara",2,"2016","Março","Todas","Santa Catarina"
"52","Sul Brasil",1,"2016","Março","Todas","Santa Catarina"
"53","São Carlos",6,"2016","Março","Todas","Santa Catarina"
"54","São Cristovão do Sul",3,"2016","Março","Todas","Santa Catarina"
"55","São Domingos",6,"2016","Março","Todas","Santa Catarina"
"56","São Francisco do Sul",16,"2016","Março","Todas","Santa Catarina"
"57","Palhoça",19,"2016","Março","Todas","Santa Catarina"
"58","Palma Sola",1,"2016","Março","Todas","Santa Catarina"
"59","Palmeira",1,"2016","Março","Todas","Santa Catarina"
"60","Papanduva",6,"2016","Março","Todas","Santa Catarina"
"61","Paraíso",1,"2016","Março","Todas","Santa Catarina"
"62","Passos Maia",2,"2016","Março","Todas","Santa Catarina"
"63","Pedras Grandes",1,"2016","Março","Todas","Santa Catarina"
"64","Penha",8,"2016","Março","Todas","Santa Catarina"
"65","Peritiba",1,"2016","Março","Todas","Santa Catarina"
"66","Petrolândia",2,"2016","Março","Todas","Santa Catarina"
"67","Pinhalzinho",7,"2016","Março","Todas","Santa Catarina"
"68","Piratuba",1,"2016","Março","Todas","Santa Catarina"
"69","Planalto Alegre",2,"2016","Março","Todas","Santa Catarina"
"70","Pomerode",15,"2016","Março","Todas","Santa Catarina"
"71","Ponte Alta",2,"2016","Março","Todas","Santa Catarina"
"72","Porto Belo",6,"2016","Março","Todas","Santa Catarina"
"73","Praia Grande",5,"2016","Março","Todas","Santa Catarina"
"74","Presidente Getúlio",5,"2016","Março","Todas","Santa Catarina"
"75","Quilombo",6,"2016","Março","Todas","Santa Catarina"
"76","Rancho Queimado",2,"2016","Março","Todas","Santa Catarina"
"77","Mafra",40,"2016","Março","Todas","Santa Catarina"
"78","Major Gercino",1,"2016","Março","Todas","Santa Catarina"
"79","Massaranduba",3,"2016","Março","Todas","Santa Catarina"
"80","Matos Costa",2,"2016","Março","Todas","Santa Catarina"
"81","Meleiro",7,"2016","Março","Todas","Santa Catarina"
