"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Riachão do Dantas",4,"2016","Março","Todas","Sergipe"
"2","Ribeirópolis",7,"2016","Março","Todas","Sergipe"
"3","Rosario do Catete",1,"2016","Março","Todas","Sergipe"
"4","Salgado",5,"2016","Março","Todas","Sergipe"
"5","Santa Luzia do Itanhy",4,"2016","Março","Todas","Sergipe"
"6","Santana do São Francisco",3,"2016","Março","Todas","Sergipe"
"7","Simão Dias",14,"2016","Março","Todas","Sergipe"
"8","São Cristóvão",17,"2016","Março","Todas","Sergipe"
"9","São Domingos",7,"2016","Março","Todas","Sergipe"
"10","São Miguel do Aleixo",1,"2016","Março","Todas","Sergipe"
"11","Tobias Barreto",27,"2016","Março","Todas","Sergipe"
"12","Umbaúba",6,"2016","Março","Todas","Sergipe"
"13","Lagarto",65,"2016","Março","Todas","Sergipe"
"14","Laranjeiras",2,"2016","Março","Todas","Sergipe"
"15","Macambira",4,"2016","Março","Todas","Sergipe"
"16","Malhada dos Bois",1,"2016","Março","Todas","Sergipe"
"17","Malhador",4,"2016","Março","Todas","Sergipe"
"18","Maruim",4,"2016","Março","Todas","Sergipe"
"19","Monte Alegre de Sergipe",2,"2016","Março","Todas","Sergipe"
"20","Muribeca",1,"2016","Março","Todas","Sergipe"
"21","Neópolis",8,"2016","Março","Todas","Sergipe"
"22","Nossa Senhora Aparecida",1,"2016","Março","Todas","Sergipe"
"23","Nossa Senhora da Glória",22,"2016","Março","Todas","Sergipe"
"24","Nossa Senhora das Dores",7,"2016","Março","Todas","Sergipe"
"25","Nossa Senhora do Socorro",66,"2016","Março","Todas","Sergipe"
"26","Pedra Mole",1,"2016","Março","Todas","Sergipe"
"27","Pinhão",2,"2016","Março","Todas","Sergipe"
"28","Pirambu",5,"2016","Março","Todas","Sergipe"
"29","Porto da Folha",12,"2016","Março","Todas","Sergipe"
"30","Poço Redondo",9,"2016","Março","Todas","Sergipe"
"31","Poço Verde",14,"2016","Março","Todas","Sergipe"
"32","Propriá",41,"2016","Março","Todas","Sergipe"
"33","Aquidabã",9,"2016","Março","Todas","Sergipe"
"34","Aracaju",561,"2016","Março","Todas","Sergipe"
"35","Arauá",7,"2016","Março","Todas","Sergipe"
"36","Boquim",10,"2016","Março","Todas","Sergipe"
"37","Brejo Grande",5,"2016","Março","Todas","Sergipe"
"38","Capela",8,"2016","Março","Todas","Sergipe"
"39","Carira",10,"2016","Março","Todas","Sergipe"
"40","Carmopolis",2,"2016","Março","Todas","Sergipe"
"41","Cedro de São João",3,"2016","Março","Todas","Sergipe"
"42","Divina Pastora",1,"2016","Março","Todas","Sergipe"
"43","Estância",62,"2016","Março","Todas","Sergipe"
"44","Feira Nova",3,"2016","Março","Todas","Sergipe"
"45","Frei Paulo",9,"2016","Março","Todas","Sergipe"
"46","Ilha das Flores",3,"2016","Março","Todas","Sergipe"
"47","Indiaroba",4,"2016","Março","Todas","Sergipe"
"48","Itabaiana",80,"2016","Março","Todas","Sergipe"
"49","Itabaianinha",16,"2016","Março","Todas","Sergipe"
"50","Itaporanga D'ajuda",12,"2016","Março","Todas","Sergipe"
"51","Japaratuba",8,"2016","Março","Todas","Sergipe"
"52","Japoatã",8,"2016","Março","Todas","Sergipe"
