"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Sebastião",6,"2016","Novembro","Todas","Alagoas"
"2","Teotônio Vilela",8,"2016","Novembro","Todas","Alagoas"
"3","União dos Palmares",1,"2016","Novembro","Todas","Alagoas"
"4","Água Branca",8,"2016","Novembro","Todas","Alagoas"
"5","Maceio",535,"2016","Novembro","Todas","Alagoas"
"6","Maragogi",6,"2016","Novembro","Todas","Alagoas"
"7","Mata Grande",6,"2016","Novembro","Todas","Alagoas"
"8","Matriz de Camaragibe",2,"2016","Novembro","Todas","Alagoas"
"9","Messias",2,"2016","Novembro","Todas","Alagoas"
"10","Olho D'água Grande",1,"2016","Novembro","Todas","Alagoas"
"11","Olho D'água do Casado",3,"2016","Novembro","Todas","Alagoas"
"12","Ouro Branco",4,"2016","Novembro","Todas","Alagoas"
"13","Palmeira dos Índios",40,"2016","Novembro","Todas","Alagoas"
"14","Penedo",32,"2016","Novembro","Todas","Alagoas"
"15","Piaçabuçu",5,"2016","Novembro","Todas","Alagoas"
"16","Piranhas",5,"2016","Novembro","Todas","Alagoas"
"17","Porto Calvo",7,"2016","Novembro","Todas","Alagoas"
"18","Porto Real do Colégio",2,"2016","Novembro","Todas","Alagoas"
"19","Poço das Trincheiras",3,"2016","Novembro","Todas","Alagoas"
"20","Pão de Açúcar",2,"2016","Novembro","Todas","Alagoas"
"21","Santana do Ipanema",26,"2016","Novembro","Todas","Alagoas"
"22","Satuba",2,"2016","Novembro","Todas","Alagoas"
"23","São Brás",2,"2016","Novembro","Todas","Alagoas"
"24","São José da Laje",9,"2016","Novembro","Todas","Alagoas"
"25","Arapiraca",48,"2016","Novembro","Todas","Alagoas"
"26","Atalaia",5,"2016","Novembro","Todas","Alagoas"
"27","Belém",2,"2016","Novembro","Todas","Alagoas"
"28","Boca da Mata",11,"2016","Novembro","Todas","Alagoas"
"29","Branquinha",4,"2016","Novembro","Todas","Alagoas"
"30","Cajueiro",4,"2016","Novembro","Todas","Alagoas"
"31","Campestre",2,"2016","Novembro","Todas","Alagoas"
"32","Campo Grande",4,"2016","Novembro","Todas","Alagoas"
"33","Canapi",8,"2016","Novembro","Todas","Alagoas"
"34","Capela",2,"2016","Novembro","Todas","Alagoas"
"35","Coruripe",2,"2016","Novembro","Todas","Alagoas"
"36","Craíbas",2,"2016","Novembro","Todas","Alagoas"
"37","Feira Grande",9,"2016","Novembro","Todas","Alagoas"
"38","Flexeiras",3,"2016","Novembro","Todas","Alagoas"
"39","Girau do Ponciano",5,"2016","Novembro","Todas","Alagoas"
"40","Ibateguara",9,"2016","Novembro","Todas","Alagoas"
"41","Jequiá da Praia",2,"2016","Novembro","Todas","Alagoas"
"42","Jundiá",3,"2016","Novembro","Todas","Alagoas"
"43","Junqueiro",3,"2016","Novembro","Todas","Alagoas"
"44","Lagoa da Canoa",3,"2016","Novembro","Todas","Alagoas"
