"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",147,"2016","Novembro","Todas","Distrito Federal"
"2","Brazlândia",17,"2016","Novembro","Todas","Distrito Federal"
"3","Ceilandia",108,"2016","Novembro","Todas","Distrito Federal"
"4","Gama",119,"2016","Novembro","Todas","Distrito Federal"
"5","Guará",206,"2016","Novembro","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",205,"2016","Novembro","Todas","Distrito Federal"
"7","Paranoá",53,"2016","Novembro","Todas","Distrito Federal"
"8","Planaltina",34,"2016","Novembro","Todas","Distrito Federal"
"9","Samambaia",28,"2016","Novembro","Todas","Distrito Federal"
"10","Sobradinho",42,"2016","Novembro","Todas","Distrito Federal"
"11","Taguatinga",102,"2016","Novembro","Todas","Distrito Federal"
