"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vertentes",5,"2016","Novembro","Todas","Pernambuco"
"2","Vicência",13,"2016","Novembro","Todas","Pernambuco"
"3","Vitória de Santo Antão",53,"2016","Novembro","Todas","Pernambuco"
"4","Xexéu",1,"2016","Novembro","Todas","Pernambuco"
"5","Água Preta",5,"2016","Novembro","Todas","Pernambuco"
"6","Águas Belas",2,"2016","Novembro","Todas","Pernambuco"
"7","São Joaquim do Monte",11,"2016","Novembro","Todas","Pernambuco"
"8","São José da Coroa Grande",6,"2016","Novembro","Todas","Pernambuco"
"9","São José do Belmonte",12,"2016","Novembro","Todas","Pernambuco"
"10","São José do Egito",13,"2016","Novembro","Todas","Pernambuco"
"11","São João",8,"2016","Novembro","Todas","Pernambuco"
"12","São Lourenço da Mata",57,"2016","Novembro","Todas","Pernambuco"
"13","Tabira",8,"2016","Novembro","Todas","Pernambuco"
"14","Tacaratu",5,"2016","Novembro","Todas","Pernambuco"
"15","Tamandaré",4,"2016","Novembro","Todas","Pernambuco"
"16","Taquaritinga do Norte",14,"2016","Novembro","Todas","Pernambuco"
"17","Terezinha",3,"2016","Novembro","Todas","Pernambuco"
"18","Terra Nova",4,"2016","Novembro","Todas","Pernambuco"
"19","Timbaúba",18,"2016","Novembro","Todas","Pernambuco"
"20","Tracunhaém",6,"2016","Novembro","Todas","Pernambuco"
"21","Triunfo",7,"2016","Novembro","Todas","Pernambuco"
"22","Tupanatinga",7,"2016","Novembro","Todas","Pernambuco"
"23","Tuparetama",1,"2016","Novembro","Todas","Pernambuco"
"24","Venturosa",4,"2016","Novembro","Todas","Pernambuco"
"25","Verdejante",3,"2016","Novembro","Todas","Pernambuco"
"26","Vertente do Lério",2,"2016","Novembro","Todas","Pernambuco"
"27","Sairé",4,"2016","Novembro","Todas","Pernambuco"
"28","Salgadinho",2,"2016","Novembro","Todas","Pernambuco"
"29","Salgueiro",2,"2016","Novembro","Todas","Pernambuco"
"30","Saloá",5,"2016","Novembro","Todas","Pernambuco"
"31","Sanharó",7,"2016","Novembro","Todas","Pernambuco"
"32","Santa Cruz",5,"2016","Novembro","Todas","Pernambuco"
"33","Santa Cruz da Baixa Verde",2,"2016","Novembro","Todas","Pernambuco"
"34","Santa Cruz do Capibaribe",27,"2016","Novembro","Todas","Pernambuco"
"35","Santa Filomena",1,"2016","Novembro","Todas","Pernambuco"
"36","Santa Maria da Boa Vista",7,"2016","Novembro","Todas","Pernambuco"
"37","Santa Maria do Cambucá",4,"2016","Novembro","Todas","Pernambuco"
"38","Santa Terezinha",4,"2016","Novembro","Todas","Pernambuco"
"39","Serra Talhada",48,"2016","Novembro","Todas","Pernambuco"
"40","Serrita",5,"2016","Novembro","Todas","Pernambuco"
"41","Sertania",16,"2016","Novembro","Todas","Pernambuco"
"42","Sirinhaém",7,"2016","Novembro","Todas","Pernambuco"
"43","Solidão",1,"2016","Novembro","Todas","Pernambuco"
"44","São Benedito do Sul",6,"2016","Novembro","Todas","Pernambuco"
"45","São Bento do Una",20,"2016","Novembro","Todas","Pernambuco"
"46","São Caitano",6,"2016","Novembro","Todas","Pernambuco"
"47","Orocó",1,"2016","Novembro","Todas","Pernambuco"
"48","Ouricuri",27,"2016","Novembro","Todas","Pernambuco"
"49","Palmeirina",4,"2016","Novembro","Todas","Pernambuco"
"50","Panelas",9,"2016","Novembro","Todas","Pernambuco"
"51","Paranatama",4,"2016","Novembro","Todas","Pernambuco"
"52","Parnamirim",5,"2016","Novembro","Todas","Pernambuco"
"53","Passira",5,"2016","Novembro","Todas","Pernambuco"
"54","Paulista",181,"2016","Novembro","Todas","Pernambuco"
"55","Pedra",6,"2016","Novembro","Todas","Pernambuco"
"56","Pesqueira",34,"2016","Novembro","Todas","Pernambuco"
"57","Petrolina",165,"2016","Novembro","Todas","Pernambuco"
"58","Petrolândia",16,"2016","Novembro","Todas","Pernambuco"
"59","Pombos",6,"2016","Novembro","Todas","Pernambuco"
"60","Poção",4,"2016","Novembro","Todas","Pernambuco"
"61","Primavera",6,"2016","Novembro","Todas","Pernambuco"
"62","Quipapá",6,"2016","Novembro","Todas","Pernambuco"
"63","Quixaba",2,"2016","Novembro","Todas","Pernambuco"
"64","Recife",1566,"2016","Novembro","Todas","Pernambuco"
"65","Riacho das Almas",7,"2016","Novembro","Todas","Pernambuco"
"66","Rio Formoso",6,"2016","Novembro","Todas","Pernambuco"
"67","Jucati",1,"2016","Novembro","Todas","Pernambuco"
