"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vera Cruz",14,"2016","Novembro","Todas","Rio Grande do Sul"
"2","Vila Maria",1,"2016","Novembro","Todas","Rio Grande do Sul"
"3","Tapes",5,"2016","Novembro","Todas","Rio Grande do Sul"
"4","Taquara",5,"2016","Novembro","Todas","Rio Grande do Sul"
"5","Tenente Portela",16,"2016","Novembro","Todas","Rio Grande do Sul"
"6","Terra de Areia",5,"2016","Novembro","Todas","Rio Grande do Sul"
"7","Teutônia",17,"2016","Novembro","Todas","Rio Grande do Sul"
"8","Tiradentes do Sul",4,"2016","Novembro","Todas","Rio Grande do Sul"
"9","Torres",1,"2016","Novembro","Todas","Rio Grande do Sul"
"10","Tramandaí",54,"2016","Novembro","Todas","Rio Grande do Sul"
"11","Triunfo",15,"2016","Novembro","Todas","Rio Grande do Sul"
"12","Três Cachoeiras",2,"2016","Novembro","Todas","Rio Grande do Sul"
"13","Três Coroas",6,"2016","Novembro","Todas","Rio Grande do Sul"
"14","Três Passos",27,"2016","Novembro","Todas","Rio Grande do Sul"
"15","Três de Maio",26,"2016","Novembro","Todas","Rio Grande do Sul"
"16","Tunas",2,"2016","Novembro","Todas","Rio Grande do Sul"
"17","Tupanciretã",7,"2016","Novembro","Todas","Rio Grande do Sul"
"18","Tuparendi",10,"2016","Novembro","Todas","Rio Grande do Sul"
"19","Uruguaiana",6,"2016","Novembro","Todas","Rio Grande do Sul"
"20","Vacaria",3,"2016","Novembro","Todas","Rio Grande do Sul"
"21","Vale do Sol",4,"2016","Novembro","Todas","Rio Grande do Sul"
"22","Venâncio Aires",3,"2016","Novembro","Todas","Rio Grande do Sul"
"23","Sertão Santana",4,"2016","Novembro","Todas","Rio Grande do Sul"
"24","Severiano de Almeida",3,"2016","Novembro","Todas","Rio Grande do Sul"
"25","Sinimbu",7,"2016","Novembro","Todas","Rio Grande do Sul"
"26","Sobradinho",19,"2016","Novembro","Todas","Rio Grande do Sul"
"27","Soledade",16,"2016","Novembro","Todas","Rio Grande do Sul"
"28","São Borja",39,"2016","Novembro","Todas","Rio Grande do Sul"
"29","São Domingos do Sul",2,"2016","Novembro","Todas","Rio Grande do Sul"
"30","São Gabriel",53,"2016","Novembro","Todas","Rio Grande do Sul"
"31","São José do Ouro",9,"2016","Novembro","Todas","Rio Grande do Sul"
"32","São Leopoldo",10,"2016","Novembro","Todas","Rio Grande do Sul"
"33","São Luiz Gonzaga",3,"2016","Novembro","Todas","Rio Grande do Sul"
"34","São Martinho",5,"2016","Novembro","Todas","Rio Grande do Sul"
"35","São Nicolau",3,"2016","Novembro","Todas","Rio Grande do Sul"
"36","São Pedro do Butiá",2,"2016","Novembro","Todas","Rio Grande do Sul"
"37","São Pedro do Sul",6,"2016","Novembro","Todas","Rio Grande do Sul"
"38","São Sebastião do Caí",10,"2016","Novembro","Todas","Rio Grande do Sul"
"39","São Sepé",16,"2016","Novembro","Todas","Rio Grande do Sul"
"40","São Valentim",1,"2016","Novembro","Todas","Rio Grande do Sul"
"41","São Vicente do Sul",4,"2016","Novembro","Todas","Rio Grande do Sul"
"42","Tapejara",9,"2016","Novembro","Todas","Rio Grande do Sul"
"43","Rosário do Sul",4,"2016","Novembro","Todas","Rio Grande do Sul"
"44","Salvador do Sul",2,"2016","Novembro","Todas","Rio Grande do Sul"
"45","Sananduva",2,"2016","Novembro","Todas","Rio Grande do Sul"
"46","Santa Bárbara do Sul",4,"2016","Novembro","Todas","Rio Grande do Sul"
"47","Santa Maria",223,"2016","Novembro","Todas","Rio Grande do Sul"
"48","Santa Rosa",59,"2016","Novembro","Todas","Rio Grande do Sul"
"49","Santa Vitória do Palmar",18,"2016","Novembro","Todas","Rio Grande do Sul"
"50","Santana da Boa Vista",4,"2016","Novembro","Todas","Rio Grande do Sul"
"51","Santana do Livramento",55,"2016","Novembro","Todas","Rio Grande do Sul"
"52","Santo Angelo",4,"2016","Novembro","Todas","Rio Grande do Sul"
"53","Santo Antônio da Patrulha",19,"2016","Novembro","Todas","Rio Grande do Sul"
"54","Santo Antônio das Missões",1,"2016","Novembro","Todas","Rio Grande do Sul"
"55","Santo Cristo",9,"2016","Novembro","Todas","Rio Grande do Sul"
"56","Sao Jeronimo",24,"2016","Novembro","Todas","Rio Grande do Sul"
"57","Sao Marcos",2,"2016","Novembro","Todas","Rio Grande do Sul"
"58","Sapiranga",43,"2016","Novembro","Todas","Rio Grande do Sul"
"59","Sapucaia do Sul",54,"2016","Novembro","Todas","Rio Grande do Sul"
"60","Sarandi",11,"2016","Novembro","Todas","Rio Grande do Sul"
"61","Selbach",6,"2016","Novembro","Todas","Rio Grande do Sul"
"62","Serafina Correa",3,"2016","Novembro","Todas","Rio Grande do Sul"
"63","Paraí",2,"2016","Novembro","Todas","Rio Grande do Sul"
"64","Parobé",15,"2016","Novembro","Todas","Rio Grande do Sul"
