"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ouro Preto do Oeste",36,"2016","Novembro","Todas","Rondônia"
"2","Pimenta Bueno",13,"2016","Novembro","Todas","Rondônia"
"3","Pimenteiras do Oeste",1,"2016","Novembro","Todas","Rondônia"
"4","Porto Velho",273,"2016","Novembro","Todas","Rondônia"
"5","Presidente Médici",5,"2016","Novembro","Todas","Rondônia"
"6","Santa Luzia D'oeste",2,"2016","Novembro","Todas","Rondônia"
"7","Seringueiras",5,"2016","Novembro","Todas","Rondônia"
"8","São Felipe D'oeste",3,"2016","Novembro","Todas","Rondônia"
"9","São Miguel do Guaporé",2,"2016","Novembro","Todas","Rondônia"
"10","Teixeirópolis",2,"2016","Novembro","Todas","Rondônia"
"11","Theobroma",1,"2016","Novembro","Todas","Rondônia"
"12","Urupá",2,"2016","Novembro","Todas","Rondônia"
"13","Vale do Anari",1,"2016","Novembro","Todas","Rondônia"
"14","Vale do Paraíso",4,"2016","Novembro","Todas","Rondônia"
"15","Vilhena",36,"2016","Novembro","Todas","Rondônia"
"16","Alta Floresta D'oeste",6,"2016","Novembro","Todas","Rondônia"
"17","Alto Alegre dos Parecis",2,"2016","Novembro","Todas","Rondônia"
"18","Ariquemes",39,"2016","Novembro","Todas","Rondônia"
"19","Buritis",12,"2016","Novembro","Todas","Rondônia"
"20","Cacaulândia",1,"2016","Novembro","Todas","Rondônia"
"21","Cacoal",102,"2016","Novembro","Todas","Rondônia"
"22","Candeias do Jamari",5,"2016","Novembro","Todas","Rondônia"
"23","Cerejeiras",9,"2016","Novembro","Todas","Rondônia"
"24","Chupinguaia",2,"2016","Novembro","Todas","Rondônia"
"25","Colorado do Oeste",2,"2016","Novembro","Todas","Rondônia"
"26","Corumbiara",2,"2016","Novembro","Todas","Rondônia"
"27","Espigão do Oeste",9,"2016","Novembro","Todas","Rondônia"
"28","Governador Jorge Teixeira",2,"2016","Novembro","Todas","Rondônia"
"29","Guajara-Mirim",8,"2016","Novembro","Todas","Rondônia"
"30","Jaru",14,"2016","Novembro","Todas","Rondônia"
"31","Ji-Paraná",47,"2016","Novembro","Todas","Rondônia"
"32","Machadinho D'oeste",14,"2016","Novembro","Todas","Rondônia"
"33","Ministro Andreazza",1,"2016","Novembro","Todas","Rondônia"
"34","Mirante da Serra",4,"2016","Novembro","Todas","Rondônia"
"35","Novo Horizonte do Oeste",2,"2016","Novembro","Todas","Rondônia"
