"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Recursolândia",1,"2016","Novembro","Todas","Tocantins"
"2","Riachinho",1,"2016","Novembro","Todas","Tocantins"
"3","Rio Sono",1,"2016","Novembro","Todas","Tocantins"
"4","Santa Maria do Tocantins",8,"2016","Novembro","Todas","Tocantins"
"5","Silvanópolis",2,"2016","Novembro","Todas","Tocantins"
"6","São Valério da Natividade",2,"2016","Novembro","Todas","Tocantins"
"7","Talismã",1,"2016","Novembro","Todas","Tocantins"
"8","Tocantinópolis",9,"2016","Novembro","Todas","Tocantins"
"9","Tupirama",1,"2016","Novembro","Todas","Tocantins"
"10","Itapiratins",2,"2016","Novembro","Todas","Tocantins"
"11","Lagoa da Confusão",3,"2016","Novembro","Todas","Tocantins"
"12","Lajeado",1,"2016","Novembro","Todas","Tocantins"
"13","Lizarda",1,"2016","Novembro","Todas","Tocantins"
"14","Luzinópolis",1,"2016","Novembro","Todas","Tocantins"
"15","Mateiros",1,"2016","Novembro","Todas","Tocantins"
"16","Miracema do Tocantins",10,"2016","Novembro","Todas","Tocantins"
"17","Nazaré",3,"2016","Novembro","Todas","Tocantins"
"18","Nova Rosalândia",1,"2016","Novembro","Todas","Tocantins"
"19","Palmas",120,"2016","Novembro","Todas","Tocantins"
"20","Palmeiras do Tocantins",4,"2016","Novembro","Todas","Tocantins"
"21","Palmeirópolis",4,"2016","Novembro","Todas","Tocantins"
"22","Paraiso do Tocantins",13,"2016","Novembro","Todas","Tocantins"
"23","Paranã",5,"2016","Novembro","Todas","Tocantins"
"24","Pau D'arco",1,"2016","Novembro","Todas","Tocantins"
"25","Pedro Afonso",1,"2016","Novembro","Todas","Tocantins"
"26","Pindorama do Tocantins",1,"2016","Novembro","Todas","Tocantins"
"27","Pium",3,"2016","Novembro","Todas","Tocantins"
"28","Praia Norte",2,"2016","Novembro","Todas","Tocantins"
"29","Pugmil",2,"2016","Novembro","Todas","Tocantins"
"30","Campos Lindos",2,"2016","Novembro","Todas","Tocantins"
"31","Cariri do Tocantins",3,"2016","Novembro","Todas","Tocantins"
"32","Carrasco Bonito",1,"2016","Novembro","Todas","Tocantins"
"33","Caseara",3,"2016","Novembro","Todas","Tocantins"
"34","Centenário",2,"2016","Novembro","Todas","Tocantins"
"35","Colinas do Tocantins",3,"2016","Novembro","Todas","Tocantins"
"36","Colméia",1,"2016","Novembro","Todas","Tocantins"
"37","Couto de Magalhães",2,"2016","Novembro","Todas","Tocantins"
"38","Cristalândia",2,"2016","Novembro","Todas","Tocantins"
"39","Darcinópolis",1,"2016","Novembro","Todas","Tocantins"
"40","Dianópolis",7,"2016","Novembro","Todas","Tocantins"
"41","Divinópolis do Tocantins",7,"2016","Novembro","Todas","Tocantins"
"42","Dois Irmãos do Tocantins",3,"2016","Novembro","Todas","Tocantins"
"43","Dueré",2,"2016","Novembro","Todas","Tocantins"
"44","Figueirópolis",1,"2016","Novembro","Todas","Tocantins"
"45","Fortaleza do Tabocão",1,"2016","Novembro","Todas","Tocantins"
"46","Fátima",1,"2016","Novembro","Todas","Tocantins"
"47","Goiatins",10,"2016","Novembro","Todas","Tocantins"
"48","Guaraí",7,"2016","Novembro","Todas","Tocantins"
"49","Itacajá",4,"2016","Novembro","Todas","Tocantins"
"50","Aguiarnópolis",1,"2016","Novembro","Todas","Tocantins"
"51","Almas",1,"2016","Novembro","Todas","Tocantins"
"52","Alvorada",4,"2016","Novembro","Todas","Tocantins"
"53","Ananás",5,"2016","Novembro","Todas","Tocantins"
"54","Angico",4,"2016","Novembro","Todas","Tocantins"
"55","Aragominas",2,"2016","Novembro","Todas","Tocantins"
"56","Araguacema",2,"2016","Novembro","Todas","Tocantins"
"57","Araguana",1,"2016","Novembro","Todas","Tocantins"
"58","Araguatins",7,"2016","Novembro","Todas","Tocantins"
"59","Araguaçu",1,"2016","Novembro","Todas","Tocantins"
"60","Arraias",5,"2016","Novembro","Todas","Tocantins"
"61","Augustinópolis",17,"2016","Novembro","Todas","Tocantins"
"62","Babaçulândia",2,"2016","Novembro","Todas","Tocantins"
"63","Bandeirantes do Tocantins",1,"2016","Novembro","Todas","Tocantins"
"64","Barra do Ouro",3,"2016","Novembro","Todas","Tocantins"
"65","Barrolândia",2,"2016","Novembro","Todas","Tocantins"
"66","Bernardo Sayão",3,"2016","Novembro","Todas","Tocantins"
"67","Bom Jesus do Tocantins",1,"2016","Novembro","Todas","Tocantins"
"68","Brejinho de Nazaré",1,"2016","Novembro","Todas","Tocantins"
"69","Cachoeirinha",2,"2016","Novembro","Todas","Tocantins"
