"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terra Nova",1,"2016","Outubro","Todas","Bahia"
"2","Tremedal",4,"2016","Outubro","Todas","Bahia"
"3","Ubaitaba",6,"2016","Outubro","Todas","Bahia"
"4","Urandi",8,"2016","Outubro","Todas","Bahia"
"5","Uruçuca",8,"2016","Outubro","Todas","Bahia"
"6","Vera Cruz",8,"2016","Outubro","Todas","Bahia"
"7","Xique-Xique",13,"2016","Outubro","Todas","Bahia"
"8","Rafael Jambeiro",4,"2016","Outubro","Todas","Bahia"
"9","Remanso",17,"2016","Outubro","Todas","Bahia"
"10","Riachão do Jacuípe",20,"2016","Outubro","Todas","Bahia"
"11","Ribeira do Pombal",22,"2016","Outubro","Todas","Bahia"
"12","Rio do Antônio",2,"2016","Outubro","Todas","Bahia"
"13","Ruy Barbosa",8,"2016","Outubro","Todas","Bahia"
"14","Salvador",453,"2016","Outubro","Todas","Bahia"
"15","Santa Bárbara",10,"2016","Outubro","Todas","Bahia"
"16","Santa Cruz Cabrália",5,"2016","Outubro","Todas","Bahia"
"17","Santa Rita de Cássia",17,"2016","Outubro","Todas","Bahia"
"18","Santana",1,"2016","Outubro","Todas","Bahia"
"19","Santo Amaro",14,"2016","Outubro","Todas","Bahia"
"20","Santo Estêvão",21,"2016","Outubro","Todas","Bahia"
"21","Saúde",14,"2016","Outubro","Todas","Bahia"
"22","Serrinha",11,"2016","Outubro","Todas","Bahia"
"23","São Felipe",12,"2016","Outubro","Todas","Bahia"
"24","São Félix",6,"2016","Outubro","Todas","Bahia"
"25","São Gonçalo dos Campos",1,"2016","Outubro","Todas","Bahia"
"26","Teixeira de Freitas",101,"2016","Outubro","Todas","Bahia"
"27","Teodoro Sampaio",1,"2016","Outubro","Todas","Bahia"
"28","Livramento de Nossa Senhora",22,"2016","Outubro","Todas","Bahia"
"29","Luís Eduardo Magalhães",8,"2016","Outubro","Todas","Bahia"
"30","Maracás",13,"2016","Outubro","Todas","Bahia"
"31","Maragogipe",8,"2016","Outubro","Todas","Bahia"
"32","Medeiros Neto",1,"2016","Outubro","Todas","Bahia"
"33","Monte Santo",18,"2016","Outubro","Todas","Bahia"
"34","Morpará",1,"2016","Outubro","Todas","Bahia"
"35","Mucuri",5,"2016","Outubro","Todas","Bahia"
"36","Nazaré",2,"2016","Outubro","Todas","Bahia"
"37","Palmas de Monte Alto",3,"2016","Outubro","Todas","Bahia"
"38","Paripiranga",7,"2016","Outubro","Todas","Bahia"
"39","Paulo Afonso",12,"2016","Outubro","Todas","Bahia"
"40","Pindobaçu",10,"2016","Outubro","Todas","Bahia"
"41","Piripá",5,"2016","Outubro","Todas","Bahia"
"42","Piritiba",6,"2016","Outubro","Todas","Bahia"
"43","Pojuca",11,"2016","Outubro","Todas","Bahia"
"44","Poções",18,"2016","Outubro","Todas","Bahia"
"45","Prado",10,"2016","Outubro","Todas","Bahia"
"46","Presidente Tancredo Neves",9,"2016","Outubro","Todas","Bahia"
"47","Pé de Serra",5,"2016","Outubro","Todas","Bahia"
"48","Gavião",3,"2016","Outubro","Todas","Bahia"
"49","Guanambi",47,"2016","Outubro","Todas","Bahia"
"50","Iaçu",8,"2016","Outubro","Todas","Bahia"
"51","Ibicaraí",7,"2016","Outubro","Todas","Bahia"
"52","Ibotirama",13,"2016","Outubro","Todas","Bahia"
"53","Ichu",2,"2016","Outubro","Todas","Bahia"
"54","Ilheus",91,"2016","Outubro","Todas","Bahia"
"55","Ipirá",16,"2016","Outubro","Todas","Bahia"
"56","Irará",14,"2016","Outubro","Todas","Bahia"
"57","Itabuna",139,"2016","Outubro","Todas","Bahia"
"58","Itagimirim",2,"2016","Outubro","Todas","Bahia"
"59","Itamaraju",28,"2016","Outubro","Todas","Bahia"
"60","Itapetinga",19,"2016","Outubro","Todas","Bahia"
"61","Itapé",2,"2016","Outubro","Todas","Bahia"
"62","Itatim",3,"2016","Outubro","Todas","Bahia"
"63","Itororó",8,"2016","Outubro","Todas","Bahia"
"64","Jacobina",37,"2016","Outubro","Todas","Bahia"
"65","Jeremoabo",2,"2016","Outubro","Todas","Bahia"
"66","Juazeiro",83,"2016","Outubro","Todas","Bahia"
"67","Jussiape",3,"2016","Outubro","Todas","Bahia"
"68","Caetité",13,"2016","Outubro","Todas","Bahia"
"69","Caldeirão Grande",6,"2016","Outubro","Todas","Bahia"
"70","Camamu",6,"2016","Outubro","Todas","Bahia"
"71","Camaçari",80,"2016","Outubro","Todas","Bahia"
"72","Campo Formoso",23,"2016","Outubro","Todas","Bahia"
"73","Canarana",4,"2016","Outubro","Todas","Bahia"
"74","Candeias",36,"2016","Outubro","Todas","Bahia"
"75","Casa Nova",23,"2016","Outubro","Todas","Bahia"
"76","Cipó",12,"2016","Outubro","Todas","Bahia"
"77","Coaraci",18,"2016","Outubro","Todas","Bahia"
"78","Conceição do Jacuípe",19,"2016","Outubro","Todas","Bahia"
"79","Coração de Maria",4,"2016","Outubro","Todas","Bahia"
"80","Cruz das Almas",30,"2016","Outubro","Todas","Bahia"
"81","Cícero Dantas",19,"2016","Outubro","Todas","Bahia"
"82","Dias D'Ávila",24,"2016","Outubro","Todas","Bahia"
"83","Esplanada",11,"2016","Outubro","Todas","Bahia"
"84","Euclides da Cunha",18,"2016","Outubro","Todas","Bahia"
"85","Eunapolis",66,"2016","Outubro","Todas","Bahia"
"86","Feira de Santana",347,"2016","Outubro","Todas","Bahia"
"87","Formosa do Rio Preto",7,"2016","Outubro","Todas","Bahia"
"88","Alagoinhas",42,"2016","Outubro","Todas","Bahia"
"89","Almadina",4,"2016","Outubro","Todas","Bahia"
"90","Amelia Rodrigues",8,"2016","Outubro","Todas","Bahia"
"91","Anguera",1,"2016","Outubro","Todas","Bahia"
"92","Antas",10,"2016","Outubro","Todas","Bahia"
"93","Antônio Gonçalves",4,"2016","Outubro","Todas","Bahia"
"94","Araci",6,"2016","Outubro","Todas","Bahia"
"95","Aramari",2,"2016","Outubro","Todas","Bahia"
"96","Araças",2,"2016","Outubro","Todas","Bahia"
"97","Barra",17,"2016","Outubro","Todas","Bahia"
"98","Barra da Estiva",12,"2016","Outubro","Todas","Bahia"
"99","Barra do Choça",2,"2016","Outubro","Todas","Bahia"
"100","Barreiras",66,"2016","Outubro","Todas","Bahia"
"101","Barro Preto",3,"2016","Outubro","Todas","Bahia"
"102","Belmonte",9,"2016","Outubro","Todas","Bahia"
"103","Bom Jesus da Lapa",12,"2016","Outubro","Todas","Bahia"
"104","Buritirama",3,"2016","Outubro","Todas","Bahia"
"105","Caatiba",3,"2016","Outubro","Todas","Bahia"
"106","Cabaceiras do Paraguaçu",1,"2016","Outubro","Todas","Bahia"
"107","Caculé",17,"2016","Outubro","Todas","Bahia"
