"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Mamede",7,"2016","Outubro","Todas","Paraíba"
"2","São Miguel de Taipu",1,"2016","Outubro","Todas","Paraíba"
"3","Taperoá",13,"2016","Outubro","Todas","Paraíba"
"4","Tavares",6,"2016","Outubro","Todas","Paraíba"
"5","Triunfo",5,"2016","Outubro","Todas","Paraíba"
"6","Uiraúna",4,"2016","Outubro","Todas","Paraíba"
"7","Umbuzeiro",4,"2016","Outubro","Todas","Paraíba"
"8","Vieirópolis",1,"2016","Outubro","Todas","Paraíba"
"9","Várzea",1,"2016","Outubro","Todas","Paraíba"
"10","Água Branca",3,"2016","Outubro","Todas","Paraíba"
"11","Sertãozinho",2,"2016","Outubro","Todas","Paraíba"
"12","Soledade",8,"2016","Outubro","Todas","Paraíba"
"13","Solânea",7,"2016","Outubro","Todas","Paraíba"
"14","Sossêgo",3,"2016","Outubro","Todas","Paraíba"
"15","Sousa",50,"2016","Outubro","Todas","Paraíba"
"16","Sumé",11,"2016","Outubro","Todas","Paraíba"
"17","São Bentinho",3,"2016","Outubro","Todas","Paraíba"
"18","São Bento",11,"2016","Outubro","Todas","Paraíba"
"19","São Domingos do Cariri",3,"2016","Outubro","Todas","Paraíba"
"20","São Francisco",3,"2016","Outubro","Todas","Paraíba"
"21","São José da Lagoa Tapada",2,"2016","Outubro","Todas","Paraíba"
"22","São José de Caiana",2,"2016","Outubro","Todas","Paraíba"
"23","São José de Espinharas",1,"2016","Outubro","Todas","Paraíba"
"24","São José de Piranhas",7,"2016","Outubro","Todas","Paraíba"
"25","São José de Princesa",3,"2016","Outubro","Todas","Paraíba"
"26","São José do Bonfim",2,"2016","Outubro","Todas","Paraíba"
"27","São José dos Cordeiros",3,"2016","Outubro","Todas","Paraíba"
"28","São José dos Ramos",1,"2016","Outubro","Todas","Paraíba"
"29","São João do Rio do Peixe",2,"2016","Outubro","Todas","Paraíba"
"30","São João do Tigre",1,"2016","Outubro","Todas","Paraíba"
"31","Pocinhos",2,"2016","Outubro","Todas","Paraíba"
"32","Pombal",23,"2016","Outubro","Todas","Paraíba"
"33","Poço de José de Moura",1,"2016","Outubro","Todas","Paraíba"
"34","Prata",2,"2016","Outubro","Todas","Paraíba"
"35","Princesa Isabel",9,"2016","Outubro","Todas","Paraíba"
"36","Queimadas",17,"2016","Outubro","Todas","Paraíba"
"37","Remígio",4,"2016","Outubro","Todas","Paraíba"
"38","Riachão",1,"2016","Outubro","Todas","Paraíba"
"39","Salgado de São Félix",5,"2016","Outubro","Todas","Paraíba"
"40","Santa Cecília",5,"2016","Outubro","Todas","Paraíba"
"41","Santa Helena",3,"2016","Outubro","Todas","Paraíba"
"42","Santa Luzia",18,"2016","Outubro","Todas","Paraíba"
"43","Santa Rita",88,"2016","Outubro","Todas","Paraíba"
"44","Santa Teresinha",1,"2016","Outubro","Todas","Paraíba"
"45","Santana dos Garrotes",2,"2016","Outubro","Todas","Paraíba"
"46","Santarém",1,"2016","Outubro","Todas","Paraíba"
"47","Santo André",1,"2016","Outubro","Todas","Paraíba"
"48","Sapé",22,"2016","Outubro","Todas","Paraíba"
"49","Seridó",3,"2016","Outubro","Todas","Paraíba"
"50","Serra Branca",7,"2016","Outubro","Todas","Paraíba"
"51","Matinhas",1,"2016","Outubro","Todas","Paraíba"
"52","Maturéia",4,"2016","Outubro","Todas","Paraíba"
"53","Montadas",2,"2016","Outubro","Todas","Paraíba"
"54","Monte Horebe",2,"2016","Outubro","Todas","Paraíba"
"55","Monteiro",17,"2016","Outubro","Todas","Paraíba"
"56","Mãe D'água",1,"2016","Outubro","Todas","Paraíba"
"57","Natuba",4,"2016","Outubro","Todas","Paraíba"
"58","Nova Olinda",1,"2016","Outubro","Todas","Paraíba"
"59","Ouro Velho",1,"2016","Outubro","Todas","Paraíba"
"60","Parari",1,"2016","Outubro","Todas","Paraíba"
"61","Patos",111,"2016","Outubro","Todas","Paraíba"
"62","Paulista",5,"2016","Outubro","Todas","Paraíba"
"63","Pedra Branca",1,"2016","Outubro","Todas","Paraíba"
"64","Pedra Lavrada",1,"2016","Outubro","Todas","Paraíba"
"65","Pedro Régis",1,"2016","Outubro","Todas","Paraíba"
"66","Piancó",12,"2016","Outubro","Todas","Paraíba"
"67","Picuí",10,"2016","Outubro","Todas","Paraíba"
"68","Pilõezinhos",2,"2016","Outubro","Todas","Paraíba"
"69","Pirpirituba",4,"2016","Outubro","Todas","Paraíba"
"70","Pitimbu",6,"2016","Outubro","Todas","Paraíba"
"71","Itatuba",4,"2016","Outubro","Todas","Paraíba"
"72","Jacaraú",9,"2016","Outubro","Todas","Paraíba"
"73","Jericó",1,"2016","Outubro","Todas","Paraíba"
"74","Joao Pessoa",294,"2016","Outubro","Todas","Paraíba"
"75","Juazeirinho",5,"2016","Outubro","Todas","Paraíba"
"76","Junco do Seridó",3,"2016","Outubro","Todas","Paraíba"
"77","Juripiranga",5,"2016","Outubro","Todas","Paraíba"
"78","Juru",4,"2016","Outubro","Todas","Paraíba"
"79","Lagoa",1,"2016","Outubro","Todas","Paraíba"
"80","Lagoa Seca",4,"2016","Outubro","Todas","Paraíba"
"81","Lastro",1,"2016","Outubro","Todas","Paraíba"
"82","Livramento",1,"2016","Outubro","Todas","Paraíba"
"83","Logradouro",2,"2016","Outubro","Todas","Paraíba"
"84","Lucena",5,"2016","Outubro","Todas","Paraíba"
"85","Malta",2,"2016","Outubro","Todas","Paraíba"
"86","Mamanguape",36,"2016","Outubro","Todas","Paraíba"
"87","Manaíra",7,"2016","Outubro","Todas","Paraíba"
"88","Marcação",1,"2016","Outubro","Todas","Paraíba"
"89","Mari",13,"2016","Outubro","Todas","Paraíba"
"90","Massaranduba",3,"2016","Outubro","Todas","Paraíba"
"91","Congo",2,"2016","Outubro","Todas","Paraíba"
"92","Coremas",9,"2016","Outubro","Todas","Paraíba"
"93","Coxixola",2,"2016","Outubro","Todas","Paraíba"
"94","Cuitegi",8,"2016","Outubro","Todas","Paraíba"
"95","Cuité",5,"2016","Outubro","Todas","Paraíba"
"96","Curral Velho",1,"2016","Outubro","Todas","Paraíba"
"97","Curral de Cima",1,"2016","Outubro","Todas","Paraíba"
"98","Damião",1,"2016","Outubro","Todas","Paraíba"
"99","Diamante",2,"2016","Outubro","Todas","Paraíba"
"100","Dona Inês",6,"2016","Outubro","Todas","Paraíba"
"101","Duas Estradas",1,"2016","Outubro","Todas","Paraíba"
"102","Emas",1,"2016","Outubro","Todas","Paraíba"
"103","Esperança",14,"2016","Outubro","Todas","Paraíba"
"104","Gado Bravo",2,"2016","Outubro","Todas","Paraíba"
"105","Guarabira",59,"2016","Outubro","Todas","Paraíba"
"106","Ibiara",2,"2016","Outubro","Todas","Paraíba"
"107","Igaracy",1,"2016","Outubro","Todas","Paraíba"
"108","Ingá",6,"2016","Outubro","Todas","Paraíba"
"109","Itabaiana",31,"2016","Outubro","Todas","Paraíba"
"110","Itaporanga",5,"2016","Outubro","Todas","Paraíba"
"111","Belém do Brejo do Cruz",5,"2016","Outubro","Todas","Paraíba"
"112","Boa Ventura",3,"2016","Outubro","Todas","Paraíba"
"113","Boa Vista",2,"2016","Outubro","Todas","Paraíba"
"114","Bom Sucesso",2,"2016","Outubro","Todas","Paraíba"
"115","Borborema",2,"2016","Outubro","Todas","Paraíba"
"116","Brejo do Cruz",6,"2016","Outubro","Todas","Paraíba"
"117","Brejo dos Santos",2,"2016","Outubro","Todas","Paraíba"
"118","Caapora",5,"2016","Outubro","Todas","Paraíba"
"119","Cabaceiras",1,"2016","Outubro","Todas","Paraíba"
"120","Cabedelo",25,"2016","Outubro","Todas","Paraíba"
"121","Cachoeira dos Índios",3,"2016","Outubro","Todas","Paraíba"
"122","Cacimba de Dentro",6,"2016","Outubro","Todas","Paraíba"
"123","Cacimbas",1,"2016","Outubro","Todas","Paraíba"
"124","Caiçara",2,"2016","Outubro","Todas","Paraíba"
"125","Campina Grande",391,"2016","Outubro","Todas","Paraíba"
"126","Carrapateira",1,"2016","Outubro","Todas","Paraíba"
"127","Casserengue",1,"2016","Outubro","Todas","Paraíba"
"128","Catingueira",2,"2016","Outubro","Todas","Paraíba"
"129","Catolé do Rocha",20,"2016","Outubro","Todas","Paraíba"
"130","Conceição",1,"2016","Outubro","Todas","Paraíba"
"131","Aguiar",1,"2016","Outubro","Todas","Paraíba"
"132","Alagoa Grande",9,"2016","Outubro","Todas","Paraíba"
"133","Alagoa Nova",4,"2016","Outubro","Todas","Paraíba"
"134","Alagoinha",3,"2016","Outubro","Todas","Paraíba"
"135","Alcantil",4,"2016","Outubro","Todas","Paraíba"
"136","Algodão de Jandaíra",3,"2016","Outubro","Todas","Paraíba"
"137","Alhandra",7,"2016","Outubro","Todas","Paraíba"
"138","Amparo",2,"2016","Outubro","Todas","Paraíba"
"139","Araçagi",8,"2016","Outubro","Todas","Paraíba"
"140","Areia",8,"2016","Outubro","Todas","Paraíba"
"141","Areial",6,"2016","Outubro","Todas","Paraíba"
"142","Aroeiras",4,"2016","Outubro","Todas","Paraíba"
"143","Assunção",1,"2016","Outubro","Todas","Paraíba"
"144","Baraúna",1,"2016","Outubro","Todas","Paraíba"
"145","Barra de Santa Rosa",5,"2016","Outubro","Todas","Paraíba"
"146","Barra de Santana",4,"2016","Outubro","Todas","Paraíba"
"147","Barra de São Miguel",1,"2016","Outubro","Todas","Paraíba"
"148","Bayeux",18,"2016","Outubro","Todas","Paraíba"
"149","Baía da Traição",1,"2016","Outubro","Todas","Paraíba"
"150","Belém",5,"2016","Outubro","Todas","Paraíba"
